cpd,km,protein,rsq,vmax
S1692,0.06,BM3 Heme A82F,0.83,0.16
S1606,0.05,BM3 Heme A82F,0.29,0.21
S1610,0.05,BM3 Heme A82F,0.75,0.12
S1615,0.03,BM3 Heme A82F,0.4,0.0
S1622,0.04,BM3 Heme A82F,0.43,0.13
S1627,0.03,BM3 Heme A82F,0.51,0.0
S1633,0.03,BM3 Heme A82F,0.63,0.1
S1639,0.11,BM3 Heme A82F,0.83,0.27
S1644,0.09,BM3 Heme A82F,0.44,0.3
S1649,0.13,BM3 Heme A82F,0.4,0.5
S1654,0.02,BM3 Heme A82F,0.63,0.0
S1662,0.09,BM3 Heme A82F,0.92,0.22
S1669,0.33,BM3 Heme A82F,0.2,1.68
S1676,0.08,BM3 Heme A82F,0.98,0.17
S1681,0.21,BM3 Heme A82F,0.23,0.99
S1689,1.32,BM3 Heme A82F,0.37,5.5
S1693,0.83,BM3 Heme A82F,0.39,3.25
S1607,0.08,BM3 Heme A82F,0.19,0.42
S1611,0.05,BM3 Heme A82F,0.57,0.0
S1618,0.01,BM3 Heme A82F,0.56,0.0
S1623,0.12,BM3 Heme A82F,0.88,0.3
S1628,0.03,BM3 Heme A82F,0.76,0.09
S1635,0.1,BM3 Heme A82F,0.86,0.0
S1640,0.11,BM3 Heme A82F,0.7,0.0
S1645,0.09,BM3 Heme A82F,0.72,0.24
S1651,0.08,BM3 Heme A82F,0.71,0.2
S1655,0.02,BM3 Heme A82F,0.48,0.0
S1665,3.45,BM3 Heme A82F,0.54,11.51
S1671,0.03,BM3 Heme A82F,0.5,0.0
S1677,0.02,BM3 Heme A82F,0.63,0.0
S1683,0.6,BM3 Heme A82F,0.32,2.42
S1690,0.09,BM3 Heme A82F,0.54,0.27
S1696,0.07,BM3 Heme A82F,0.36,0.27
S1701,0.23,BM3 Heme A82F,0.23,1.1
S1705,0.05,BM3 Heme A82F,0.95,0.12
S1712,0.05,BM3 Heme A82F,0.97,0.0
S1716,0.04,BM3 Heme A82F,0.89,0.0
S1723,0.07,BM3 Heme A82F,0.75,0.18
S1702,0.05,BM3 Heme A82F,0.76,0.0
S1706,0.11,BM3 Heme A82F,0.25,0.5
S1713,0.73,BM3 Heme A82F,0.32,3.2
S1718,0.05,BM3 Heme A82F,0.36,0.2
S1725,0.02,BM3 Heme A82F,0.45,0.06
S1703,0.08,BM3 Heme A82F,0.2,0.4
S1708,0.46,BM3 Heme A82F,0.26,2.07
S1714,0.02,BM3 Heme A82F,0.89,0.0
S1719,0.03,BM3 Heme A82F,0.35,0.11
S1704,0.43,BM3 Heme A82F,0.25,1.98
S1709,0.09,BM3 Heme A82F,0.5,0.24
S1715,0.02,BM3 Heme A82F,0.56,0.06
S1721,0.1,BM3 Heme A82F,0.89,0.24
S1878,0.02,BM3 Heme A82F,0.32,0.06
S1884,0.02,BM3 Heme A82F,0.52,0.07
S1891,0.06,BM3 Heme A82F,0.88,0.0
S1897,0.03,BM3 Heme A82F,0.53,0.07
S1903,0.06,BM3 Heme A82F,0.45,0.19
S1908,0.03,BM3 Heme A82F,0.67,0.0
S1914,0.05,BM3 Heme A82F,0.56,0.0
S1920,0.04,BM3 Heme A82F,0.48,0.15
S1933,0.01,BM3 Heme A82F,0.46,0.0
S1941,0.01,BM3 Heme A82F,0.21,0.0
S1957,0.02,BM3 Heme A82F,0.58,0.0
S1962,0.01,BM3 Heme A82F,0.43,0.03
S1971,0.01,BM3 Heme A82F,0.59,0.02
S1978,0.02,BM3 Heme A82F,0.32,0.06
S1988,0.06,BM3 Heme A82F,0.93,0.14
S2003,0.02,BM3 Heme A82F,0.36,0.07
S1880,0.03,BM3 Heme A82F,0.68,0.0
S1885,0.04,BM3 Heme A82F,0.78,0.0
S1894,0.04,BM3 Heme A82F,0.64,0.0
S1898,0.33,BM3 Heme A82F,0.24,1.52
S1904,0.09,BM3 Heme A82F,0.59,0.28
S1909,0.02,BM3 Heme A82F,0.31,0.0
S1915,0.04,BM3 Heme A82F,0.64,0.13
S1921,0.03,BM3 Heme A82F,0.4,0.0
S1934,0.01,BM3 Heme A82F,0.26,0.0
S1949,0.08,BM3 Heme A82F,0.93,0.0
S1958,0.01,BM3 Heme A82F,0.68,0.02
S1964,0.08,BM3 Heme A82F,0.96,0.12
S1972,0.08,BM3 Heme A82F,0.95,0.0
S1979,0.01,BM3 Heme A82F,0.18,0.02
S1992,0.08,BM3 Heme A82F,0.99,0.15
S2005,0.04,BM3 Heme A82F,0.39,0.0
S1881,0.02,BM3 Heme A82F,0.56,0.07
S1888,0.14,BM3 Heme A82F,0.18,0.76
S1895,0.03,BM3 Heme A82F,0.46,0.0
S1899,0.06,BM3 Heme A82F,0.13,0.37
S1905,0.04,BM3 Heme A82F,0.65,0.0
S1910,0.03,BM3 Heme A82F,0.83,0.07
S1916,0.03,BM3 Heme A82F,0.17,0.14
S1928,0.01,BM3 Heme A82F,0.08,0.07
S1937,0.01,BM3 Heme A82F,0.69,0.03
S1952,0.01,BM3 Heme A82F,0.28,0.0
S1959,0.02,BM3 Heme A82F,0.44,0.0
S1965,0.02,BM3 Heme A82F,0.35,0.0
S1974,0.07,BM3 Heme A82F,0.91,0.0
S1983,0.07,BM3 Heme A82F,0.83,0.2
S1994,0.02,BM3 Heme A82F,0.15,0.08
S2006,0.02,BM3 Heme A82F,0.18,0.11
S1883,4.52,BM3 Heme A82F,0.64,12.27
S1890,0.02,BM3 Heme A82F,0.3,0.06
S1896,0.16,BM3 Heme A82F,0.12,1.06
S1902,0.04,BM3 Heme A82F,0.86,0.11
S1907,0.07,BM3 Heme A82F,0.55,0.0
S1913,0.1,BM3 Heme A82F,0.85,0.0
S1917,0.09,BM3 Heme A82F,0.46,0.0
S1929,0.02,BM3 Heme A82F,0.11,0.12
S1940,0.01,BM3 Heme A82F,0.09,0.09
S1956,0.06,BM3 Heme A82F,0.72,0.16
S1960,0.02,BM3 Heme A82F,0.18,0.0
S1969,0.01,BM3 Heme A82F,0.35,0.04
S1975,0.0,BM3 Heme A82F,0.3,0.02
S1987,0.0,BM3 Heme A82F,0.25,0.0
S2001,0.04,BM3 Heme A82F,0.2,0.2
S2007,0.1,BM3 Heme A82F,0.65,0.0
S2011,0.05,BM3 Heme A82F,0.79,0.14
S2020,0.02,BM3 Heme A82F,0.38,0.05
S2026,0.01,BM3 Heme A82F,0.68,0.03
S2031,0.06,BM3 Heme A82F,0.9,0.0
S2037,0.06,BM3 Heme A82F,0.92,0.0
S2043,0.03,BM3 Heme A82F,0.63,0.08
S2047,0.07,BM3 Heme A82F,0.64,0.0
S2054,0.51,BM3 Heme A82F,0.28,2.13
S2059,0.06,BM3 Heme A82F,0.18,0.28
S2064,0.32,BM3 Heme A82F,0.15,1.95
S2069,0.04,BM3 Heme A82F,0.22,0.19
S2078,0.08,BM3 Heme A82F,0.96,0.0
S2084,0.43,BM3 Heme A82F,0.28,1.81
S2090,0.02,BM3 Heme A82F,0.52,0.06
S2097,0.07,BM3 Heme A82F,0.9,0.0
S2102,0.14,BM3 Heme A82F,0.27,0.63
S2015,0.02,BM3 Heme A82F,0.79,0.0
S2021,0.02,BM3 Heme A82F,0.28,0.1
S2028,0.12,BM3 Heme A82F,0.23,0.56
S2032,0.04,BM3 Heme A82F,0.54,0.0
S2038,0.3,BM3 Heme A82F,0.22,1.36
S2044,0.03,BM3 Heme A82F,0.71,0.0
S2051,1.51,BM3 Heme A82F,0.27,7.44
S2055,0.06,BM3 Heme A82F,0.49,0.2
S2060,0.08,BM3 Heme A82F,0.96,0.0
S2065,0.02,BM3 Heme A82F,0.45,0.06
S2074,0.03,BM3 Heme A82F,0.22,0.15
S2079,0.08,BM3 Heme A82F,0.87,0.2
S2085,0.67,BM3 Heme A82F,0.27,2.95
S2091,0.07,BM3 Heme A82F,0.98,0.0
S2098,0.03,BM3 Heme A82F,0.22,0.13
S2103,0.03,BM3 Heme A82F,0.74,0.09
S2016,0.02,BM3 Heme A82F,0.79,0.0
S2024,0.84,BM3 Heme A82F,0.26,4.13
S2029,0.05,BM3 Heme A82F,0.51,0.0
S2035,0.02,BM3 Heme A82F,0.24,0.0
S2040,0.05,BM3 Heme A82F,0.5,0.0
S2045,0.05,BM3 Heme A82F,0.68,0.0
S2052,0.11,BM3 Heme A82F,0.87,0.27
S2057,0.05,BM3 Heme A82F,0.58,0.0
S2061,0.08,BM3 Heme A82F,0.97,0.0
S2066,0.42,BM3 Heme A82F,0.26,1.9
S2075,1.03,BM3 Heme A82F,0.3,4.7
S2080,0.08,BM3 Heme A82F,0.95,0.19
S2086,0.08,BM3 Heme A82F,1.0,0.08
S2092,0.02,BM3 Heme A82F,0.49,0.06
S2099,0.04,BM3 Heme A82F,0.32,0.18
S2104,0.03,BM3 Heme A82F,0.85,0.0
S2017,0.01,BM3 Heme A82F,0.41,0.05
S2025,0.02,BM3 Heme A82F,0.31,0.06
S2030,0.02,BM3 Heme A82F,0.46,0.06
S2036,0.02,BM3 Heme A82F,0.4,0.06
S2041,0.02,BM3 Heme A82F,0.6,0.05
S2046,0.03,BM3 Heme A82F,0.67,0.09
S2053,0.71,BM3 Heme A82F,0.26,3.44
S2058,0.44,BM3 Heme A82F,0.18,2.2
S2062,0.14,BM3 Heme A82F,0.2,0.7
S2067,0.02,BM3 Heme A82F,0.35,0.07
S2077,0.02,BM3 Heme A82F,0.39,0.06
S2082,0.08,BM3 Heme A82F,0.14,0.51
S2087,1.82,BM3 Heme A82F,0.51,6.0
S2096,0.02,BM3 Heme A82F,0.63,0.06
S2101,0.04,BM3 Heme A82F,0.54,0.13
S2108,0.02,BM3 Heme A82F,0.41,0.05
S2109,0.02,BM3 Heme A82F,0.44,0.06
S2116,0.04,BM3 Heme A82F,0.64,0.0
S2121,0.68,BM3 Heme A82F,0.35,2.66
S2126,0.46,BM3 Heme A82F,0.2,2.48
S2131,0.01,BM3 Heme A82F,0.26,0.05
S2169,0.04,BM3 Heme A82F,0.61,0.14
S2217,0.02,BM3 Heme A82F,0.86,0.06
S2233,0.03,BM3 Heme A82F,0.65,0.1
S2328,0.33,BM3 Heme A82F,0.27,1.22
S2408,0.13,BM3 Heme A82F,0.16,0.73
S2412,0.64,BM3 Heme A82F,0.2,3.5
S2451,0.03,BM3 Heme A82F,0.91,0.06
S2455,1.62,BM3 Heme A82F,0.4,6.31
S2459,0.03,BM3 Heme A82F,0.94,0.06
S2467,0.06,BM3 Heme A82F,0.75,0.0
S2475,0.02,BM3 Heme A82F,0.54,0.06
S2111,0.05,BM3 Heme A82F,0.81,0.14
S2118,0.22,BM3 Heme A82F,0.24,0.97
S2123,0.06,BM3 Heme A82F,0.92,0.15
S2127,0.48,BM3 Heme A82F,0.22,2.46
S2152,0.06,BM3 Heme A82F,0.67,0.2
S2199,0.06,BM3 Heme A82F,0.63,0.18
S2221,0.02,BM3 Heme A82F,0.89,0.0
S2240,0.05,BM3 Heme A82F,0.6,0.16
S2376,0.07,BM3 Heme A82F,0.9,0.16
S2409,0.02,BM3 Heme A82F,0.63,0.06
S2413,0.11,BM3 Heme A82F,0.73,0.3
S2452,0.08,BM3 Heme A82F,0.91,0.0
S2456,0.08,BM3 Heme A82F,0.95,0.17
S2460,0.07,BM3 Heme A82F,0.94,0.18
S2468,0.17,BM3 Heme A82F,0.12,1.12
S2476,0.06,BM3 Heme A82F,0.57,0.18
S2113,0.06,BM3 Heme A82F,0.42,0.0
S2119,0.04,BM3 Heme A82F,0.69,0.0
S2124,0.02,BM3 Heme A82F,0.54,0.0
S2128,0.64,BM3 Heme A82F,0.26,3.09
S2154,0.03,BM3 Heme A82F,0.52,0.08
S2205,0.08,BM3 Heme A82F,0.98,0.17
S2225,0.03,BM3 Heme A82F,0.32,0.11
S2264,0.04,BM3 Heme A82F,0.47,0.13
S2381,0.02,BM3 Heme A82F,0.44,0.06
S2410,0.02,BM3 Heme A82F,0.52,0.07
S2443,0.06,BM3 Heme A82F,0.9,0.0
S2453,0.14,BM3 Heme A82F,0.24,0.56
S2457,0.28,BM3 Heme A82F,0.24,1.29
S2461,0.02,BM3 Heme A82F,0.44,0.07
S2470,0.02,BM3 Heme A82F,0.73,0.06
S2479,0.04,BM3 Heme A82F,0.47,0.12
S2114,0.06,BM3 Heme A82F,0.58,0.0
S2120,0.01,BM3 Heme A82F,0.62,0.02
S2125,0.02,BM3 Heme A82F,0.39,0.07
S2130,0.11,BM3 Heme A82F,0.9,0.25
S2159,0.03,BM3 Heme A82F,0.4,0.11
S2215,0.07,BM3 Heme A82F,0.97,0.0
S2229,0.02,BM3 Heme A82F,0.39,0.0
S2293,0.31,BM3 Heme A82F,0.34,1.23
S2393,0.02,BM3 Heme A82F,0.47,0.05
S2411,0.03,BM3 Heme A82F,0.84,0.07
S2446,0.02,BM3 Heme A82F,0.44,0.07
S2454,0.07,BM3 Heme A82F,0.56,0.21
S2458,0.02,BM3 Heme A82F,0.41,0.06
S2466,0.0,BM3 Heme A82F,0.28,0.0
S2471,0.03,BM3 Heme A82F,0.74,0.0
S2480,0.07,BM3 Heme A82F,0.57,0.0
S2481,0.04,BM3 Heme A82F,0.77,0.1
S2487,0.02,BM3 Heme A82F,0.5,0.05
S2493,0.04,BM3 Heme A82F,0.87,0.09
S2497,0.68,BM3 Heme A82F,0.26,3.26
S2503,0.1,BM3 Heme A82F,0.31,0.41
S2508,0.04,BM3 Heme A82F,0.57,0.0
S2515,0.05,BM3 Heme A82F,0.39,0.0
S2521,0.04,BM3 Heme A82F,0.42,0.13
S2527,0.02,BM3 Heme A82F,0.61,0.05
S2534,0.08,BM3 Heme A82F,0.71,0.23
S2538,0.01,BM3 Heme A82F,0.26,0.05
S2545,0.06,BM3 Heme A82F,0.9,0.14
S2551,0.03,BM3 Heme A82F,0.3,0.13
S2556,0.02,BM3 Heme A82F,0.4,0.06
S2561,0.11,BM3 Heme A82F,0.43,0.42
S2567,0.06,BM3 Heme A82F,0.75,0.0
S2484,0.03,BM3 Heme A82F,0.44,0.1
S2489,0.08,BM3 Heme A82F,0.25,0.35
S2494,0.02,BM3 Heme A82F,0.49,0.08
S2499,0.05,BM3 Heme A82F,0.64,0.16
S2504,0.05,BM3 Heme A82F,0.83,0.0
S2509,0.06,BM3 Heme A82F,0.46,0.23
S2516,0.02,BM3 Heme A82F,0.45,0.0
S2522,0.04,BM3 Heme A82F,0.77,0.11
S2528,0.07,BM3 Heme A82F,0.94,0.16
S2535,0.07,BM3 Heme A82F,0.92,0.15
S2541,0.01,BM3 Heme A82F,0.34,0.0
S2547,0.01,BM3 Heme A82F,0.53,0.0
S2552,0.02,BM3 Heme A82F,0.8,0.0
S2557,0.01,BM3 Heme A82F,0.38,0.02
S2564,0.03,BM3 Heme A82F,0.48,0.0
S2569,0.07,BM3 Heme A82F,0.69,0.19
S2485,0.02,BM3 Heme A82F,0.32,0.06
S2491,0.04,BM3 Heme A82F,0.61,0.1
S2495,0.03,BM3 Heme A82F,0.34,0.11
S2500,4.2,BM3 Heme A82F,0.61,12.46
S2505,1.7,BM3 Heme A82F,0.41,6.56
S2510,0.15,BM3 Heme A82F,0.98,0.32
S2517,0.1,BM3 Heme A82F,0.59,0.27
S2524,0.11,BM3 Heme A82F,0.51,0.0
S2529,0.07,BM3 Heme A82F,0.96,0.0
S2536,0.02,BM3 Heme A82F,0.52,0.06
S2542,0.16,BM3 Heme A82F,0.33,0.5
S2549,0.49,BM3 Heme A82F,0.24,2.38
S2553,0.08,BM3 Heme A82F,0.99,0.17
S2559,0.02,BM3 Heme A82F,0.32,0.06
S2565,0.03,BM3 Heme A82F,0.18,0.14
S2570,0.09,BM3 Heme A82F,0.43,0.0
S2486,0.59,BM3 Heme A82F,0.3,2.53
S2492,0.03,BM3 Heme A82F,0.61,0.09
S2496,0.42,BM3 Heme A82F,0.26,2.02
S2502,0.02,BM3 Heme A82F,0.43,0.06
S2506,0.03,BM3 Heme A82F,0.76,0.07
S2512,0.04,BM3 Heme A82F,0.26,0.13
S2519,0.1,BM3 Heme A82F,0.39,0.0
S2525,0.11,BM3 Heme A82F,0.24,0.52
S2533,0.03,BM3 Heme A82F,0.66,0.0
S2537,0.07,BM3 Heme A82F,0.61,0.22
S2543,0.03,BM3 Heme A82F,0.46,0.07
S2550,0.03,BM3 Heme A82F,0.26,0.13
S2555,0.01,BM3 Heme A82F,0.43,0.04
S2560,0.02,BM3 Heme A82F,0.64,0.05
S2566,0.04,BM3 Heme A82F,0.72,0.0
S2573,1.37,BM3 Heme A82F,0.45,5.0
S1005,0.03,BM3 Heme 1YQO,0.62,0.09
S1021,0.38,BM3 Heme 1YQO,0.46,1.27
S1028,0.25,BM3 Heme 1YQO,0.92,0.38
S1039,0.02,BM3 Heme 1YQO,0.34,0.09
S1046,0.25,BM3 Heme 1YQO,0.83,0.65
S1082,0.02,BM3 Heme 1YQO,0.39,0.08
S1144,0.23,BM3 Heme 1YQO,0.96,0.0
S1166,0.03,BM3 Heme 1YQO,0.49,0.09
S1188,0.02,BM3 Heme 1YQO,0.28,0.07
S1193,0.23,BM3 Heme 1YQO,0.94,0.51
S1199,0.24,BM3 Heme 1YQO,0.8,0.65
S1206,0.02,BM3 Heme 1YQO,0.47,0.06
S1212,0.02,BM3 Heme 1YQO,0.34,0.0
S1221,0.04,BM3 Heme 1YQO,0.16,0.23
S1225,0.23,BM3 Heme 1YQO,0.94,0.45
S1231,0.03,BM3 Heme 1YQO,0.42,0.0
S1011,0.26,BM3 Heme 1YQO,0.95,0.0
S1023,0.03,BM3 Heme 1YQO,0.34,0.11
S1029,0.24,BM3 Heme 1YQO,0.98,0.0
S1040,0.23,BM3 Heme 1YQO,0.95,0.0
S1047,0.24,BM3 Heme 1YQO,0.98,0.44
S1119,0.32,BM3 Heme 1YQO,0.18,1.79
S1148,0.26,BM3 Heme 1YQO,0.88,0.67
S1168,0.02,BM3 Heme 1YQO,0.36,0.09
S1189,0.02,BM3 Heme 1YQO,0.51,0.05
S1196,0.02,BM3 Heme 1YQO,0.09,0.14
S1200,0.02,BM3 Heme 1YQO,0.41,0.0
S1208,0.02,BM3 Heme 1YQO,0.38,0.1
S1213,0.24,BM3 Heme 1YQO,0.99,0.52
S1222,0.23,BM3 Heme 1YQO,0.97,0.06
S1227,0.03,BM3 Heme 1YQO,0.31,0.0
S1233,0.03,BM3 Heme 1YQO,0.28,0.13
S1013,0.01,BM3 Heme 1YQO,0.33,0.03
S1025,0.02,BM3 Heme 1YQO,0.36,0.0
S1033,0.04,BM3 Heme 1YQO,0.47,0.11
S1042,0.02,BM3 Heme 1YQO,0.65,0.0
S1064,0.35,BM3 Heme 1YQO,0.82,0.91
S1120,0.2,BM3 Heme 1YQO,0.21,0.99
S1150,0.03,BM3 Heme 1YQO,0.34,0.13
S1178,0.5,BM3 Heme 1YQO,0.62,1.51
S1190,0.26,BM3 Heme 1YQO,0.9,0.0
S1197,0.03,BM3 Heme 1YQO,0.76,0.07
S1202,0.29,BM3 Heme 1YQO,0.99,0.58
S1209,0.29,BM3 Heme 1YQO,0.99,0.0
S1214,0.28,BM3 Heme 1YQO,0.99,0.36
S1223,0.28,BM3 Heme 1YQO,0.93,0.0
S1228,0.03,BM3 Heme 1YQO,0.28,0.0
S1235,0.29,BM3 Heme 1YQO,0.9,0.36
S1014,0.05,BM3 Heme 1YQO,0.18,0.27
S1026,0.03,BM3 Heme 1YQO,0.22,0.17
S1035,0.28,BM3 Heme 1YQO,0.96,0.6
S1044,0.25,BM3 Heme 1YQO,0.98,0.1
S1068,0.06,BM3 Heme 1YQO,0.18,0.3
S1137,0.01,BM3 Heme 1YQO,0.56,0.0
S1156,0.26,BM3 Heme 1YQO,0.98,0.0
S1185,0.52,BM3 Heme 1YQO,0.41,2.01
S1191,0.02,BM3 Heme 1YQO,0.09,0.17
S1198,0.03,BM3 Heme 1YQO,0.18,0.0
S1204,0.01,BM3 Heme 1YQO,0.24,0.05
S1210,0.02,BM3 Heme 1YQO,0.22,0.0
S1218,0.27,BM3 Heme 1YQO,0.97,0.6
S1224,0.02,BM3 Heme 1YQO,0.52,0.06
S1229,0.27,BM3 Heme 1YQO,0.97,0.13
S1237,0.28,BM3 Heme 1YQO,0.86,0.0
S2574,0.06,BM3 Heme 1YQO,0.37,0.26
S2581,0.02,BM3 Heme 1YQO,0.16,0.0
S2586,0.03,BM3 Heme 1YQO,0.29,0.14
S2594,0.03,BM3 Heme 1YQO,0.27,0.0
S2602,0.26,BM3 Heme 1YQO,0.9,0.65
S2576,0.04,BM3 Heme 1YQO,0.68,0.1
S2583,0.25,BM3 Heme 1YQO,0.98,0.0
S2589,0.03,BM3 Heme 1YQO,0.45,0.0
S2596,0.24,BM3 Heme 1YQO,0.18,1.35
S2603,0.23,BM3 Heme 1YQO,0.98,0.0
S2577,0.01,BM3 Heme 1YQO,0.83,0.03
S2584,0.17,BM3 Heme 1YQO,0.17,0.92
S2590,0.03,BM3 Heme 1YQO,0.43,0.0
S2599,0.05,BM3 Heme 1YQO,0.2,0.24
S2579,4.74,BM3 Heme 1YQO,0.69,12.28
S2585,0.02,BM3 Heme 1YQO,0.23,0.08
S2593,0.22,BM3 Heme 1YQO,0.16,1.29
S2601,0.02,BM3 Heme 1YQO,0.25,0.11
S3149,0.14,BM3 Heme 1YQO,0.2,0.67
S3155,0.04,BM3 Heme 1YQO,0.46,0.0
S3163,0.09,BM3 Heme 1YQO,0.7,0.27
S3173,0.25,BM3 Heme 1YQO,0.94,0.0
S3179,0.08,BM3 Heme 1YQO,0.66,0.24
S3186,0.03,BM3 Heme 1YQO,0.27,0.12
S3196,0.2,BM3 Heme 1YQO,0.91,0.0
S3202,0.24,BM3 Heme 1YQO,0.9,0.29
S3212,0.22,BM3 Heme 1YQO,0.84,0.0
S4007,0.03,BM3 Heme 1YQO,0.58,0.0
S4012,0.21,BM3 Heme 1YQO,0.96,0.0
S4017,0.01,BM3 Heme 1YQO,0.42,0.04
S4022,0.04,BM3 Heme 1YQO,0.48,0.13
S4026,0.21,BM3 Heme 1YQO,0.97,0.47
S4035,0.05,BM3 Heme 1YQO,0.44,0.0
S4040,0.05,BM3 Heme 1YQO,0.41,0.16
S3150,0.09,BM3 Heme 1YQO,0.96,0.21
S3160,0.12,BM3 Heme 1YQO,0.15,0.71
S3167,0.94,BM3 Heme 1YQO,0.46,3.51
S3175,0.06,BM3 Heme 1YQO,0.45,0.19
S3181,0.07,BM3 Heme 1YQO,0.87,0.0
S3188,0.05,BM3 Heme 1YQO,0.34,0.19
S3199,0.24,BM3 Heme 1YQO,0.99,0.34
S3204,0.05,BM3 Heme 1YQO,0.26,0.22
S4000,0.14,BM3 Heme 1YQO,0.12,0.91
S4009,0.03,BM3 Heme 1YQO,0.2,0.14
S4014,0.09,BM3 Heme 1YQO,0.96,0.0
S4019,0.32,BM3 Heme 1YQO,0.16,1.82
S4023,0.02,BM3 Heme 1YQO,0.33,0.09
S4027,0.24,BM3 Heme 1YQO,0.8,0.37
S4037,0.03,BM3 Heme 1YQO,0.57,0.09
S4041,2.04,BM3 Heme 1YQO,0.43,7.77
S3151,0.09,BM3 Heme 1YQO,0.23,0.41
S3161,0.43,BM3 Heme 1YQO,0.23,2.17
S3170,0.04,BM3 Heme 1YQO,0.39,0.17
S3176,0.04,BM3 Heme 1YQO,0.19,0.23
S3183,0.04,BM3 Heme 1YQO,0.35,0.0
S3189,0.02,BM3 Heme 1YQO,0.35,0.0
S3200,0.08,BM3 Heme 1YQO,0.5,0.23
S3208,0.28,BM3 Heme 1YQO,0.8,0.0
S4003,0.03,BM3 Heme 1YQO,0.14,0.17
S4010,0.03,BM3 Heme 1YQO,0.4,0.0
S4015,0.03,BM3 Heme 1YQO,0.08,0.2
S4020,0.02,BM3 Heme 1YQO,0.42,0.0
S4024,0.04,BM3 Heme 1YQO,0.75,0.0
S4031,0.04,BM3 Heme 1YQO,0.17,0.24
S4038,0.05,BM3 Heme 1YQO,0.87,0.12
S4042,0.04,BM3 Heme 1YQO,0.45,0.0
S3154,0.48,BM3 Heme 1YQO,0.23,2.31
S3162,0.02,BM3 Heme 1YQO,0.35,0.07
S3172,0.26,BM3 Heme 1YQO,0.88,0.0
S3178,0.25,BM3 Heme 1YQO,0.94,0.58
S3185,0.07,BM3 Heme 1YQO,0.35,0.27
S3195,0.03,BM3 Heme 1YQO,0.29,0.1
S3201,0.22,BM3 Heme 1YQO,0.12,1.51
S3209,0.02,BM3 Heme 1YQO,0.23,0.11
S4004,0.03,BM3 Heme 1YQO,0.7,0.0
S4011,0.02,BM3 Heme 1YQO,0.23,0.07
S4016,0.02,BM3 Heme 1YQO,0.42,0.0
S4021,0.65,BM3 Heme 1YQO,0.37,2.47
S4025,0.26,BM3 Heme 1YQO,0.95,0.0
S4034,0.03,BM3 Heme 1YQO,0.47,0.1
S4039,0.05,BM3 Heme 1YQO,0.96,0.05
S4043,0.01,BM3 Heme 1YQO,0.2,0.07
S4044,0.11,BM3 Heme 1YQO,0.15,0.66
S4048,0.24,BM3 Heme 1YQO,0.98,0.0
S4053,0.08,BM3 Heme 1YQO,0.24,0.42
S4058,0.02,BM3 Heme 1YQO,0.21,0.09
S4063,0.04,BM3 Heme 1YQO,0.3,0.0
S4070,0.23,BM3 Heme 1YQO,0.9,0.0
S4075,0.05,BM3 Heme 1YQO,0.41,0.14
S4079,0.23,BM3 Heme 1YQO,0.84,0.0
S4084,0.47,BM3 Heme 1YQO,0.49,1.64
S4089,0.22,BM3 Heme 1YQO,0.16,1.29
S4096,0.03,BM3 Heme 1YQO,0.33,0.11
S4101,0.38,BM3 Heme 1YQO,0.64,1.14
S4106,1.45,BM3 Heme 1YQO,0.42,4.9
S4116,0.28,BM3 Heme 1YQO,0.64,0.88
S4132,0.05,BM3 Heme 1YQO,0.37,0.19
S4144,0.03,BM3 Heme 1YQO,0.64,0.0
S4045,0.03,BM3 Heme 1YQO,0.38,0.1
S4049,0.25,BM3 Heme 1YQO,0.96,0.14
S4054,0.28,BM3 Heme 1YQO,0.76,0.77
S4059,0.02,BM3 Heme 1YQO,0.38,0.0
S4064,0.02,BM3 Heme 1YQO,0.43,0.06
S4072,0.01,BM3 Heme 1YQO,0.31,0.0
S4076,0.65,BM3 Heme 1YQO,0.56,1.9
S4080,0.31,BM3 Heme 1YQO,0.72,0.89
S4085,0.25,BM3 Heme 1YQO,0.94,0.0
S4090,0.05,BM3 Heme 1YQO,0.36,0.19
S4097,0.36,BM3 Heme 1YQO,0.23,1.77
S4102,0.24,BM3 Heme 1YQO,0.86,0.24
S4107,0.06,BM3 Heme 1YQO,0.49,0.01
S4120,0.22,BM3 Heme 1YQO,0.9,0.0
S4135,0.03,BM3 Heme 1YQO,0.28,0.11
S4146,0.03,BM3 Heme 1YQO,0.34,0.0
S4046,0.04,BM3 Heme 1YQO,0.39,0.13
S4050,0.25,BM3 Heme 1YQO,0.67,0.0
S4056,0.02,BM3 Heme 1YQO,0.37,0.07
S4060,0.25,BM3 Heme 1YQO,0.69,0.0
S4065,0.02,BM3 Heme 1YQO,0.44,0.08
S4073,0.26,BM3 Heme 1YQO,0.67,0.0
S4077,0.28,BM3 Heme 1YQO,0.97,0.38
S4081,0.28,BM3 Heme 1YQO,0.64,0.87
S4086,0.04,BM3 Heme 1YQO,0.36,0.0
S4092,0.04,BM3 Heme 1YQO,0.21,0.19
S4099,0.02,BM3 Heme 1YQO,0.27,0.08
S4104,0.2,BM3 Heme 1YQO,0.16,1.17
S4111,0.06,BM3 Heme 1YQO,0.94,0.13
S4122,0.43,BM3 Heme 1YQO,0.18,2.5
S4136,1.12,BM3 Heme 1YQO,0.37,4.63
S4147,0.37,BM3 Heme 1YQO,0.26,1.8
S4047,0.04,BM3 Heme 1YQO,0.18,0.22
S4051,0.03,BM3 Heme 1YQO,0.18,0.17
