cpd,km,protein,rsq,vmax
S1178,0.11,BM3 Heme A82F,0.9,0.21
S1190,0.01,BM3 Heme A82F,0.7,0.03
S1197,0.01,BM3 Heme A82F,0.17,0.0
S1202,0.02,BM3 Heme A82F,0.5,0.06
S1209,0.01,BM3 Heme A82F,0.81,0.03
S1214,0.08,BM3 Heme A82F,0.97,0.0
S1223,0.02,BM3 Heme A82F,0.44,0.06
S1228,0.1,BM3 Heme A82F,0.68,0.0
S1235,0.03,BM3 Heme A82F,0.72,0.08
S1014,0.02,BM3 Heme A82F,0.49,0.05
S1026,0.02,BM3 Heme A82F,0.54,0.0
S1035,0.02,BM3 Heme A82F,0.37,0.0
S1044,0.01,BM3 Heme A82F,0.41,0.0
S1068,0.14,BM3 Heme A82F,0.93,0.33
S1137,0.02,BM3 Heme A82F,0.6,0.07
S1156,0.02,BM3 Heme A82F,0.81,0.06
S1185,0.12,BM3 Heme A82F,0.96,0.04
S1191,0.0,BM3 Heme A82F,0.26,0.0
S1198,0.01,BM3 Heme A82F,0.39,0.02
S1204,0.01,BM3 Heme A82F,0.28,0.0
S1210,0.01,BM3 Heme A82F,0.47,0.03
S1218,0.0,BM3 Heme A82F,0.43,0.0
S1224,0.0,BM3 Heme A82F,0.18,0.01
S1229,0.1,BM3 Heme A82F,0.97,0.22
S1237,0.01,BM3 Heme A82F,0.16,0.0
S2574,0.03,BM3 Heme A82F,0.8,0.08
S2581,0.07,BM3 Heme A82F,0.34,0.28
S2586,0.04,BM3 Heme A82F,0.72,0.09
S2594,0.01,BM3 Heme A82F,0.29,0.02
S2602,0.02,BM3 Heme A82F,0.65,0.06
S2576,0.02,BM3 Heme A82F,0.53,0.06
S2583,0.48,BM3 Heme A82F,0.23,2.37
S2589,0.02,BM3 Heme A82F,0.55,0.07
S2596,0.04,BM3 Heme A82F,0.59,0.0
S2603,1.0,BM3 Heme A82F,0.29,4.65
S2577,0.14,BM3 Heme A82F,0.88,0.34
