baseline,,bm3-a82f-f87v-heme-60-post-lipidex-20in1000,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9969482,0.0004163682461,799.9969482,0.003954036161,
798.9923096,-0.0002807719866,798.9923096,0.004793490749,
797.9871826,5.801433144E-005,797.9871826,0.002931882394,
797.0163574,-0.0003506650392,797.0163574,0.004447121173,
796.010437,-0.0003888402134,796.010437,0.005184250418,
795.0041504,-0.0006431005313,795.0041504,0.002487868303,
793.9974365,-0.001000633347,793.9974365,0.004808357451,
792.9903564,0.001338449307,792.9903564,0.004232306033,
791.9828491,-0.0006721006939,791.9828491,0.003896543989,
791.0097046,0.001114006503,791.0097046,0.00408163853,
790.0013428,-0.0008604766917,790.0013428,0.005571821705,
788.9926758,0.001489103539,788.9926758,0.005753277335,
787.9835815,0.0001965448464,787.9835815,0.005598724354,
787.0089111,5.710820187E-005,787.0089111,0.004154025577,
785.9989624,-0.0003024498583,785.9989624,0.002848181408,
784.9887695,-0.0009564679349,784.9887695,0.00357821444,
784.0128784,0.0008640005835,784.0128784,0.004589858465,
783.001709,-0.0009696405614,783.001709,0.003610344836,
781.9902954,-0.0008331427234,781.9902954,0.004193699919,
781.0134277,0.0006899428554,781.0134277,0.003451203695,
780.0010986,-3.820600978E-005,780.0010986,0.00387794734,
778.9884644,0.0003394199884,778.9884644,0.005607430357,
778.010376,-6.781594129E-005,778.010376,0.004696268123,
776.9969482,-0.0006405157619,776.9969482,0.004518706352,
775.9831543,-0.001104649622,775.9831543,0.004975878168,
775.0039063,-0.0002930855553,775.0039063,0.004476072732,
773.9893188,-9.783793939E-005,773.9893188,0.004707179964,
773.0093384,-0.0002963967272,773.0093384,0.004931183998,
771.9940186,-0.0001604115969,771.9940186,0.005224202294,
771.0132446,-0.0009318263619,771.0132446,0.00359760737,
769.9971313,-0.001111569349,769.9971313,0.004799432121,
769.015686,-0.0006056198035,769.015686,0.005430989433,
767.9988403,-0.000248278986,767.9988403,0.004127238411,
767.0166626,-0.0006959816674,767.0166626,0.00371027505,
765.9989624,0.0004644613364,765.9989624,0.005194152705,
765.0160522,0.0002262764174,765.0160522,0.005551265553,
763.9975586,-0.0005783732049,763.9975586,0.004565869458,
763.0139771,0.001133912476,763.0139771,0.004615601618,
761.994751,-0.0001824577485,761.994751,0.005103938282,
761.010376,-0.001446065144,761.010376,0.003708969802,
759.9904785,-0.0009155012085,759.9904785,0.00398880709,
759.0053101,2.425582898E-005,759.0053101,0.004941761494,
757.9846191,-0.0003142454952,757.9846191,0.003848121502,
756.9987793,0.0008906133007,756.9987793,0.005994566251,
756.0124512,-0.0008764939266,756.0124512,0.004007225391,
754.9906616,0.001082423492,754.9906616,0.005415760912,
754.0037231,-0.0006757708034,754.0037231,0.004322365858,
753.0164185,0.00032203726,753.0164185,0.006084204651,
751.9934692,-5.02158764E-005,751.9934692,0.006039895117,
751.0054321,0.0001517959608,751.0054321,0.005028276239,
750.0170288,0.0002187397331,750.0170288,0.004586509895,
748.992981,-0.0001238725818,748.992981,0.004503273871,
748.0039063,-0.001093701692,748.0039063,0.004859819077,
747.0144043,0.0004947554553,747.0144043,0.005457805004,
745.9891968,-0.0001697270054,745.9891968,0.004995516967,
744.9990845,-0.0001820954931,744.9990845,0.004714637995,
744.0085449,-1.522068305E-005,744.0085449,0.004683367908,
743.0176392,-5.316652459E-005,743.0176392,0.005492486525,
741.9910278,5.278469689E-005,741.9910278,0.005609659012,
740.9993896,-0.00161919964,740.9993896,0.004897908773,
740.0074463,0.0002946822788,740.0074463,0.00576306181,
739.0151367,0.0004759671574,739.0151367,0.005619859789,
737.9871216,0.0007000545738,737.9871216,0.005380325485,
736.9940796,0.0005914827925,736.9940796,0.006161311176,
736.0006714,0.0001685762545,736.0006714,0.005383365788,
735.007019,0.0005730013363,735.007019,0.005669817794,
734.0129395,0.0001595904323,734.0129395,0.006267502904,
732.9830322,-0.0007190343458,732.9830322,0.005746431183,
731.9882202,0.0001841918274,731.9882202,0.005081701558,
730.993103,3.323885539E-005,730.993103,0.006227717269,
729.9976807,6.580711488E-005,729.9976807,0.005344237667,
729.0018921,-0.0008947321912,729.0018921,0.005386065226,
728.0057373,-0.0002216826106,728.0057373,0.004758550785,
727.0092773,-0.0005648267688,727.0092773,0.006061445456,
726.0124512,-0.0003181255597,726.0124512,0.005790028721,
725.0152588,-0.0004639910185,725.0152588,0.005794750992,
724.0177612,0.0004154095368,724.0177612,0.00641183788,
722.9842529,0.0001230016496,722.9842529,0.005629929714,
721.9860229,-0.0003479233419,721.9860229,0.005773790646,
720.9874878,0.0002812903549,720.9874878,0.006047349423,
719.9885254,-0.0007835340803,719.9885254,0.005553153343,
718.9894409,0.0002100636484,718.9894409,0.005622613244,
717.9898071,0.0003250940936,717.9898071,0.0063166162,
716.9898682,-1.827510823E-005,716.9898682,0.00645245472,
715.989624,-0.0002815997868,715.989624,0.006159341894,
714.9890137,0.0007234679069,714.9890137,0.005911873654,
713.9880981,-0.000409736851,713.9880981,0.006067010574,
712.9868164,-0.0007369174273,712.9868164,0.006047533359,
711.9852905,0.0006395175005,711.9852905,0.006957198028,
710.9832764,-0.0001165747526,710.9832764,0.006315039936,
710.0167847,-0.0004848840472,710.0167847,0.005708162207,
709.0142212,-8.934917423E-005,709.0142212,0.006451325025,
708.0112915,-9.307597065E-005,708.0112915,0.006461913232,
707.0079956,0.0006220191135,707.0079956,0.006462937687,
706.0043945,-0.0002101432183,706.0043945,0.00672870269,
705.0004272,-0.0003858401033,705.0004272,0.006128755398,
703.9962158,0.0001537639764,703.9962158,0.006526841316,
702.9915771,3.155614104E-005,702.9915771,0.005693920422,
701.9866943,0.0005379586946,701.9866943,0.007099341601,
701.0172729,-0.0004564920382,701.0172729,0.006144061685,
700.0117188,-0.0002506591263,700.0117188,0.006821832154,
699.0057373,-5.60653898E-005,699.0057373,0.006924029905,
697.9995728,4.61571326E-005,697.9995728,0.006497331895,
696.992981,-0.0001254252857,696.992981,0.006524423603,
695.9860229,0.0005475485232,695.9860229,0.006433669478,
695.0147705,-0.0006376208039,695.0147705,0.005735519342,
694.0072632,-0.0001619641844,694.0072632,0.006386933848,
692.9993286,5.537361722E-005,692.9993286,0.007469612174,
691.9911499,-0.0002538154076,691.9911499,0.006887813564,
690.982605,-0.0003300759417,690.982605,0.006911536679,
690.0097656,-0.0008561364375,690.0097656,0.006502639968,
689.0006104,8.970414638E-005,689.0006104,0.005874298513,
687.9911499,-0.0005892823683,687.9911499,0.00572867319,
687.017334,0.0007929894491,687.017334,0.00672165677,
686.0071411,-0.0002538671251,686.0071411,0.006713612471,
684.9967041,0.0007299761637,684.9967041,0.007211789954,
683.9859619,-0.0001434880978,683.9859619,0.006899333093,
683.0109253,-0.0004461483913,683.0109253,0.006565918215,
681.9994507,0.000360611768,681.9994507,0.007479409222,
680.9877319,-0.000938645564,680.9877319,0.007157443557,
680.0118408,0.0001685503521,680.0118408,0.007928426377,
678.9994507,0.0005783668603,678.9994507,0.007463555317,
677.9866943,-0.0001024963422,677.9866943,0.006892836653,
677.0098877,-0.001057912479,677.0098877,0.006328593008,
675.996582,0.000282248744,675.996582,0.007289623376,
674.9829102,-0.0001526486158,674.9829102,0.007956662215,
674.005127,-0.0001440573978,674.005127,0.007821064442,
672.9909058,-0.0006453751703,672.9909058,0.007973904721,
672.0125122,-0.0006209744024,672.0125122,0.007887645625,
670.9976196,0.0001228462934,670.9976196,0.007861786522,
669.9823608,0.0001341359166,669.9823608,0.007983871736,
669.0031738,-0.001114306273,669.0031738,0.007611818612,
667.9873047,0.001449935138,667.9873047,0.009184296243,
667.0074463,-0.0005775459576,667.0074463,0.008234501816,
665.9910278,0.0003649901773,665.9910278,0.008824079297,
665.010498,0.0007475827006,665.010498,0.0095468238,
663.9934082,-0.0005412488244,663.9934082,0.009099408984,
663.0124512,0.0005126375472,663.0124512,0.009727883153,
661.994751,-0.0005339580239,661.994751,0.008372419514,
661.0130615,-8.251662803E-005,661.0130615,0.009501921013,
659.9946899,-0.0001690542413,659.9946899,0.009422156028,
659.0125122,-0.0001607221202,659.0125122,0.009634525515,
657.9935913,0.0008665684145,657.9935913,0.01040125266,
657.0107422,0.0009443624876,657.0107422,0.01060158107,
655.991272,0.0005334230955,655.991272,0.01108501479,
655.0078125,-0.0001308597421,655.0078125,0.01049132831,
653.9876709,-0.0006073259283,653.9876709,0.01124126744,
653.0036621,-0.0002065209119,653.0036621,0.01093248185,
651.9829102,0.0005693984567,651.9829102,0.01130521297,
650.998291,-0.0005782180815,650.998291,0.01116126124,
650.0134277,-2.324497837E-005,650.0134277,0.01069220249,
648.9918213,-0.0001856144954,648.9918213,0.01078387722,
648.0063477,-0.0002914299839,648.0063477,0.01022404619,
646.9840698,-0.0003909609513,646.9840698,0.01112702675,
645.9981079,-0.0001352590043,645.9981079,0.01123892982,
645.0117188,-0.0008374832105,645.0117188,0.01084796805,
643.9885864,-0.0004897968611,643.9885864,0.01058208477,
643.001709,-0.001024806174,643.001709,0.01098196674,
642.0144653,0.0007071847213,642.0144653,0.01129338983,
640.9904785,-0.0003037949791,640.9904785,0.01085494831,
640.0026855,-0.000304415822,640.0026855,0.01118745003,
639.0146484,-1.325341327E-005,639.0146484,0.01093879994,
637.9898071,-0.000700168428,637.9898071,0.01117342617,
637.0011597,0.000411756133,637.0011597,0.01104311273,
636.0122681,-0.0004162539262,636.0122681,0.01131515019,
634.9864502,-7.921034012E-006,634.9864502,0.0097640194,
633.9970093,6.060328087E-005,633.9970093,0.01008654665,
633.0072632,4.214440196E-005,633.0072632,0.009611764923,
632.0172729,0.000631740375,632.0172729,0.0106163295,
630.9902954,0.0001429658441,630.9902954,0.009677403606,
629.9996948,-3.018199095E-005,629.9996948,0.0103091551,
629.0088501,0.0002486541343,629.0088501,0.01022738591,
628.0177002,-4.773110413E-005,628.0177002,0.0103988396,
626.989624,0.0001387191733,626.989624,0.01108814869,
625.9978638,0.0005372848245,625.9978638,0.01090660039,
625.0059204,0.0002333988232,625.0059204,0.01053124107,
624.0137329,0.0001644588046,624.0137329,0.01091841329,
622.984375,3.753481678E-006,622.984375,0.01118811406,
621.9915771,-0.0002407245483,621.9915771,0.0102498075,
620.9985352,0.0005942563876,620.9985352,0.01024509035,
620.005127,-0.0004645598819,620.005127,0.009620921686,
619.0115356,0.0006633165176,619.0115356,0.01033269428,
618.0177002,-0.0002867736039,618.0177002,0.01001326926,
616.9866333,4.921201253E-005,616.9866333,0.01030122861,
615.9921875,-0.0003030189546,615.9921875,0.01053810958,
614.9974976,-4.974998228E-005,614.9974976,0.01058927365,
614.0025024,0.0004274582025,614.0025024,0.01115401089,
613.0072021,-0.0005254777498,613.0072021,0.0101544559,
612.0117798,-0.0001321018935,612.0117798,0.01137299463,
611.0159302,0.0002818861103,611.0159302,0.01114678662,
609.9829712,0.0004957661731,609.9829712,0.01138484664,
608.9866333,2.316855898E-005,608.9866333,0.0116898315,
607.9899902,0.00068955397,607.9899902,0.01182877179,
606.993103,-0.0001779036975,606.993103,0.0112714991,
605.9959717,-0.0002278402826,605.9959717,0.01158547029,
604.9985962,-0.0001491293369,604.9985962,0.0115336841,
604.0009155,-0.0003488027432,604.0009155,0.01209773496,
603.0029297,0.0003754311183,603.0029297,0.01242682151,
602.0047607,3.929667946E-005,602.0047607,0.0126580419,
601.0062256,-0.0002245286159,601.0062256,0.01262294315,
600.0075073,0.0003836182295,600.0075073,0.01247373223,
599.0085449,-0.0009039802244,599.0085449,0.01237320341,
598.0092163,2.495479021E-005,598.0092163,0.01398563758,
597.0097046,-0.0003538205638,597.0097046,0.01399384439,
596.0098877,0.0003254567564,596.0098877,0.01411394868,
595.0098877,9.312180919E-005,595.0098877,0.01427458506,
594.0095825,0.0003775037767,594.0095825,0.01495327801,
593.0089722,-0.000959464116,593.0089722,0.0147078447,
592.0081787,0.0001226650347,592.0081787,0.01477940101,
591.0070801,0.0003510779352,591.0070801,0.01701025292,
590.0056763,-0.000132464178,590.0056763,0.01662509143,
589.0040894,0.0002429300803,589.0040894,0.01711991243,
588.0021973,0.0002230907994,588.0021973,0.01825290546,
587.000061,-0.0003705806739,587.000061,0.01918184385,
585.9976807,0.0002875070495,585.9976807,0.01923592947,
584.9950562,-0.0002488481696,584.9950562,0.02040647902,
583.9921875,3.507690417E-005,583.9921875,0.02062510327,
582.9889526,0.0001502422529,582.9889526,0.02241901495,
581.9855957,-0.0004570092133,581.9855957,0.02209948562,
580.9818726,-6.43995154E-005,580.9818726,0.02275926434,
580.0151367,-0.0002027950977,580.0151367,0.0237691775,
579.0109863,-0.0001001153869,579.0109863,0.02502789348,
578.0065308,0.0002494829532,578.0065308,0.0258813221,
577.0018311,1.302083729E-005,577.0018311,0.0272680521,
575.9968872,-0.0004072024021,575.9968872,0.02838519961,
574.9917603,-0.0001313255489,574.9917603,0.0287270043,
573.9862061,0.0001736001141,573.9862061,0.0295816455,
573.0177612,-0.0002933959768,573.0177612,0.02959392034,
572.0118408,-4.457334944E-005,572.0118408,0.03079076111,
571.0056763,-0.0001248042099,571.0056763,0.03058387339,
569.9992065,-0.0004227191675,569.9992065,0.03086988069,
568.9925537,-2.220959323E-005,568.9925537,0.03115523979,
567.9855957,-0.0002374647156,567.9855957,0.03088466637,
567.0157471,-0.0002356536861,567.0157471,0.03167019039,
566.0082397,-0.0001834927534,566.0082397,0.0314026922,
565.0006104,0.0002565280301,565.0006104,0.03164234757,
563.9926147,7.445442316E-005,563.9926147,0.03077503294,
562.9844971,0.0006429654313,562.9844971,0.03186441958,
562.0134277,0.0004760189913,562.0134277,0.03094765171,
561.0047607,5.37425949E-005,561.0047607,0.03102860786,
559.9957886,-0.0005419726949,559.9957886,0.03005078994,
558.9866943,-8.815866022E-005,558.9866943,0.03004637919,
558.0146484,-0.0002443983103,558.0146484,0.02987752855,
557.0050659,9.291467723E-005,557.0050659,0.03020019829,
555.9951172,-0.0003590969718,555.9951172,0.03015474603,
554.9849854,9.62029153E-005,554.9849854,0.02992514335,
554.012085,-1.656698828E-006,554.012085,0.03006968088,
553.0014648,0.0005561017315,553.0014648,0.0304405801,
551.9905396,0.0001502681553,551.9905396,0.0303517133,
551.0169067,0.0001932040614,551.0169067,0.03064312227,
550.0056763,0.000221433249,550.0056763,0.03075777739,
548.9940186,-9.685449186E-005,548.9940186,0.03089989722,
