baseline,,bm3-a82f-f87v-heme-10in1000-tube-dm,,bm3-a82f-f87v-heme-10in1000-tube-60,,bm3-a82f-f87v-heme-10in1000-tube-65,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
751.0054321,-1.734325269E-005,751.0054321,0.01338207442,751.0054321,0.00802426599,751.0054321,0.008444470353,
750.0170288,-0.0002751841967,750.0170288,0.01195713878,750.0170288,0.005721013993,750.0170288,0.008910261095,
748.992981,3.417082189E-005,748.992981,0.01401213091,748.992981,0.008377117105,748.992981,0.008782077581,
748.0039063,0.0001306920312,748.0039063,0.01302801631,748.0039063,0.007475379854,748.0039063,0.009301544167,
747.0144043,0.0006254668697,747.0144043,0.01324538607,747.0144043,0.007851243019,747.0144043,0.008832744323,
745.9891968,-0.0003103136551,745.9891968,0.01332203951,745.9891968,0.007115655579,745.9891968,0.0088926116,
744.9990845,-0.001021087402,744.9990845,0.01348123513,744.9990845,0.007967920043,744.9990845,0.008659478277,
744.0085449,0.0002265354124,744.0085449,0.01366813667,744.0085449,0.007267616689,744.0085449,0.009726427495,
743.0176392,-6.83384178E-006,743.0176392,0.01387660671,743.0176392,0.007509248331,743.0176392,0.009372373112,
741.9910278,-4.9491151E-005,741.9910278,0.01291378587,741.9910278,0.007586292457,741.9910278,0.009211265482,
740.9993896,0.0005909902975,740.9993896,0.01391196717,740.9993896,0.008382764645,740.9993896,0.01014740765,
740.0074463,0.001221281243,740.0074463,0.01360485703,740.0074463,0.007648358587,740.0074463,0.009321352467,
739.0151367,-0.0002013978956,739.0151367,0.01472806279,739.0151367,0.008220731281,739.0151367,0.009819540195,
737.9871216,-0.00017955972,737.9871216,0.01397424936,737.9871216,0.007897187956,737.9871216,0.008910790086,
736.9940796,3.013231253E-005,736.9940796,0.01315012202,736.9940796,0.007761476561,736.9940796,0.009987019002,
736.0006714,-0.0002324455563,736.0006714,0.01438219007,736.0006714,0.00838062726,736.0006714,0.01023358759,
735.007019,-0.0001739188738,735.007019,0.01446321979,735.007019,0.007922547869,735.007019,0.01023642346,
734.0129395,0.0003072715772,734.0129395,0.01426717453,734.0129395,0.008271411061,734.0129395,0.009898742661,
732.9830322,0.0002743743826,732.9830322,0.0138600897,732.9830322,0.008309775032,732.9830322,0.01055609155,
731.9882202,0.0005185724585,731.9882202,0.01501169056,731.9882202,0.008561306633,731.9882202,0.01041875221,
730.993103,0.000357269746,730.993103,0.01398355234,730.993103,0.007979257032,730.993103,0.01060662139,
729.9976807,0.0009954718407,729.9976807,0.0146469567,729.9976807,0.008949737996,729.9976807,0.01020443533,
729.0018921,-0.0003994438157,729.0018921,0.01402397454,729.0018921,0.008167155087,729.0018921,0.01039952878,
728.0057373,-0.0002055377117,728.0057373,0.01412218437,728.0057373,0.007855908945,728.0057373,0.01040186267,
727.0092773,0.0006659349892,727.0092773,0.01490106154,727.0092773,0.008811082691,727.0092773,0.01038958691,
726.0124512,0.0002484987199,726.0124512,0.01483744103,726.0124512,0.008759731427,726.0124512,0.01064269803,
725.0152588,-0.001027440303,725.0152588,0.01386885531,725.0152588,0.007657974958,725.0152588,0.008871712722,
724.0177612,-0.0002263914357,724.0177612,0.01411547232,724.0177612,0.008370968513,724.0177612,0.009959789924,
722.9842529,2.11493516E-005,722.9842529,0.01487033535,722.9842529,0.008570653386,722.9842529,0.01059651468,
721.9860229,0.0008688768721,721.9860229,0.01546829939,721.9860229,0.009522453882,721.9860229,0.0113417469,
720.9874878,0.0001214221629,720.9874878,0.01534771267,720.9874878,0.00902693253,720.9874878,0.01124865189,
719.9885254,0.0006567573873,719.9885254,0.01487842575,719.9885254,0.009522083215,719.9885254,0.01092337724,
718.9894409,0.0006979284808,718.9894409,0.01548841782,718.9894409,0.009408823214,718.9894409,0.0113668032,
717.9898071,-0.0001390371617,717.9898071,0.01493513957,717.9898071,0.008801150136,717.9898071,0.01021805685,
716.9898682,0.000304085348,716.9898682,0.01534548681,716.9898682,0.00927435793,716.9898682,0.01080868952,
715.989624,0.0005963300937,715.989624,0.01527126413,715.989624,0.009256904945,715.989624,0.01094049867,
714.9890137,-4.44698162E-005,714.9890137,0.01552391052,714.9890137,0.009480251931,714.9890137,0.01120923087,
713.9880981,-0.0003087615769,713.9880981,0.01533543039,713.9880981,0.0091000963,713.9880981,0.01062500384,
712.9868164,-0.00067013636,712.9868164,0.01477182191,712.9868164,0.008482928388,712.9868164,0.01030114945,
711.9852905,0.0001723311871,711.9852905,0.01539813168,711.9852905,0.01015795395,711.9852905,0.01066495571,
710.9832764,-0.0006035001134,710.9832764,0.01496796031,710.9832764,0.009082570672,710.9832764,0.01104502473,
710.0167847,-1.687732401E-005,710.0167847,0.01559737138,710.0167847,0.009077415802,710.0167847,0.01089736354,
709.0142212,0.0008836616762,709.0142212,0.01511025801,709.0142212,0.01008050609,709.0142212,0.01191690844,
708.0112915,-0.0002330147399,708.0112915,0.01537018642,708.0112915,0.009485014714,708.0112915,0.01141514163,
707.0079956,6.764530553E-005,707.0079956,0.01484148577,707.0079956,0.008774523623,707.0079956,0.01024111453,
706.0043945,0.0004979949445,706.0043945,0.01635110751,706.0043945,0.009980874136,706.0043945,0.01117464807,
705.0004272,-0.0002615765843,705.0004272,0.0158550404,705.0004272,0.009715097025,705.0004272,0.01182550006,
703.9962158,-6.538303569E-005,703.9962158,0.01562613621,703.9962158,0.009649241343,703.9962158,0.01093173865,
702.9915771,0.0003977646993,702.9915771,0.01550081186,702.9915771,0.009606895037,702.9915771,0.010584048,
701.9866943,0.0001640703704,701.9866943,0.01580888964,701.9866943,0.009924061596,701.9866943,0.0113366181,
701.0172729,0.0006874538376,701.0172729,0.01598379761,701.0172729,0.009623912163,701.0172729,0.01160057075,
700.0117188,-0.0002918956161,700.0117188,0.0156063335,700.0117188,0.009523274377,700.0117188,0.01172802038,
699.0057373,-0.0002542810689,699.0057373,0.01637282595,699.0057373,0.0106319543,699.0057373,0.01179118641,
697.9995728,0.0003461297601,697.9995728,0.01663170941,697.9995728,0.01055436768,697.9995728,0.01185428258,
696.992981,-0.0002963449806,696.992981,0.01567527279,696.992981,0.00937009789,696.992981,0.01127466001,
695.9860229,0.0004798802547,695.9860229,0.01574537717,695.9860229,0.01001387835,695.9860229,0.01280768961,
695.0147705,1.11311092E-005,695.0147705,0.01622882485,695.0147705,0.009626982734,695.0147705,0.01180698629,
694.0072632,7.152881881E-005,694.0072632,0.01614966802,694.0072632,0.009950334206,694.0072632,0.01181259844,
