baseline,,bm3-a82f-f87v-heme-60-post-lipidex-20in1000,,bm3-a82f-f87v-heme-60-post-lipidex-post-dilution,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9969482,0.0004163682461,799.9969482,0.003954036161,799.9969482,-0.0002910678159,
798.9923096,-0.0002807719866,798.9923096,0.004793490749,798.9923096,-0.0009936084971,
797.9871826,5.801433144E-005,797.9871826,0.002931882394,797.9871826,-0.0003730118915,
797.0163574,-0.0003506650392,797.0163574,0.004447121173,797.0163574,0.0007638933021,
796.010437,-0.0003888402134,796.010437,0.005184250418,796.010437,-0.0006575750303,
795.0041504,-0.0006431005313,795.0041504,0.002487868303,795.0041504,-0.001551470719,
793.9974365,-0.001000633347,793.9974365,0.004808357451,793.9974365,0.0003371143539,
792.9903564,0.001338449307,792.9903564,0.004232306033,792.9903564,-0.0003266615677,
791.9828491,-0.0006721006939,791.9828491,0.003896543989,791.9828491,-0.0007108678692,
791.0097046,0.001114006503,791.0097046,0.00408163853,791.0097046,-0.0002598173742,
790.0013428,-0.0008604766917,790.0013428,0.005571821705,790.0013428,0.0007129926817,
788.9926758,0.001489103539,788.9926758,0.005753277335,788.9926758,-0.001275184448,
787.9835815,0.0001965448464,787.9835815,0.005598724354,787.9835815,0.0002580562141,
787.0089111,5.710820187E-005,787.0089111,0.004154025577,787.0089111,-9.732033504E-005,
785.9989624,-0.0003024498583,785.9989624,0.002848181408,785.9989624,0.0003457152343,
784.9887695,-0.0009564679349,784.9887695,0.00357821444,784.9887695,-0.001464485889,
784.0128784,0.0008640005835,784.0128784,0.004589858465,784.0128784,-0.0008405318367,
783.001709,-0.0009696405614,783.001709,0.003610344836,783.001709,-0.001919287257,
781.9902954,-0.0008331427234,781.9902954,0.004193699919,781.9902954,-0.001941914321,
781.0134277,0.0006899428554,781.0134277,0.003451203695,781.0134277,0.0005399025977,
780.0010986,-3.820600978E-005,780.0010986,0.00387794734,780.0010986,-0.0003059161536,
778.9884644,0.0003394199884,778.9884644,0.005607430357,778.9884644,0.0006092133117,
778.010376,-6.781594129E-005,778.010376,0.004696268123,778.010376,-0.0003789087932,
776.9969482,-0.0006405157619,776.9969482,0.004518706352,776.9969482,-0.0003330764303,
775.9831543,-0.001104649622,775.9831543,0.004975878168,775.9831543,0.0004210322222,
775.0039063,-0.0002930855553,775.0039063,0.004476072732,775.0039063,-0.0008180540171,
773.9893188,-9.783793939E-005,773.9893188,0.004707179964,773.9893188,0.0005873872433,
773.0093384,-0.0002963967272,773.0093384,0.004931183998,773.0093384,-0.0006900373846,
771.9940186,-0.0001604115969,771.9940186,0.005224202294,771.9940186,0.0005787038244,
771.0132446,-0.0009318263619,771.0132446,0.00359760737,771.0132446,6.523753837E-005,
769.9971313,-0.001111569349,769.9971313,0.004799432121,769.9971313,0.0003064685443,
769.015686,-0.0006056198035,769.015686,0.005430989433,769.015686,-0.0001469039125,
767.9988403,-0.000248278986,767.9988403,0.004127238411,767.9988403,-0.0009176710155,
767.0166626,-0.0006959816674,767.0166626,0.00371027505,767.0166626,-0.0001607221202,
765.9989624,0.0004644613364,765.9989624,0.005194152705,765.9989624,-0.0007264254382,
765.0160522,0.0002262764174,765.0160522,0.005551265553,765.0160522,0.0008424989064,
763.9975586,-0.0005783732049,763.9975586,0.004565869458,763.9975586,-0.0003214882454,
763.0139771,0.001133912476,763.0139771,0.004615601618,763.0139771,5.837678327E-005,
761.994751,-0.0001824577485,761.994751,0.005103938282,761.994751,0.0005358334747,
761.010376,-0.001446065144,761.010376,0.003708969802,761.010376,0.0004445341765,
759.9904785,-0.0009155012085,759.9904785,0.00398880709,759.9904785,-0.0009916456183,
759.0053101,2.425582898E-005,759.0053101,0.004941761494,759.0053101,-0.0003375253873,
757.9846191,-0.0003142454952,757.9846191,0.003848121502,757.9846191,-0.0007860146579,
756.9987793,0.0008906133007,756.9987793,0.005994566251,756.9987793,0.001447389834,
756.0124512,-0.0008764939266,756.0124512,0.004007225391,756.0124512,-0.0004610948672,
754.9906616,0.001082423492,754.9906616,0.005415760912,754.9906616,0.0003835404932,
754.0037231,-0.0006757708034,754.0037231,0.004322365858,754.0037231,-0.0005278564058,
753.0164185,0.00032203726,753.0164185,0.006084204651,753.0164185,0.001356132445,
751.9934692,-5.02158764E-005,751.9934692,0.006039895117,751.9934692,0.001275071292,
751.0054321,0.0001517959608,751.0054321,0.005028276239,751.0054321,0.0006678794161,
750.0170288,0.0002187397331,750.0170288,0.004586509895,750.0170288,0.0005103828153,
748.992981,-0.0001238725818,748.992981,0.004503273871,748.992981,0.0005190130323,
748.0039063,-0.001093701692,748.0039063,0.004859819077,748.0039063,7.062266377E-005,
747.0144043,0.0004947554553,747.0144043,0.005457805004,747.0144043,-3.639414717E-005,
745.9891968,-0.0001697270054,745.9891968,0.004995516967,745.9891968,0.0004232346546,
744.9990845,-0.0001820954931,744.9990845,0.004714637995,744.9990845,-0.0001548740111,
744.0085449,-1.522068305E-005,744.0085449,0.004683367908,744.0085449,3.624186866E-005,
743.0176392,-5.316652459E-005,743.0176392,0.005492486525,743.0176392,0.001035377616,
741.9910278,5.278469689E-005,741.9910278,0.005609659012,741.9910278,0.001494869939,
740.9993896,-0.00161919964,740.9993896,0.004897908773,740.9993896,-0.0003034845868,
740.0074463,0.0002946822788,740.0074463,0.00576306181,740.0074463,0.0002790627186,
739.0151367,0.0004759671574,739.0151367,0.005619859789,739.0151367,0.001388436533,
737.9871216,0.0007000545738,737.9871216,0.005380325485,737.9871216,0.000246582058,
736.9940796,0.0005914827925,736.9940796,0.006161311176,736.9940796,0.001068462268,
736.0006714,0.0001685762545,736.0006714,0.005383365788,736.0006714,0.0008437179495,
735.007019,0.0005730013363,735.007019,0.005669817794,735.007019,0.001705476199,
734.0129395,0.0001595904323,734.0129395,0.006267502904,734.0129395,0.0006838759291,
732.9830322,-0.0007190343458,732.9830322,0.005746431183,732.9830322,0.0003108981764,
731.9882202,0.0001841918274,731.9882202,0.005081701558,731.9882202,0.0004856592277,
730.993103,3.323885539E-005,730.993103,0.006227717269,730.993103,0.0005608968204,
729.9976807,6.580711488E-005,729.9976807,0.005344237667,729.9976807,0.00066533871,
729.0018921,-0.0008947321912,729.0018921,0.005386065226,729.0018921,0.0004023507354,
728.0057373,-0.0002216826106,728.0057373,0.004758550785,728.0057373,0.0007761591114,
727.0092773,-0.0005648267688,727.0092773,0.006061445456,727.0092773,0.0003591091663,
726.0124512,-0.0003181255597,726.0124512,0.005790028721,726.0124512,0.0006111574476,
725.0152588,-0.0004639910185,725.0152588,0.005794750992,725.0152588,0.0007302613812,
724.0177612,0.0004154095368,724.0177612,0.00641183788,724.0177612,0.001027230173,
722.9842529,0.0001230016496,722.9842529,0.005629929714,722.9842529,0.001024401863,
721.9860229,-0.0003479233419,721.9860229,0.005773790646,721.9860229,0.0008708481328,
720.9874878,0.0002812903549,720.9874878,0.006047349423,720.9874878,0.0005771745346,
719.9885254,-0.0007835340803,719.9885254,0.005553153343,719.9885254,0.0002279857872,
718.9894409,0.0002100636484,718.9894409,0.005622613244,718.9894409,0.001427521463,
717.9898071,0.0003250940936,717.9898071,0.0063166162,717.9898071,0.001147849835,
716.9898682,-1.827510823E-005,716.9898682,0.00645245472,716.9898682,0.0009704871336,
715.989624,-0.0002815997868,715.989624,0.006159341894,715.989624,0.001185952569,
714.9890137,0.0007234679069,714.9890137,0.005911873654,714.9890137,0.001445493894,
713.9880981,-0.000409736851,713.9880981,0.006067010574,713.9880981,0.001363195595,
712.9868164,-0.0007369174273,712.9868164,0.006047533359,712.9868164,0.0008201943128,
711.9852905,0.0006395175005,711.9852905,0.006957198028,711.9852905,0.001779079903,
710.9832764,-0.0001165747526,710.9832764,0.006315039936,710.9832764,0.001098746667,
710.0167847,-0.0004848840472,710.0167847,0.005708162207,710.0167847,0.0009349454776,
709.0142212,-8.934917423E-005,709.0142212,0.006451325025,709.0142212,0.001253782888,
708.0112915,-9.307597065E-005,708.0112915,0.006461913232,708.0112915,0.001073133317,
