baseline,,bm3-a82f-f87v-heme-10in1000-tube-dm,,bm3-a82f-f87v-heme-10in1000-tube-60,,bm3-a82f-f87v-heme-10in1000-tube-65,,bm3-a82f-f87v-heme-10in1000-tube-66-dm-pooled,,bm3-a82f-f87v-heme-66-dm-pooled-postdilution,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9969482,0.0003675809421,799.9969482,0.009927213192,799.9969482,0.007102367468,799.9969482,0.006571989041,799.9969482,0.007105525117,799.9969482,0.003114949446,
798.9923096,0.0003509224916,798.9923096,0.009023232386,798.9923096,0.006165275816,798.9923096,0.006890206598,798.9923096,0.00650051143,798.9923096,-0.00126563455,
797.9871826,0.0001909768907,797.9871826,0.01025669929,797.9871826,0.006613041274,797.9871826,0.007323872298,797.9871826,0.006738745607,797.9871826,0.004463048186,
797.0163574,0.0008986804169,797.0163574,0.009669780731,797.0163574,0.007131470367,797.0163574,0.005829223432,797.0163574,0.006482197437,797.0163574,0.002923933789,
796.010437,0.001034028362,796.010437,0.01005035639,796.010437,0.005991311744,796.010437,0.005829196889,796.010437,0.009104457684,796.010437,0.0008618477732,
795.0041504,0.0003192136064,795.0041504,0.009468585253,795.0041504,0.005584119353,795.0041504,0.004650843795,795.0041504,0.008255290799,795.0041504,-0.0003682012029,
793.9974365,0.0007688722108,793.9974365,0.0106380824,793.9974365,0.006321842782,793.9974365,0.006010077894,793.9974365,0.01116118208,793.9974365,-0.0009569328977,
792.9903564,0.0002663447231,792.9903564,0.009660516866,792.9903564,0.007464898285,792.9903564,0.006245023105,792.9903564,0.009183397517,792.9903564,0.000942831859,
791.9828491,0.0002275454899,791.9828491,0.01014852058,791.9828491,0.005461003166,791.9828491,0.006719001569,791.9828491,0.008407995105,791.9828491,-0.001165890833,
791.0097046,6.948349619E-005,791.0097046,0.009983866476,791.0097046,0.005567049608,791.0097046,0.006437321194,791.0097046,0.007062794641,791.0097046,9.995722939E-005,
790.0013428,-0.000125528808,790.0013428,0.00972341001,790.0013428,0.006836873945,790.0013428,0.007722607814,790.0013428,0.009027592838,790.0013428,-0.0005926429876,
788.9926758,0.0006859241985,788.9926758,0.01041445602,788.9926758,0.005470099393,788.9926758,0.0055173398,788.9926758,0.009812338278,788.9926758,-0.002035193378,
787.9835815,-0.0010213973,787.9835815,0.009770797566,787.9835815,0.006369596347,787.9835815,0.005718155298,787.9835815,0.01032360177,787.9835815,0.002688433742,
787.0089111,-0.001173893921,787.0089111,0.009583686478,787.0089111,0.006301146001,787.0089111,0.006959328428,787.0089111,0.009924034588,787.0089111,0.0002540674177,
785.9989624,0.0007810862735,785.9989624,0.01016685739,785.9989624,0.006489580497,785.9989624,0.006204241421,785.9989624,0.008236005902,785.9989624,0.0008040112443,
784.9887695,0.001116627711,784.9887695,0.01107781846,784.9887695,0.007523312699,784.9887695,0.005919510033,784.9887695,0.006617272738,784.9887695,-0.0006869876524,
