baseline,,a264e,,1jme,,k97c,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0085449,0.001012751833,800.0085449,0.125538528,800.0085449,0.007140338421,800.0085449,0.01584948227,
799.0036011,0.000570953649,799.0036011,0.1259619892,799.0036011,0.008140858263,799.0036011,0.01599507779,
797.9984131,0.0005195832346,797.9984131,0.1251581609,797.9984131,0.006351839285,797.9984131,0.01567613147,
796.9927979,-3.696358908E-005,796.9927979,0.1256165057,796.9927979,0.007059190422,796.9927979,0.01566389389,
795.9866333,0.001309290645,795.9866333,0.1273635924,795.9866333,0.007955291308,795.9866333,0.01846493967,
795.0148926,-0.0002153696114,795.0148926,0.1260148138,795.0148926,0.008305579424,795.0148926,0.01618397795,
794.0080566,0.000726034923,794.0080566,0.1252405643,794.0080566,0.005509422161,794.0080566,0.01567758061,
793.0007935,0.001603382058,793.0007935,0.1267020702,793.0007935,0.006832087878,793.0007935,0.01569854096,
791.993103,0.002313783159,791.993103,0.1270847023,791.993103,0.009099091403,791.993103,0.01774201728,
790.9850464,0.0005450603203,790.9850464,0.1259040385,790.9850464,0.005760726985,790.9850464,0.01448061597,
790.0113525,0.001453883015,790.0113525,0.1259264946,790.0113525,0.00779802911,790.0113525,0.01738427952,
789.0025024,0.0005740381312,789.0025024,0.1268586069,789.0025024,0.00649136724,789.0025024,0.01607533358,
787.9932251,0.00194145774,787.9932251,0.1265473366,787.9932251,0.008166469634,787.9932251,0.01709279791,
786.9835815,0.001005979837,786.9835815,0.1253333837,786.9835815,0.006896203384,786.9835815,0.01618099585,
786.0083618,0.0009320919053,786.0083618,0.1247686818,786.0083618,0.007179523353,786.0083618,0.01536495611,
784.9979248,-0.001255981275,784.9979248,0.1257314682,784.9979248,0.006307107862,784.9979248,0.01507091429,
783.9870605,0.0002257066226,783.9870605,0.127225399,783.9870605,0.007528975606,783.9870605,0.01620071754,
783.0106812,0.00145764905,783.0106812,0.126057446,783.0106812,0.007471455727,783.0106812,0.01627789438,
781.9990845,-0.0003447160125,781.9990845,0.1261135489,781.9990845,0.006505372468,781.9990845,0.01569711976,
780.9869995,0.002526895842,780.9869995,0.1269035041,780.9869995,0.007602097932,780.9869995,0.01726415567,
780.0095825,0.00105745974,780.0095825,0.1274157614,780.0095825,0.007512408774,780.0095825,0.01608825475,
778.9967651,0.0008859961526,778.9967651,0.12675336,778.9967651,0.006320476998,778.9967651,0.01668286882,
777.9835815,4.980745871E-005,777.9835815,0.1263724267,777.9835815,0.005819201469,777.9835815,0.01638110541,
777.0048828,0.001161554013,777.0048828,0.1263704896,777.0048828,0.007429427002,777.0048828,0.01706277765,
775.9909668,-0.0003657699854,775.9909668,0.1247387379,775.9909668,0.007011282258,775.9909668,0.01579643413,
775.0115967,0.0002525133605,775.0115967,0.126320973,775.0115967,0.006852651946,775.0115967,0.01580502465,
773.9967651,9.809301264E-005,773.9967651,0.1267404407,773.9967651,0.006361268926,773.9967651,0.01524651702,
773.0167236,0.0005522138672,773.0167236,0.1269852221,773.0167236,0.008223738521,773.0167236,0.0159888193,
772.0011597,-0.0003010012442,772.0011597,0.1254261434,772.0011597,0.007222765125,772.0011597,0.01621665247,
770.9852905,0.0002568647615,770.9852905,0.1259075999,770.9852905,0.006451797672,770.9852905,0.01560034975,
770.0040283,-0.0003818571859,770.0040283,0.1264818907,770.0040283,0.008016224019,770.0040283,0.01582032628,
768.9873657,-0.001165839145,768.9873657,0.1247773096,768.9873657,0.005923892371,768.9873657,0.01561905257,
768.0054321,0.0006038992433,768.0054321,0.1265317798,768.0054321,0.007081396878,768.0054321,0.01522346027,
766.9879761,0.0007554137846,766.9879761,0.1277072281,766.9879761,0.006976294797,766.9879761,0.01566644385,
766.0053101,0.0007780262385,766.0053101,0.1265795231,766.0053101,0.006750366185,766.0053101,0.01583772339,
764.9869995,0.00114930328,764.9869995,0.1257189512,764.9869995,0.007818560116,764.9869995,0.01644298993,
764.0036011,-0.000948460889,764.0036011,0.1251309216,764.0036011,0.006997997407,764.0036011,0.01538474858,
762.9846191,0.00126512791,762.9846191,0.1261017472,762.9846191,0.007643800694,762.9846191,0.0165574532,
762.0004272,-0.0004635255609,762.0004272,0.1247045174,762.0004272,0.006928553805,762.0004272,0.01469643787,
761.0158691,0.0005361185176,761.0158691,0.1266608685,761.0158691,0.006968377158,761.0158691,0.01521367487,
759.9957886,0.001935737324,759.9957886,0.1276191175,759.9957886,0.008716283366,759.9957886,0.0175059177,
759.010498,0.0007272536168,759.010498,0.1279211044,759.010498,0.007155127823,759.010498,0.0166679658,
757.989624,0.0006400878774,757.989624,0.12823838,757.989624,0.007664350793,757.989624,0.01623484306,
757.0036621,0.0006131016416,757.0036621,0.1269282252,757.0036621,0.008187967353,757.0036621,0.01581342705,
756.0172729,0.0008817422204,756.0172729,0.1268766969,756.0172729,0.008245793171,756.0172729,0.01656388119,
754.9952393,-0.0002132997615,754.9952393,0.1258399487,754.9952393,0.007527790498,754.9952393,0.01541344635,
754.0081177,0.000961873855,754.0081177,0.1270955205,754.0081177,0.007457945962,754.0081177,0.01512944978,
752.9854126,0.001313185319,752.9854126,0.1282223463,752.9854126,0.00791719649,752.9854126,0.01576757617,
751.9976196,0.001227822853,751.9976196,0.1280308366,751.9976196,0.007192971651,751.9976196,0.01601653732,
751.0093994,3.911546082E-005,751.0093994,0.1272150278,751.0093994,0.007129970472,751.0093994,0.01437558141,
749.9855347,0.0006591425044,749.9855347,0.1275523007,749.9855347,0.008336320519,749.9855347,0.01572253555,
748.9967041,0.0006423173472,748.9967041,0.1274235994,748.9967041,0.00779542001,748.9967041,0.01541379467,
748.0074463,0.001367168617,748.0074463,0.1268865168,748.0074463,0.007851296104,748.0074463,0.01693892106,
746.9824219,-6.72465394E-005,746.9824219,0.1250811666,746.9824219,0.006737509742,746.9824219,0.01467482932,
