User: Dixonlab,Path: C:\Program Files (x86)\BMG\CLARIOstar\Dixonlab\Data\,Test run no.: 8334
Test name: scan,Date: 02/03/2022,Time: 10:00:28

ID1: 2022-03-02-00.1-prot-30deg-mtrx,
Absorbance

Well,Content,Well Scan: Average (450),
A01,Sample X1,0.3,
A02,Sample X2,0.3,
A03,Sample X3,0.4,
A04,Sample X4,0.3,
A05,Sample X5,0.3,
A06,Sample X6,0.3,
A07,Sample X7,0.5,
A08,Sample X8,0.4,
A09,Sample X9,0.3,
A10,Sample X10,0.3,
A11,Sample X11,0.3,
A12,Sample X12,0.4,
A13,Sample X13,0.3,
A14,Sample X14,0.3,
A15,Sample X15,0.3,
A16,Sample X16,0.3,
A17,Sample X17,0.3,
A18,Sample X18,0.3,
A19,Sample X19,0.3,
A20,Sample X20,0.3,
A21,Sample X21,0.3,
A22,Sample X22,0.4,
A23,Sample X23,0.3,
A24,Sample X24,0.5,
B01,Sample X25,0.3,
B02,Sample X26,0.2,
B03,Sample X27,0.3,
B04,Sample X28,0.3,
B05,Sample X29,0.3,
B06,Sample X30,0.3,
B07,Sample X31,0.3,
B08,Sample X32,0.3,
B09,Sample X33,0.3,
B10,Sample X34,0.3,
B11,Sample X35,0.4,
B12,Sample X36,0.3,
B13,Sample X37,0.3,
B14,Sample X38,2.8,
B15,Sample X39,0.3,
B16,Sample X40,0.3,
B17,Sample X41,0.3,
B18,Sample X42,0.3,
B19,Sample X43,0.3,
B20,Sample X44,0.3,
B21,Sample X45,0.3,
B22,Sample X46,0.3,
B23,Sample X47,0.3,
B24,Sample X48,0.3,
C01,Sample X49,0.4,
C02,Sample X50,0.3,
C03,Sample X51,0.3,
C04,Sample X52,0.3,
C05,Sample X53,0.4,
C06,Sample X54,0.3,
C07,Sample X55,0.4,
C08,Sample X56,0.4,
C09,Sample X57,0.5,
C10,Sample X58,0.4,
C11,Sample X59,0.3,
C12,Sample X60,0.6,
C13,Sample X61,0.3,
C14,Sample X62,0.3,
C15,Sample X63,0.7,
C16,Sample X64,0.5,
C17,Sample X65,0.4,
C18,Sample X66,0.4,
C19,Sample X67,0.4,
C20,Sample X68,0.3,
C21,Sample X69,0.3,
C22,Sample X70,0.3,
C23,Sample X71,0.3,
C24,Sample X72,0.7,
D01,Sample X73,0.4,
D02,Sample X74,0.3,
D03,Sample X75,0.4,
D04,Sample X76,0.3,
D05,Sample X77,0.3,
D06,Sample X78,0.3,
D07,Sample X79,0.3,
D08,Sample X80,0.4,
D09,Sample X81,0.4,
D10,Sample X82,0.4,
D11,Sample X83,0.3,
D12,Sample X84,0.9,
D13,Sample X85,0.4,
D14,Sample X86,0.5,
D15,Sample X87,0.4,
D16,Sample X88,0.4,
D17,Sample X89,0.3,
D18,Sample X90,0.3,
D19,Sample X91,0.5,
D20,Sample X92,0.3,
D21,Sample X93,0.3,
D22,Sample X94,0.3,
D23,Sample X95,0.4,
D24,Sample X96,0.3,
E01,Sample X97,0.3,
E02,Sample X98,0.3,
E03,Sample X99,0.5,
E04,Sample X100,0.3,
E05,Sample X101,0.7,
E06,Sample X102,0.4,
E07,Sample X103,0.6,
E08,Sample X104,0.4,
E09,Sample X105,0.4,
E10,Sample X106,0.4,
E11,Sample X107,0.4,
E12,Sample X108,0.4,
E13,Sample X109,0.3,
E14,Sample X110,0.4,
E15,Sample X111,1.3,
E16,Sample X112,0.4,
E17,Sample X113,0.3,
E18,Sample X114,0.3,
E19,Sample X115,0.3,
E20,Sample X116,0.3,
E21,Sample X117,0.3,
E22,Sample X118,0.3,
E23,Sample X119,0.4,
E24,Sample X120,0.3,
F01,Sample X121,0.6,
F02,Sample X122,0.3,
F03,Sample X123,0.8,
F04,Sample X124,0.3,
F05,Sample X125,0.5,
F06,Sample X126,0.3,
F07,Sample X127,0.3,
F08,Sample X128,0.7,
F09,Sample X129,1.5,
F10,Sample X130,0.4,
F11,Sample X131,0.3,
F12,Sample X132,0.4,
F13,Sample X133,0.3,
F14,Sample X134,0.3,
F15,Sample X135,1.2,
F16,Sample X136,0.3,
F17,Sample X137,0.5,
F18,Sample X138,0.4,
F19,Sample X139,0.3,
F20,Sample X140,0.3,
F21,Sample X141,0.3,
F22,Sample X142,0.3,
F23,Sample X143,0.4,
F24,Sample X144,0.3,
G01,Sample X145,0.6,
G02,Sample X146,0.9,
G03,Sample X147,0.3,
G04,Sample X148,0.3,
G05,Sample X149,0.5,
G06,Sample X150,0.4,
G07,Sample X151,0.3,
G08,Sample X152,0.3,
G09,Sample X153,0.7,
G10,Sample X154,0.3,
