blank,,m3-wt-heme-sample41-5in1005,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
776.753418,-5.647951184E-005,776.753418,-0.001826756634,
776.508667,-0.0003658734204,776.508667,-0.004410244059,
776.2639771,-0.0002530392667,776.2639771,-0.004312245641,
775.9841919,7.85451266E-005,775.9841919,-0.00135472382,
775.7393799,-0.001584640122,775.7393799,-0.001591345994,
775.4945679,0.0001184703506,775.4945679,-0.004763000645,
775.2496948,-0.0007056473987,775.2496948,-0.004195202142,
775.0048218,-0.0005290973932,775.0048218,-0.001717653358,
774.7598877,-0.0003948920639,774.7598877,-0.006221899763,
774.5148926,-0.0002075558587,774.5148926,-0.002804111224,
774.2349854,0.0002581080189,774.2349854,-0.001477797865,
773.9900513,0.0008800821379,773.9900513,-0.002254964318,
773.7449951,0.001763900742,773.7449951,0.0005787038244,
773.5,0.0009849640774,773.5,-0.001792677678,
773.2549438,0.0004399477039,773.2549438,-0.00103746017,
773.0098877,-0.0004794023116,773.0098877,-0.0003527859517,
772.7648315,0.001098071923,772.7648315,-0.003373473417,
772.4846191,0.0008115321398,772.4846191,-0.003497774247,
772.239502,0.0007642823039,772.239502,-0.002144371625,
771.9943848,0.0006132571725,771.9943848,-0.001301819575,
771.7492065,0.0004060040519,771.7492065,-0.004222171381,
771.5039673,0.001787943416,771.5039673,-0.003974205349,
771.258728,-0.0001176099104,771.258728,-0.001765660127,
771.0134888,0.0004276136751,771.0134888,-0.004167718347,
770.7331543,0.002259525936,770.7331543,0.001207367517,
770.487854,0.0007547655259,770.487854,-0.005499299616,
770.2424927,0.000509242469,770.2424927,-0.002111657057,
769.9971924,-0.0014636087,769.9971924,-0.001990102464,
769.7518311,-0.000936785771,769.7518311,-0.002663815161,
769.5064087,0.0003453525424,769.5064087,-0.005429003388,
769.2610474,0.000403283484,769.2610474,0.0001648213511,
769.015564,-0.0007979521761,769.015564,-0.003977129236,
768.7350464,0.0008689287351,768.7350464,-0.004877075553,
768.489563,0.00104791054,768.489563,-0.003409072291,
768.2440796,0.0008241883479,768.2440796,-0.001286901999,
767.9985352,0.0002207339712,767.9985352,0.0006391027709,
767.7529907,-0.0002640601306,767.7529907,-0.003154833335,
767.5073853,-0.0008855873602,767.5073853,-0.0003313175403,
767.2617188,0.0006788462051,767.2617188,-0.00243771309,
767.0161743,-0.0008239965537,767.0161743,-0.004985592794,
766.7354126,-0.0001722628367,766.7354126,-0.001812630449,
