blank,,bm3-wt-44-49-post-lipidex-post-dil,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9969482,0.001117925276,799.9969482,0.008041827939,
798.9923096,0.0001700264256,798.9923096,0.002111179521,
797.9871826,-0.004581996705,797.9871826,0.0003266743151,
797.0163574,0.00386042241,797.0163574,0.01003303099,
796.010437,0.003702260088,796.010437,0.007980918512,
795.0041504,-0.002478587907,795.0041504,0.005840924568,
793.9974365,0.00347875827,793.9974365,0.01097190473,
792.9903564,-0.005482634064,792.9903564,0.004921654239,
791.9828491,-0.004926269874,791.9828491,0.003291364526,
791.0097046,0.003897823626,791.0097046,0.0101020718,
790.0013428,0.003877189942,790.0013428,0.007460500579,
788.9926758,-0.00510702841,788.9926758,0.004296796862,
787.9835815,-0.002411404857,787.9835815,0.004789643455,
787.0089111,0.0005572421942,787.0089111,0.01039210521,
785.9989624,-0.003293994581,785.9989624,0.003060149029,
784.9887695,0.00164815085,784.9887695,0.01050551608,
784.0128784,0.001220320701,784.0128784,0.008830340579,
783.001709,0.002433745423,783.001709,0.009416971356,
781.9902954,-0.0008130415226,781.9902954,0.001576751587,
781.0134277,0.002184253652,781.0134277,0.005431592464,
780.0010986,-0.001851450535,780.0010986,0.0074292426,
778.9884644,0.003623135155,778.9884644,0.006829168648,
778.010376,0.001919720671,778.010376,0.009761027992,
776.9969482,0.0025034633,776.9969482,0.008183377795,
775.9831543,0.001773959491,775.9831543,0.009677615017,
775.0039063,0.001379295602,775.0039063,0.001161190565,
773.9893188,-0.00282232021,773.9893188,0.007579232566,
773.0093384,0.005505542271,773.0093384,0.00558244111,
771.9940186,0.001011973363,771.9940186,0.007612266578,
771.0132446,0.002322162967,771.0132446,0.00901739113,
769.9971313,-0.002320060274,769.9971313,0.008155945688,
769.015686,-0.000749889994,769.015686,0.007953709923,
767.9988403,-0.0003497856087,767.9988403,0.005071618594,
767.0166626,-0.001151846373,767.0166626,0.006490158848,
765.9989624,-0.0005074308137,765.9989624,0.005814111792,
765.0160522,0.002318467479,765.0160522,0.009983337484,
763.9975586,-0.002273453865,763.9975586,0.006628863979,
763.0139771,-0.0008000192465,763.0139771,0.00541266799,
761.994751,0.0007789857336,761.994751,0.004944039509,
761.010376,-0.001619354356,761.010376,0.006706093438,
759.9904785,0.0007875435404,759.9904785,0.007658950053,
759.0053101,0.0005517991958,759.0053101,0.005871359725,
757.9846191,0.001878199633,757.9846191,0.007437563967,
756.9987793,0.002060120925,756.9987793,0.006213195622,
756.0124512,0.0006962690968,756.0124512,0.01111844927,
754.9906616,0.0004966732231,754.9906616,0.001119145076,
754.0037231,0.0008964237059,754.0037231,0.005412222352,
753.0164185,-0.0007140724338,753.0164185,0.009364834987,
751.9934692,-0.001151588163,751.9934692,0.006908958778,
751.0054321,0.005111638922,751.0054321,0.01214160211,
750.0170288,0.0007474271115,750.0170288,0.008334525861,
748.992981,-0.001809330774,748.992981,0.004085348919,
748.0039063,-0.001039009658,748.0039063,0.00808618404,
747.0144043,-0.003044983605,747.0144043,0.003046567319,
745.9891968,-0.001622500713,745.9891968,0.006768902298,
744.9990845,-0.003832336515,744.9990845,0.00614245981,
744.0085449,0.0002344089153,744.0085449,0.005428473465,
743.0176392,0.003862773068,743.0176392,0.00796443969,
741.9910278,-0.002951509785,741.9910278,0.00487207016,
740.9993896,0.001737806248,740.9993896,0.007324714679,
740.0074463,0.001904432545,740.0074463,0.01000288595,
739.0151367,-0.002292303136,739.0151367,0.005412222352,
