,SrcPlate,Cpd,SrcWell,Destination Plate Name,DestWell,Transfer Volume /nl
0,src racks 0..4,S1005,A1,dest racks 0..4 0,A1,20.0
1,src racks 0..4,S1005,A1,dest racks 0..4 0,A2,212.5
2,src racks 0..4,S1005,A1,dest racks 0..4 0,A3,605.0
3,src racks 0..4,S1005,A1,dest racks 0..4 0,A4,1202.5
4,src racks 0..4,S1005,A1,dest racks 0..4 0,A5,2000.0
5,src racks 0..4,S1199,A11,dest racks 0..4 0,K1,20.0
6,src racks 0..4,S1199,A11,dest racks 0..4 0,K2,212.5
7,src racks 0..4,S1199,A11,dest racks 0..4 0,K3,605.0
8,src racks 0..4,S1199,A11,dest racks 0..4 0,K4,1202.5
9,src racks 0..4,S1199,A11,dest racks 0..4 0,K5,2000.0
10,src racks 0..4,S1212,A13,dest racks 0..4 0,M1,20.0
11,src racks 0..4,S1212,A13,dest racks 0..4 0,M2,212.5
12,src racks 0..4,S1212,A13,dest racks 0..4 0,M3,605.0
13,src racks 0..4,S1212,A13,dest racks 0..4 0,M4,1202.5
14,src racks 0..4,S1212,A13,dest racks 0..4 0,M5,2000.0
15,src racks 0..4,S1225,A15,dest racks 0..4 0,O1,20.0
16,src racks 0..4,S1225,A15,dest racks 0..4 0,O2,212.5
17,src racks 0..4,S1225,A15,dest racks 0..4 0,O3,605.0
18,src racks 0..4,S1225,A15,dest racks 0..4 0,O4,1202.5
19,src racks 0..4,S1225,A15,dest racks 0..4 0,O5,2000.0
20,src racks 0..4,S1028,A3,dest racks 0..4 0,C1,20.0
21,src racks 0..4,S1028,A3,dest racks 0..4 0,C2,212.5
22,src racks 0..4,S1028,A3,dest racks 0..4 0,C3,605.0
23,src racks 0..4,S1028,A3,dest racks 0..4 0,C4,1202.5
24,src racks 0..4,S1028,A3,dest racks 0..4 0,C5,2000.0
25,src racks 0..4,S1046,A5,dest racks 0..4 0,E1,20.0
26,src racks 0..4,S1046,A5,dest racks 0..4 0,E2,212.5
27,src racks 0..4,S1046,A5,dest racks 0..4 0,E3,605.0
28,src racks 0..4,S1046,A5,dest racks 0..4 0,E4,1202.5
29,src racks 0..4,S1046,A5,dest racks 0..4 0,E5,2000.0
30,src racks 0..4,S1144,A7,dest racks 0..4 0,G1,20.0
31,src racks 0..4,S1144,A7,dest racks 0..4 0,G2,212.5
32,src racks 0..4,S1144,A7,dest racks 0..4 0,G3,605.0
33,src racks 0..4,S1144,A7,dest racks 0..4 0,G4,1202.5
34,src racks 0..4,S1144,A7,dest racks 0..4 0,G5,2000.0
35,src racks 0..4,S1188,A9,dest racks 0..4 0,I1,20.0
36,src racks 0..4,S1188,A9,dest racks 0..4 0,I2,212.5
37,src racks 0..4,S1188,A9,dest racks 0..4 0,I3,605.0
38,src racks 0..4,S1188,A9,dest racks 0..4 0,I4,1202.5
39,src racks 0..4,S1188,A9,dest racks 0..4 0,I5,2000.0
40,src racks 0..4,S1011,C1,dest racks 0..4 0,A7,20.0
41,src racks 0..4,S1011,C1,dest racks 0..4 0,A8,212.5
42,src racks 0..4,S1011,C1,dest racks 0..4 0,A9,605.0
43,src racks 0..4,S1011,C1,dest racks 0..4 0,A10,1202.5
44,src racks 0..4,S1011,C1,dest racks 0..4 0,A11,2000.0
45,src racks 0..4,S1200,C11,dest racks 0..4 0,K7,20.0
46,src racks 0..4,S1200,C11,dest racks 0..4 0,K8,212.5
47,src racks 0..4,S1200,C11,dest racks 0..4 0,K9,605.0
48,src racks 0..4,S1200,C11,dest racks 0..4 0,K10,1202.5
49,src racks 0..4,S1200,C11,dest racks 0..4 0,K11,2000.0
50,src racks 0..4,S1213,C13,dest racks 0..4 0,M7,20.0
51,src racks 0..4,S1213,C13,dest racks 0..4 0,M8,212.5
52,src racks 0..4,S1213,C13,dest racks 0..4 0,M9,605.0
53,src racks 0..4,S1213,C13,dest racks 0..4 0,M10,1202.5
54,src racks 0..4,S1213,C13,dest racks 0..4 0,M11,2000.0
55,src racks 0..4,S1227,C15,dest racks 0..4 0,O7,20.0
56,src racks 0..4,S1227,C15,dest racks 0..4 0,O8,212.5
57,src racks 0..4,S1227,C15,dest racks 0..4 0,O9,605.0
58,src racks 0..4,S1227,C15,dest racks 0..4 0,O10,1202.5
59,src racks 0..4,S1227,C15,dest racks 0..4 0,O11,2000.0
60,src racks 0..4,S1029,C3,dest racks 0..4 0,C7,20.0
61,src racks 0..4,S1029,C3,dest racks 0..4 0,C8,212.5
62,src racks 0..4,S1029,C3,dest racks 0..4 0,C9,605.0
63,src racks 0..4,S1029,C3,dest racks 0..4 0,C10,1202.5
64,src racks 0..4,S1029,C3,dest racks 0..4 0,C11,2000.0
65,src racks 0..4,S1047,C5,dest racks 0..4 0,E7,20.0
66,src racks 0..4,S1047,C5,dest racks 0..4 0,E8,212.5
67,src racks 0..4,S1047,C5,dest racks 0..4 0,E9,605.0
68,src racks 0..4,S1047,C5,dest racks 0..4 0,E10,1202.5
69,src racks 0..4,S1047,C5,dest racks 0..4 0,E11,2000.0
70,src racks 0..4,S1148,C7,dest racks 0..4 0,G7,20.0
71,src racks 0..4,S1148,C7,dest racks 0..4 0,G8,212.5
72,src racks 0..4,S1148,C7,dest racks 0..4 0,G9,605.0
73,src racks 0..4,S1148,C7,dest racks 0..4 0,G10,1202.5
74,src racks 0..4,S1148,C7,dest racks 0..4 0,G11,2000.0
75,src racks 0..4,S1189,C9,dest racks 0..4 0,I7,20.0
76,src racks 0..4,S1189,C9,dest racks 0..4 0,I8,212.5
77,src racks 0..4,S1189,C9,dest racks 0..4 0,I9,605.0
78,src racks 0..4,S1189,C9,dest racks 0..4 0,I10,1202.5
79,src racks 0..4,S1189,C9,dest racks 0..4 0,I11,2000.0
80,src racks 0..4,S1013,E1,dest racks 0..4 0,A13,20.0
81,src racks 0..4,S1013,E1,dest racks 0..4 0,A14,212.5
82,src racks 0..4,S1013,E1,dest racks 0..4 0,A15,605.0
83,src racks 0..4,S1013,E1,dest racks 0..4 0,A16,1202.5
84,src racks 0..4,S1013,E1,dest racks 0..4 0,A17,2000.0
85,src racks 0..4,S1202,E11,dest racks 0..4 0,K13,20.0
86,src racks 0..4,S1202,E11,dest racks 0..4 0,K14,212.5
87,src racks 0..4,S1202,E11,dest racks 0..4 0,K15,605.0
88,src racks 0..4,S1202,E11,dest racks 0..4 0,K16,1202.5
89,src racks 0..4,S1202,E11,dest racks 0..4 0,K17,2000.0
90,src racks 0..4,S1214,E13,dest racks 0..4 0,M13,20.0
91,src racks 0..4,S1214,E13,dest racks 0..4 0,M14,212.5
92,src racks 0..4,S1214,E13,dest racks 0..4 0,M15,605.0
93,src racks 0..4,S1214,E13,dest racks 0..4 0,M16,1202.5
94,src racks 0..4,S1214,E13,dest racks 0..4 0,M17,2000.0
95,src racks 0..4,S1228,E15,dest racks 0..4 0,O13,20.0
96,src racks 0..4,S1228,E15,dest racks 0..4 0,O14,212.5
97,src racks 0..4,S1228,E15,dest racks 0..4 0,O15,605.0
98,src racks 0..4,S1228,E15,dest racks 0..4 0,O16,1202.5
99,src racks 0..4,S1228,E15,dest racks 0..4 0,O17,2000.0
100,src racks 0..4,S1033,E3,dest racks 0..4 0,C13,20.0
101,src racks 0..4,S1033,E3,dest racks 0..4 0,C14,212.5
102,src racks 0..4,S1033,E3,dest racks 0..4 0,C15,605.0
103,src racks 0..4,S1033,E3,dest racks 0..4 0,C16,1202.5
104,src racks 0..4,S1033,E3,dest racks 0..4 0,C17,2000.0
105,src racks 0..4,S1064,E5,dest racks 0..4 0,E13,20.0
106,src racks 0..4,S1064,E5,dest racks 0..4 0,E14,212.5
107,src racks 0..4,S1064,E5,dest racks 0..4 0,E15,605.0
108,src racks 0..4,S1064,E5,dest racks 0..4 0,E16,1202.5
109,src racks 0..4,S1064,E5,dest racks 0..4 0,E17,2000.0
110,src racks 0..4,S1150,E7,dest racks 0..4 0,G13,20.0
111,src racks 0..4,S1150,E7,dest racks 0..4 0,G14,212.5
112,src racks 0..4,S1150,E7,dest racks 0..4 0,G15,605.0
113,src racks 0..4,S1150,E7,dest racks 0..4 0,G16,1202.5
114,src racks 0..4,S1150,E7,dest racks 0..4 0,G17,2000.0
115,src racks 0..4,S1190,E9,dest racks 0..4 0,I13,20.0
116,src racks 0..4,S1190,E9,dest racks 0..4 0,I14,212.5
117,src racks 0..4,S1190,E9,dest racks 0..4 0,I15,605.0
118,src racks 0..4,S1190,E9,dest racks 0..4 0,I16,1202.5
119,src racks 0..4,S1190,E9,dest racks 0..4 0,I17,2000.0
120,src racks 0..4,S1014,G1,dest racks 0..4 0,A19,20.0
121,src racks 0..4,S1014,G1,dest racks 0..4 0,A20,212.5
122,src racks 0..4,S1014,G1,dest racks 0..4 0,A21,605.0
123,src racks 0..4,S1014,G1,dest racks 0..4 0,A22,1202.5
124,src racks 0..4,S1014,G1,dest racks 0..4 0,A23,2000.0
125,src racks 0..4,S1204,G11,dest racks 0..4 0,K19,20.0
