Run ID	1646207982
Run Date/Time	2022-03-02 07:59:15
Application Name	Labcyte Echo Plate Reformat
Application Version	1.6.4
Protocol Name	2022-02-28-00-echo-protocol.epr
User Name	Lab

[DETAILS]
Source Plate Name	Source Plate Barcode	Source Plate Type	Source Well	Survey Fluid Height	Survey Fluid Volume	Fluid Composition	Fluid Units	Fluid Type	Survey Status
Source[1]	UnknownBarCode	384LDV_DMSO	A1	0.906	4.087	76.71	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	A2	0.41	1.756	76.303	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	A3	0.736	3.316	78.112	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	A4	0.79	3.547	77.115	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	A5	0.781	3.485	76.226	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	A6	0.788	3.592	79.403	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	A7	1.089	5.076	81.077	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	A8	1.202	5.55	78.908	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	A9	1.401	6.519	79.644	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	A10	1.389	6.457	79.61	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	A11	0.942	4.326	79.438	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	A12	0.919	4.218	79.405	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	A13	1.315	6.092	79.081	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	A14	1.063	4.916	79.844	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	A15	1.011	4.659	79.581	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	A16	1.174	5.45	80.025	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	A17	1.272	5.892	79.327	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	A18	1.367	6.322	78.506	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	A19	0.315	1.232	70.487	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	A20	0.386	1.701	79.346	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	A21	0	0	0	Percent	DMSO	Data missing for well (1th row, 21th column), defaulting to 0.0 percent DMSO
Source[1]	UnknownBarCode	384LDV_DMSO	A22	0.872	3.971	78.58	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	A23	0	0	0	Percent	DMSO	Data missing for well (1th row, 23th column), defaulting to 0.0 percent DMSO
Source[1]	UnknownBarCode	384LDV_DMSO	A24	0	0	0	Percent	DMSO	Data missing for well (1th row, 24th column), defaulting to 0.0 percent DMSO
Source[1]	UnknownBarCode	384LDV_DMSO	B1	1.253	5.761	77.772	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	B2	1.35	6.227	78.094	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	B3	0.985	4.491	77.837	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	B4	1.36	6.264	77.612	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	B5	1.266	5.823	77.793	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	B6	1.127	5.205	79.325	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	B7	1.249	5.765	78.624	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	B8	0.923	4.233	79.386	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	B9	1.2	5.594	80.704	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	B10	1.458	6.806	80.19	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	B11	0.364	1.637	80.585	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	B12	1.065	4.984	81.682	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	B13	1.21	5.618	79.93	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	B14	1.309	6.117	80.94	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	B15	1.315	6.12	80.005	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	B16	1.28	5.979	80.891	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	B17	1.272	5.892	79.282	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	B18	1.2	5.562	79.641	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	B19	1.311	6.059	78.598	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	B20	0.97	4.508	80.992	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	B21	1.246	5.722	77.658	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	B22	1.06	4.869	78.659	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	B23	0	0	0	Percent	DMSO	Data missing for well (2th row, 23th column), defaulting to 0.0 percent DMSO
Source[1]	UnknownBarCode	384LDV_DMSO	B24	0	0	0	Percent	DMSO	Data missing for well (2th row, 24th column), defaulting to 0.0 percent DMSO
Source[1]	UnknownBarCode	384LDV_DMSO	C1	1.237	5.751	80.172	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C2	0.95	4.363	79.303	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C3	0	0	0	Percent	DMSO	Data missing for well (3th row, 3th column), defaulting to 0.0 percent DMSO
Source[1]	UnknownBarCode	384LDV_DMSO	C4	0.819	3.726	78.908	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C5	0.907	4.165	79.558	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C6	1.001	4.613	79.62	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C7	0.948	4.358	79.55	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C8	1.053	4.884	80.444	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C9	1.285	6.032	81.851	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C10	1.412	6.616	81.154	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C11	1	4.695	82.37	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C12	1.133	5.281	80.91	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C13	1.285	6.05	82.338	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C14	1.134	5.359	83.178	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C15	1.045	4.856	80.676	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C16	1.061	4.971	81.911	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C17	1.046	4.856	80.652	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C18	1.374	6.433	81.168	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C19	0.902	4.172	80.589	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C20	0.985	4.548	79.995	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C21	0.922	4.224	79.187	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C22	1.145	5.355	81.399	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C23	0	0	0	Percent	DMSO	Data missing for well (3th row, 23th column), defaulting to 0.0 percent DMSO
Source[1]	UnknownBarCode	384LDV_DMSO	C24	0	0	0	Percent	DMSO	Data missing for well (3th row, 24th column), defaulting to 0.0 percent DMSO
Source[1]	UnknownBarCode	384LDV_DMSO	D1	1.452	6.672	76.655	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D2	1.414	6.546	78.586	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D3	1.145	5.333	80.679	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D4	0.873	4.05	81.166	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D5	1.115	5.233	82.09	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D6	1.154	5.358	80.121	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D7	1.251	5.882	82.238	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D8	1.223	5.743	82.028	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D9	1.358	6.356	81.072	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D10	1.217	5.733	82.629	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D11	0.788	3.728	83.528	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D12	1.269	5.945	81.444	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D13	1.312	6.201	83.152	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D14	1.349	6.356	82.455	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D15	1.352	6.352	81.872	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D16	1.346	6.34	82.319	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D17	1.007	4.711	81.891	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D18	1.43	6.753	82.83	Percent	DMSO	
