blank,,m3-wt-heme-sample41-5in1005,,bm3-wt-heme-sample41-postDil,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0020752,0.0009642866207,800.0020752,-0.002031483222,800.0020752,0.004114119802,
799.7595825,0.0001407907112,799.7595825,-0.003228068119,799.7595825,0.003355585271,
799.5170288,0.0003498085134,799.5170288,-0.0001916691836,799.5170288,0.004185284022,
799.2398071,-0.0001536836789,799.2398071,-0.003852965543,799.2398071,0.003908376209,
798.9972534,0.0007120592636,798.9972534,-0.004533685278,798.9972534,0.003417911008,
798.7545166,0.0003135663574,798.7545166,-0.004452830181,798.7545166,0.003663100302,
798.5119629,0.0001447007817,798.5119629,-0.001353433472,798.5119629,0.003952520899,
798.2346191,-0.0006984627107,798.2346191,-0.003353386652,798.2346191,0.004031183664,
797.9918823,-0.0001559608354,797.9918823,-0.001974538667,797.9918823,0.003064711113,
797.7492676,0.0007102442905,797.7492676,0.0005352114094,797.7492676,0.004126715474,
797.5065308,0.0004498721974,797.5065308,-0.003407171695,797.5065308,0.003797876416,
797.2637329,0.0004121966194,797.2637329,-0.002592440695,797.2637329,0.004523885436,
796.9862671,-9.141962073E-005,796.9862671,-0.005351485219,796.9862671,0.002617774764,
796.7435303,-0.0005125502357,796.7435303,-0.001109813573,796.7435303,0.001977992011,
796.5006104,3.62159808E-005,796.5006104,-0.002769491635,796.5006104,0.003440714674,
796.2578125,-0.001317923772,796.2578125,-0.002574582584,796.2578125,0.001850590459,
796.0148315,-0.0007801749161,796.0148315,-0.003053363413,796.0148315,0.00306405942,
795.7372437,-0.0003656665212,795.7372437,-0.005123912822,795.7372437,0.00278583332,
795.4943848,-0.0008387233247,795.4943848,-0.0007021325873,795.4943848,0.004582324065,
795.2514038,0.0004304898612,795.2514038,-0.0007658079267,795.2514038,0.004125643987,
795.0084229,-9.31893851E-007,795.0084229,-0.002831630176,795.0084229,0.004202560522,
794.7653809,0.0001749208168,794.7653809,-0.002189858584,794.7653809,0.003129967488,
794.4876099,-0.0007937662886,794.4876099,-0.002612048062,794.4876099,0.002450379776,
794.2446289,-0.001109865261,794.2446289,-0.00331064174,794.2446289,0.002786119701,
794.0015259,0.001060495852,794.0015259,-0.003770751646,794.0015259,0.005095216446,
793.7584229,0.0004401290789,793.7584229,-0.001775405137,793.7584229,0.004024128895,
793.5153198,0.0008389197174,793.5153198,-0.001850471133,793.5153198,0.004899191204,
793.2373657,0.0005782631924,793.2373657,-0.00148894242,793.2373657,0.003875518451,
792.9942627,0.0002689608082,792.9942627,-0.004257239401,792.9942627,0.00308827823,
