,SrcWell,Destination Well,Volume,Plate
493,B1,K7,555.0,A
497,B1,K9,1500.0,A
499,B1,K10,1495.0,A
501,B1,K11,1465.0,A
503,B1,K12,1382.5,A
505,B1,K13,1220.0,A
507,B1,K14,952.5,A
509,B1,K15,555.0,A
513,B1,K17,1500.0,A
515,B1,K18,1495.0,A
517,B1,K19,1465.0,A
519,B1,K20,1382.5,A
521,B1,K21,1220.0,A
523,B1,K22,952.5,A
525,B1,K23,555.0,A
529,B1,L1,1500.0,A
531,B1,L2,1495.0,A
533,B1,L3,1465.0,A
535,B1,L4,1382.5,A
537,B1,L5,1220.0,A
539,B1,L6,952.5,A
541,B1,L7,555.0,A
545,B1,L9,1500.0,A
547,B1,L10,1495.0,A
549,B1,L11,1465.0,A
551,B1,L12,1382.5,A
553,B1,L13,1220.0,A
555,B1,L14,952.5,A
557,B1,L15,555.0,A
561,B1,L17,1500.0,A
563,B1,L18,830.0,A
565,B2,L19,1465.0,A
567,B2,L20,1382.5,A
569,B2,L21,1220.0,A
571,B2,L22,952.5,A
573,B2,L23,555.0,A
577,B2,M1,1500.0,A
579,B2,M2,1495.0,A
581,B2,M3,1465.0,A
583,B2,M4,1382.5,A
585,B2,M5,1220.0,A
587,B2,M6,952.5,A
589,B2,M7,555.0,A
593,B2,M9,1500.0,A
595,B2,M10,1495.0,A
597,B2,M11,1465.0,A
599,B2,M12,1382.5,A
601,B2,M13,1220.0,A
603,B2,M14,952.5,A
605,B2,M15,555.0,A
609,B2,M17,1500.0,A
611,B2,M18,1495.0,A
613,B2,M19,1465.0,A
615,B2,M20,1382.5,A
617,B2,M21,1220.0,A
619,B2,M22,952.5,A
621,B2,M23,555.0,A
625,B2,N1,1500.0,A
627,B2,N2,1495.0,A
629,B2,N3,1465.0,A
631,B2,N4,1382.5,A
633,B2,N5,1220.0,A
635,B2,N6,952.5,A
637,B2,N7,555.0,A
641,B2,N9,1500.0,A
643,B2,N10,1495.0,A
645,B2,N11,1465.0,A
647,B2,N12,20.0,A
649,B3,N13,1220.0,A
651,B3,N14,952.5,A
653,B3,N15,555.0,A
657,B3,N17,1500.0,A
659,B3,N18,1495.0,A
661,B3,N19,1465.0,A
663,B3,N20,1382.5,A
665,B3,N21,1220.0,A
667,B3,N22,952.5,A
669,B3,N23,555.0,A
673,B3,O1,1500.0,A
675,B3,O2,1495.0,A
677,B3,O3,1465.0,A
679,B3,O4,1382.5,A
681,B3,O5,1220.0,A
683,B3,O6,952.5,A
685,B3,O7,555.0,A
689,B3,O9,1500.0,A
691,B3,O10,1495.0,A
693,B3,O11,1465.0,A
695,B3,O12,1382.5,A
697,B3,O13,1220.0,A
699,B3,O14,952.5,A
701,B3,O15,555.0,A
705,B3,O17,1500.0,A
707,B3,O18,1495.0,A
709,B3,O19,1465.0,A
711,B3,O20,1382.5,A
713,B3,O21,1220.0,A
715,B3,O22,952.5,A
717,B3,O23,555.0,A
721,B3,P1,1500.0,A
723,B3,P2,1495.0,A
725,B3,P3,1465.0,A
727,B3,P4,1382.5,A
729,B3,P5,787.5,A
731,B4,P6,952.5,A
733,B4,P7,555.0,A
737,B4,P9,1500.0,A
739,B4,P10,1495.0,A
741,B4,P11,1465.0,A
743,B4,P12,1382.5,A
745,B4,P13,1220.0,A
747,B4,P14,952.5,A
749,B4,P15,555.0,A
753,B4,P17,1500.0,A
755,B4,P18,1495.0,A
757,B4,P19,1465.0,A
759,B4,P20,1382.5,A
761,B4,P21,1220.0,A
763,B4,P22,952.5,A
765,B4,P23,555.0,A
