,SrcWell,Destination Well,Volume,Plate
251,B7,F6,952.5,A
252,C14,F7,945.0,B
253,B7,F7,555.0,A
254,C14,F8,1500.0,B
257,B7,F9,1500.0,A
258,C18,F10,5.0,B
259,B7,F10,1495.0,A
260,C18,F11,35.0,B
261,B7,F11,1465.0,A
262,C18,F12,117.5,B
263,B7,F12,1382.5,A
264,C18,F13,280.0,B
265,B7,F13,1220.0,A
266,C18,F14,547.5,B
267,B7,F14,952.5,A
268,C18,F15,945.0,B
269,B7,F15,555.0,A
270,C18,F16,1500.0,B
273,B7,F17,1500.0,A
274,C22,F18,5.0,B
275,B7,F18,1495.0,A
276,C22,F19,35.0,B
277,B7,F19,1465.0,A
278,C22,F20,117.5,B
279,B7,F20,1382.5,A
280,C22,F21,280.0,B
281,B7,F21,1220.0,A
282,C22,F22,547.5,B
283,B7,F22,952.5,A
284,C22,F23,945.0,B
285,B7,F23,555.0,A
286,C22,F24,1500.0,B
289,B7,G1,1500.0,A
290,D2,G2,5.0,B
291,B7,G2,1495.0,A
292,D2,G3,35.0,B
293,B7,G3,1465.0,A
294,D2,G4,117.5,B
295,B7,G4,1382.5,A
296,D2,G5,280.0,B
297,B7,G5,817.5,A
298,D2,G6,547.5,B
299,B8,G6,952.5,A
300,D2,G7,945.0,B
301,B8,G7,555.0,A
302,D2,G8,1500.0,B
305,B8,G9,1500.0,A
306,D6,G10,5.0,B
307,B8,G10,1495.0,A
308,D6,G11,35.0,B
309,B8,G11,1465.0,A
310,D6,G12,117.5,B
311,B8,G12,1382.5,A
312,D6,G13,280.0,B
313,B8,G13,1220.0,A
314,D6,G14,547.5,B
315,B8,G14,952.5,A
316,D6,G15,945.0,B
317,B8,G15,555.0,A
318,D6,G16,1500.0,B
321,B8,G17,1500.0,A
322,D10,G18,5.0,B
323,B8,G18,1495.0,A
324,D10,G19,35.0,B
325,B8,G19,1465.0,A
326,D10,G20,117.5,B
327,B8,G20,1382.5,A
328,D10,G21,280.0,B
329,B8,G21,1220.0,A
330,D10,G22,547.5,B
331,B8,G22,952.5,A
332,D10,G23,945.0,B
333,B8,G23,555.0,A
334,D10,G24,1500.0,B
337,B8,H1,1500.0,A
338,D14,H2,5.0,B
339,B8,H2,1495.0,A
340,D14,H3,35.0,B
341,B8,H3,1465.0,A
342,D14,H4,117.5,B
343,B8,H4,1382.5,A
344,D14,H5,280.0,B
345,B8,H5,1220.0,A
346,D14,H6,547.5,B
347,B8,H6,952.5,A
348,D14,H7,945.0,B
349,B8,H7,555.0,A
350,D14,H8,1500.0,B
353,B8,H9,1500.0,A
354,D18,H10,5.0,B
355,B8,H10,1495.0,A
356,D18,H11,35.0,B
357,B8,H11,1465.0,A
358,D18,H12,117.5,B
359,B8,H12,1382.5,A
360,D18,H13,280.0,B
361,B8,H13,1220.0,A
362,D18,H14,547.5,B
363,B8,H14,952.5,A
364,D18,H15,945.0,B
365,B8,H15,555.0,A
366,D18,H16,1500.0,B
369,B8,H17,1500.0,A
370,D22,H18,5.0,B
371,B8,H18,1495.0,A
372,D22,H19,35.0,B
373,B8,H19,1465.0,A
374,D22,H20,117.5,B
375,B8,H20,1382.5,A
376,D22,H21,280.0,B
377,B8,H21,1220.0,A
378,D22,H22,547.5,B
379,B8,H22,952.5,A
380,D22,H23,945.0,B
381,B8,H23,555.0,A
382,D22,H24,1500.0,B
385,B8,I1,240.0,A
386,E2,I2,5.0,B
387,B9,I2,1495.0,A
388,E2,I3,35.0,B
389,B9,I3,1465.0,A
390,E2,I4,117.5,B
391,B9,I4,1382.5,A
392,E2,I5,280.0,B
393,B9,I5,1220.0,A
394,E2,I6,547.5,B
395,B9,I6,952.5,A
396,E2,I7,945.0,B
397,B9,I7,555.0,A
398,E2,I8,1500.0,B
401,B9,I9,1500.0,A
402,E6,I10,5.0,B
403,B9,I10,1495.0,A
404,E6,I11,35.0,B
405,B9,I11,1465.0,A
406,E6,I12,117.5,B
407,B9,I12,1382.5,A
408,E6,I13,280.0,B
