,SrcWell,Destination Well,Volume,Plate
2,A2,A2,5.0,B
4,A2,A3,35.0,B
6,A2,A4,117.5,B
8,A2,A5,280.0,B
10,A2,A6,547.5,B
12,A2,A7,945.0,B
14,A2,A8,1500.0,B
18,A6,A10,5.0,B
20,A6,A11,35.0,B
22,A6,A12,117.5,B
24,A6,A13,280.0,B
26,A6,A14,547.5,B
28,A6,A15,945.0,B
30,A6,A16,1500.0,B
34,A10,A18,5.0,B
36,A10,A19,35.0,B
38,A10,A20,117.5,B
40,A10,A21,280.0,B
42,A10,A22,547.5,B
44,A10,A23,945.0,B
46,A10,A24,1500.0,B
50,A14,B2,5.0,B
52,A14,B3,35.0,B
54,A14,B4,117.5,B
56,A14,B5,280.0,B
58,A14,B6,547.5,B
60,A14,B7,945.0,B
62,A14,B8,1500.0,B
66,A18,B10,5.0,B
68,A18,B11,35.0,B
70,A18,B12,117.5,B
72,A18,B13,280.0,B
74,A18,B14,547.5,B
76,A18,B15,945.0,B
78,A18,B16,1500.0,B
82,A22,B18,5.0,B
84,A22,B19,35.0,B
86,A22,B20,117.5,B
88,A22,B21,280.0,B
90,A22,B22,547.5,B
92,A22,B23,945.0,B
94,A22,B24,1500.0,B
98,B2,C2,5.0,B
100,B2,C3,35.0,B
102,B2,C4,117.5,B
104,B2,C5,280.0,B
106,B2,C6,547.5,B
108,B2,C7,945.0,B
110,B2,C8,1500.0,B
114,B6,C10,5.0,B
116,B6,C11,35.0,B
118,B6,C12,117.5,B
120,B6,C13,280.0,B
122,B6,C14,547.5,B
124,B6,C15,945.0,B
126,B6,C16,1500.0,B
130,B10,C18,5.0,B
132,B10,C19,35.0,B
134,B10,C20,117.5,B
136,B10,C21,280.0,B
138,B10,C22,547.5,B
140,B10,C23,945.0,B
142,B10,C24,1500.0,B
146,B14,D2,5.0,B
148,B14,D3,35.0,B
150,B14,D4,117.5,B
152,B14,D5,280.0,B
154,B14,D6,547.5,B
156,B14,D7,945.0,B
158,B14,D8,1500.0,B
162,B18,D10,5.0,B
164,B18,D11,35.0,B
166,B18,D12,117.5,B
168,B18,D13,280.0,B
170,B18,D14,547.5,B
172,B18,D15,945.0,B
174,B18,D16,1500.0,B
178,B22,D18,5.0,B
180,B22,D19,35.0,B
182,B22,D20,117.5,B
184,B22,D21,280.0,B
186,B22,D22,547.5,B
188,B22,D23,945.0,B
190,B22,D24,1500.0,B
194,C2,E2,5.0,B
196,C2,E3,35.0,B
198,C2,E4,117.5,B
200,C2,E5,280.0,B
202,C2,E6,547.5,B
204,C2,E7,945.0,B
206,C2,E8,1500.0,B
210,C6,E10,5.0,B
212,C6,E11,35.0,B
214,C6,E12,117.5,B
216,C6,E13,280.0,B
218,C6,E14,547.5,B
220,C6,E15,945.0,B
222,C6,E16,1500.0,B
226,C10,E18,5.0,B
228,C10,E19,35.0,B
230,C10,E20,117.5,B
232,C10,E21,280.0,B
234,C10,E22,547.5,B
236,C10,E23,945.0,B
238,C10,E24,1500.0,B
242,C14,F2,5.0,B
244,C14,F3,35.0,B
246,C14,F4,117.5,B
248,C14,F5,280.0,B
250,C14,F6,547.5,B
252,C14,F7,945.0,B
254,C14,F8,1500.0,B
258,C18,F10,5.0,B
260,C18,F11,35.0,B
262,C18,F12,117.5,B
264,C18,F13,280.0,B
266,C18,F14,547.5,B
268,C18,F15,945.0,B
270,C18,F16,1500.0,B
274,C22,F18,5.0,B
276,C22,F19,35.0,B
278,C22,F20,117.5,B
280,C22,F21,280.0,B
282,C22,F22,547.5,B
284,C22,F23,945.0,B
286,C22,F24,1500.0,B
290,D2,G2,5.0,B
292,D2,G3,35.0,B
294,D2,G4,117.5,B
296,D2,G5,280.0,B
298,D2,G6,547.5,B
300,D2,G7,945.0,B
302,D2,G8,1500.0,B
306,D6,G10,5.0,B
308,D6,G11,35.0,B
310,D6,G12,117.5,B
312,D6,G13,280.0,B
314,D6,G14,547.5,B
316,D6,G15,945.0,B
318,D6,G16,1500.0,B
322,D10,G18,5.0,B
324,D10,G19,35.0,B
326,D10,G20,117.5,B
328,D10,G21,280.0,B
330,D10,G22,547.5,B
332,D10,G23,945.0,B
334,D10,G24,1500.0,B
338,D14,H2,5.0,B
340,D14,H3,35.0,B
342,D14,H4,117.5,B
344,D14,H5,280.0,B
346,D14,H6,547.5,B
348,D14,H7,945.0,B
350,D14,H8,1500.0,B
354,D18,H10,5.0,B
356,D18,H11,35.0,B
358,D18,H12,117.5,B
360,D18,H13,280.0,B
362,D18,H14,547.5,B
364,D18,H15,945.0,B
366,D18,H16,1500.0,B
370,D22,H18,5.0,B
372,D22,H19,35.0,B
374,D22,H20,117.5,B
376,D22,H21,280.0,B
378,D22,H22,547.5,B
380,D22,H23,945.0,B
382,D22,H24,1500.0,B
386,E2,I2,5.0,B
388,E2,I3,35.0,B
390,E2,I4,117.5,B
392,E2,I5,280.0,B
394,E2,I6,547.5,B
396,E2,I7,945.0,B
398,E2,I8,1500.0,B
402,E6,I10,5.0,B
404,E6,I11,35.0,B
406,E6,I12,117.5,B
408,E6,I13,280.0,B
410,E6,I14,547.5,B
412,E6,I15,945.0,B
414,E6,I16,1500.0,B
418,E10,I18,5.0,B
420,E10,I19,35.0,B
422,E10,I20,117.5,B
424,E10,I21,280.0,B
426,E10,I22,547.5,B
428,E10,I23,945.0,B
430,E10,I24,1500.0,B
434,E14,J2,5.0,B
436,E14,J3,35.0,B
438,E14,J4,117.5,B
440,E14,J5,280.0,B
442,E14,J6,547.5,B
444,E14,J7,945.0,B
446,E14,J8,1500.0,B
450,E18,J10,5.0,B
452,E18,J11,35.0,B
454,E18,J12,117.5,B
456,E18,J13,280.0,B
458,E18,J14,547.5,B
460,E18,J15,945.0,B
462,E18,J16,1500.0,B
466,E22,J18,5.0,B
468,E22,J19,35.0,B
470,E22,J20,117.5,B
472,E22,J21,280.0,B
474,E22,J22,547.5,B
476,E22,J23,945.0,B
478,E22,J24,1500.0,B
482,F2,K2,5.0,B
484,F2,K3,35.0,B
486,F2,K4,117.5,B
488,F2,K5,280.0,B
490,F2,K6,547.5,B
492,F2,K7,945.0,B
494,F2,K8,1500.0,B
498,F6,K10,5.0,B
500,F6,K11,35.0,B
502,F6,K12,117.5,B
504,F6,K13,280.0,B
506,F6,K14,547.5,B
508,F6,K15,945.0,B
