,SrcWell,Destination Well,Volume,Plate
493,B10,K7,555.0,A
497,B10,K9,1500.0,A
499,B10,K10,1495.0,A
501,B10,K11,1465.0,A
503,B10,K12,1382.5,A
505,B10,K13,1220.0,A
507,B10,K14,952.5,A
509,B10,K15,555.0,A
513,B10,K17,1500.0,A
515,B10,K18,1495.0,A
517,B10,K19,1465.0,A
519,B10,K20,1382.5,A
521,B10,K21,1220.0,A
523,B10,K22,952.5,A
525,B10,K23,555.0,A
529,B10,L1,1500.0,A
531,B10,L2,1495.0,A
533,B10,L3,1465.0,A
535,B10,L4,1382.5,A
537,B10,L5,1220.0,A
539,B10,L6,952.5,A
541,B10,L7,555.0,A
545,B10,L9,1500.0,A
547,B10,L10,1495.0,A
549,B10,L11,1465.0,A
551,B10,L12,80.0,A
553,B11,L13,1220.0,A
555,B11,L14,952.5,A
557,B11,L15,555.0,A
561,B11,L17,1500.0,A
563,B11,L18,1495.0,A
565,B11,L19,1465.0,A
567,B11,L20,1382.5,A
569,B11,L21,1220.0,A
571,B11,L22,952.5,A
573,B11,L23,555.0,A
577,B11,M1,1500.0,A
579,B11,M2,1495.0,A
581,B11,M3,1465.0,A
583,B11,M4,1382.5,A
585,B11,M5,1220.0,A
587,B11,M6,952.5,A
589,B11,M7,555.0,A
593,B11,M9,1500.0,A
595,B11,M10,1495.0,A
597,B11,M11,1465.0,A
599,B11,M12,1382.5,A
601,B11,M13,1220.0,A
603,B11,M14,952.5,A
605,B11,M15,555.0,A
609,B11,M17,1500.0,A
611,B11,M18,1495.0,A
613,B11,M19,1465.0,A
615,B11,M20,1382.5,A
617,B11,M21,1220.0,A
619,B11,M22,952.5,A
621,B11,M23,555.0,A
625,B11,N1,1500.0,A
627,B11,N2,1495.0,A
629,B11,N3,1465.0,A
631,B11,N4,1382.5,A
633,B11,N5,847.5,A
635,B12,N6,952.5,A
637,B12,N7,555.0,A
641,B12,N9,1500.0,A
643,B12,N10,1495.0,A
645,B12,N11,1465.0,A
647,B12,N12,1382.5,A
649,B12,N13,1220.0,A
651,B12,N14,952.5,A
653,B12,N15,555.0,A
657,B12,N17,1500.0,A
659,B12,N18,1495.0,A
661,B12,N19,1465.0,A
663,B12,N20,1382.5,A
665,B12,N21,1220.0,A
667,B12,N22,952.5,A
669,B12,N23,555.0,A
673,B12,O1,1500.0,A
675,B12,O2,1495.0,A
677,B12,O3,1465.0,A
679,B12,O4,1382.5,A
681,B12,O5,1220.0,A
683,B12,O6,952.5,A
685,B12,O7,555.0,A
689,B12,O9,1500.0,A
691,B12,O10,1495.0,A
693,B12,O11,1465.0,A
695,B12,O12,1382.5,A
697,B12,O13,1220.0,A
699,B12,O14,952.5,A
701,B12,O15,555.0,A
705,B12,O17,1500.0,A
707,B12,O18,1495.0,A
709,B12,O19,1465.0,A
711,B12,O20,1382.5,A
713,B12,O21,1220.0,A
715,B12,O22,952.5,A
717,B12,O23,555.0,A
721,B12,P1,270.0,A
723,B13,P2,1495.0,A
725,B13,P3,1465.0,A
727,B13,P4,1382.5,A
729,B13,P5,1220.0,A
731,B13,P6,952.5,A
733,B13,P7,555.0,A
737,B13,P9,1500.0,A
739,B13,P10,1495.0,A
741,B13,P11,1465.0,A
743,B13,P12,1382.5,A
745,B13,P13,1220.0,A
747,B13,P14,952.5,A
749,B13,P15,555.0,A
753,B13,P17,1500.0,A
755,B13,P18,1495.0,A
757,B13,P19,1465.0,A
759,B13,P20,1382.5,A
761,B13,P21,1220.0,A
763,B13,P22,952.5,A
765,B13,P23,555.0,A
