,SrcWell,Destination Well,Volume,Plate
2,A1,A2,5.0,B
4,A1,A3,35.0,B
6,A1,A4,117.5,B
8,A1,A5,280.0,B
10,A1,A6,547.5,B
12,A1,A7,945.0,B
14,A1,A8,1500.0,B
18,A5,A10,5.0,B
20,A5,A11,35.0,B
22,A5,A12,117.5,B
24,A5,A13,280.0,B
26,A5,A14,547.5,B
28,A5,A15,945.0,B
30,A5,A16,1500.0,B
34,A9,A18,5.0,B
36,A9,A19,35.0,B
38,A9,A20,117.5,B
40,A9,A21,280.0,B
42,A9,A22,547.5,B
44,A9,A23,945.0,B
46,A9,A24,1500.0,B
50,A13,B2,5.0,B
52,A13,B3,35.0,B
54,A13,B4,117.5,B
56,A13,B5,280.0,B
58,A13,B6,547.5,B
60,A13,B7,945.0,B
62,A13,B8,1500.0,B
66,A17,B10,5.0,B
68,A17,B11,35.0,B
70,A17,B12,117.5,B
72,A17,B13,280.0,B
74,A17,B14,547.5,B
76,A17,B15,945.0,B
78,A17,B16,1500.0,B
82,A21,B18,5.0,B
84,A21,B19,35.0,B
86,A21,B20,117.5,B
88,A21,B21,280.0,B
90,A21,B22,547.5,B
92,A21,B23,945.0,B
94,A21,B24,1500.0,B
98,B1,C2,5.0,B
100,B1,C3,35.0,B
102,B1,C4,117.5,B
104,B1,C5,280.0,B
106,B1,C6,547.5,B
108,B1,C7,945.0,B
110,B1,C8,1500.0,B
114,B5,C10,5.0,B
116,B5,C11,35.0,B
118,B5,C12,117.5,B
120,B5,C13,280.0,B
122,B5,C14,547.5,B
124,B5,C15,945.0,B
126,B5,C16,1500.0,B
130,B9,C18,5.0,B
132,B9,C19,35.0,B
134,B9,C20,117.5,B
136,B9,C21,280.0,B
138,B9,C22,547.5,B
140,B9,C23,945.0,B
142,B9,C24,1500.0,B
146,B13,D2,5.0,B
148,B13,D3,35.0,B
150,B13,D4,117.5,B
152,B13,D5,280.0,B
154,B13,D6,547.5,B
156,B13,D7,945.0,B
158,B13,D8,1500.0,B
162,B17,D10,5.0,B
164,B17,D11,35.0,B
166,B17,D12,117.5,B
168,B17,D13,280.0,B
170,B17,D14,547.5,B
172,B17,D15,945.0,B
174,B17,D16,1500.0,B
178,B21,D18,5.0,B
180,B21,D19,35.0,B
182,B21,D20,117.5,B
184,B21,D21,280.0,B
186,B21,D22,547.5,B
188,B21,D23,945.0,B
190,B21,D24,1500.0,B
194,C1,E2,5.0,B
196,C1,E3,35.0,B
198,C1,E4,117.5,B
200,C1,E5,280.0,B
202,C1,E6,547.5,B
204,C1,E7,945.0,B
206,C1,E8,1500.0,B
210,C5,E10,5.0,B
212,C5,E11,35.0,B
214,C5,E12,117.5,B
216,C5,E13,280.0,B
218,C5,E14,547.5,B
220,C5,E15,945.0,B
222,C5,E16,1500.0,B
226,C9,E18,5.0,B
228,C9,E19,35.0,B
230,C9,E20,117.5,B
232,C9,E21,280.0,B
234,C9,E22,547.5,B
236,C9,E23,945.0,B
238,C9,E24,1500.0,B
242,C13,F2,5.0,B
244,C13,F3,35.0,B
246,C13,F4,117.5,B
248,C13,F5,280.0,B
250,C13,F6,547.5,B
252,C13,F7,945.0,B
254,C13,F8,1500.0,B
258,C17,F10,5.0,B
260,C17,F11,35.0,B
262,C17,F12,117.5,B
264,C17,F13,280.0,B
266,C17,F14,547.5,B
268,C17,F15,945.0,B
270,C17,F16,1500.0,B
274,C21,F18,5.0,B
276,C21,F19,35.0,B
278,C21,F20,117.5,B
280,C21,F21,280.0,B
282,C21,F22,547.5,B
284,C21,F23,945.0,B
286,C21,F24,1500.0,B
290,D1,G2,5.0,B
292,D1,G3,35.0,B
294,D1,G4,117.5,B
296,D1,G5,280.0,B
298,D1,G6,547.5,B
300,D1,G7,945.0,B
302,D1,G8,1500.0,B
306,D5,G10,5.0,B
308,D5,G11,35.0,B
310,D5,G12,117.5,B
312,D5,G13,280.0,B
314,D5,G14,547.5,B
316,D5,G15,945.0,B
318,D5,G16,1500.0,B
322,D9,G18,5.0,B
324,D9,G19,35.0,B
326,D9,G20,117.5,B
328,D9,G21,280.0,B
330,D9,G22,547.5,B
332,D9,G23,945.0,B
334,D9,G24,1500.0,B
338,D13,H2,5.0,B
340,D13,H3,35.0,B
342,D13,H4,117.5,B
344,D13,H5,280.0,B
346,D13,H6,547.5,B
348,D13,H7,945.0,B
350,D13,H8,1500.0,B
354,D17,H10,5.0,B
356,D17,H11,35.0,B
358,D17,H12,117.5,B
360,D17,H13,280.0,B
362,D17,H14,547.5,B
364,D17,H15,945.0,B
366,D17,H16,1500.0,B
370,D21,H18,5.0,B
372,D21,H19,35.0,B
374,D21,H20,117.5,B
376,D21,H21,280.0,B
378,D21,H22,547.5,B
380,D21,H23,945.0,B
382,D21,H24,1500.0,B
386,E1,I2,5.0,B
388,E1,I3,35.0,B
390,E1,I4,117.5,B
392,E1,I5,280.0,B
394,E1,I6,547.5,B
396,E1,I7,945.0,B
398,E1,I8,1500.0,B
402,E5,I10,5.0,B
404,E5,I11,35.0,B
406,E5,I12,117.5,B
408,E5,I13,280.0,B
410,E5,I14,547.5,B
412,E5,I15,945.0,B
414,E5,I16,1500.0,B
418,E9,I18,5.0,B
420,E9,I19,35.0,B
422,E9,I20,117.5,B
424,E9,I21,280.0,B
426,E9,I22,547.5,B
428,E9,I23,945.0,B
430,E9,I24,1500.0,B
434,E13,J2,5.0,B
436,E13,J3,35.0,B
438,E13,J4,117.5,B
440,E13,J5,280.0,B
442,E13,J6,547.5,B
444,E13,J7,945.0,B
446,E13,J8,1500.0,B
450,E17,J10,5.0,B
452,E17,J11,35.0,B
454,E17,J12,117.5,B
456,E17,J13,280.0,B
458,E17,J14,547.5,B
460,E17,J15,945.0,B
462,E17,J16,1500.0,B
466,E21,J18,5.0,B
468,E21,J19,35.0,B
470,E21,J20,117.5,B
472,E21,J21,280.0,B
474,E21,J22,547.5,B
476,E21,J23,945.0,B
478,E21,J24,1500.0,B
482,F1,K2,5.0,B
484,F1,K3,35.0,B
486,F1,K4,117.5,B
488,F1,K5,280.0,B
490,F1,K6,547.5,B
492,F1,K7,945.0,B
494,F1,K8,1500.0,B
498,F5,K10,5.0,B
500,F5,K11,35.0,B
502,F5,K12,117.5,B
504,F5,K13,280.0,B
506,F5,K14,547.5,B
508,F5,K15,945.0,B
510,F5,K16,1500.0,B
514,F9,K18,5.0,B
516,F9,K19,35.0,B
518,F9,K20,117.5,B
520,F9,K21,280.0,B
522,F9,K22,547.5,B
524,F9,K23,945.0,B
526,F9,K24,1500.0,B
530,F13,L2,5.0,B
532,F13,L3,35.0,B
534,F13,L4,117.5,B
536,F13,L5,280.0,B
538,F13,L6,547.5,B
540,F13,L7,945.0,B
542,F13,L8,1500.0,B
546,F17,L10,5.0,B
548,F17,L11,35.0,B
550,F17,L12,117.5,B
552,F17,L13,280.0,B
554,F17,L14,547.5,B
556,F17,L15,945.0,B
558,F17,L16,1500.0,B
562,F21,L18,5.0,B
564,F21,L19,35.0,B
566,F21,L20,117.5,B
568,F21,L21,280.0,B
570,F21,L22,547.5,B
572,F21,L23,945.0,B
574,F21,L24,1500.0,B
578,G1,M2,5.0,B
580,G1,M3,35.0,B
582,G1,M4,117.5,B
584,G1,M5,280.0,B
586,G1,M6,547.5,B
588,G1,M7,945.0,B
590,G1,M8,1500.0,B
594,G5,M10,5.0,B
596,G5,M11,35.0,B
598,G5,M12,117.5,B
600,G5,M13,280.0,B
602,G5,M14,547.5,B
604,G5,M15,945.0,B
606,G5,M16,1500.0,B
610,G9,M18,5.0,B
612,G9,M19,35.0,B
614,G9,M20,117.5,B
616,G9,M21,280.0,B
618,G9,M22,547.5,B
620,G9,M23,945.0,B
622,G9,M24,1500.0,B
626,G13,N2,5.0,B
628,G13,N3,35.0,B
630,G13,N4,117.5,B
632,G13,N5,280.0,B
634,G13,N6,547.5,B
636,G13,N7,945.0,B
638,G13,N8,1500.0,B
642,G17,N10,5.0,B
644,G17,N11,35.0,B
646,G17,N12,117.5,B
648,G17,N13,280.0,B
650,G17,N14,547.5,B
652,G17,N15,945.0,B
654,G17,N16,1500.0,B
658,G21,N18,5.0,B
660,G21,N19,35.0,B
662,G21,N20,117.5,B
664,G21,N21,280.0,B
666,G21,N22,547.5,B
668,G21,N23,945.0,B
670,G21,N24,1500.0,B
674,H1,O2,5.0,B
676,H1,O3,35.0,B
678,H1,O4,117.5,B
680,H1,O5,280.0,B
682,H1,O6,547.5,B
684,H1,O7,945.0,B
686,H1,O8,1500.0,B
690,H5,O10,5.0,B
692,H5,O11,35.0,B
694,H5,O12,117.5,B
696,H5,O13,280.0,B
698,H5,O14,547.5,B
700,H5,O15,945.0,B
702,H5,O16,1500.0,B
706,H9,O18,5.0,B
708,H9,O19,35.0,B
710,H9,O20,117.5,B
712,H9,O21,280.0,B
714,H9,O22,547.5,B
716,H9,O23,945.0,B
718,H9,O24,1500.0,B
722,H13,P2,5.0,B
724,H13,P3,35.0,B
726,H13,P4,117.5,B
728,H13,P5,280.0,B
730,H13,P6,547.5,B
732,H13,P7,945.0,B
734,H13,P8,1500.0,B
738,H17,P10,5.0,B
740,H17,P11,35.0,B
742,H17,P12,117.5,B
744,H17,P13,280.0,B
746,H17,P14,547.5,B
748,H17,P15,945.0,B
750,H17,P16,1500.0,B
754,H21,P18,5.0,B
756,H21,P19,35.0,B
758,H21,P20,117.5,B
760,H21,P21,280.0,B
762,H21,P22,547.5,B
764,H21,P23,945.0,B
766,H21,P24,1500.0,B
