,SrcWell,Destination Well,Volume,Plate
251,C10,F6,952.5,A
252,C15,F7,945.0,B
253,C10,F7,555.0,A
254,C15,F8,1500.0,B
257,C10,F9,1500.0,A
258,C19,F10,5.0,B
259,C10,F10,1495.0,A
260,C19,F11,35.0,B
261,C10,F11,1465.0,A
262,C19,F12,117.5,B
263,C10,F12,260.0,A
264,C19,F13,280.0,B
265,C11,F13,1220.0,A
266,C19,F14,547.5,B
267,C11,F14,952.5,A
268,C19,F15,945.0,B
269,C11,F15,555.0,A
270,C19,F16,1500.0,B
273,C11,F17,1500.0,A
274,C23,F18,5.0,B
275,C11,F18,1495.0,A
276,C23,F19,35.0,B
277,C11,F19,1465.0,A
278,C23,F20,117.5,B
279,C11,F20,1382.5,A
280,C23,F21,280.0,B
281,C11,F21,1220.0,A
282,C23,F22,547.5,B
283,C11,F22,952.5,A
284,C23,F23,945.0,B
285,C11,F23,555.0,A
286,C23,F24,1500.0,B
289,C11,G1,1500.0,A
290,D3,G2,5.0,B
291,C11,G2,1495.0,A
292,D3,G3,35.0,B
293,C11,G3,1465.0,A
294,D3,G4,117.5,B
295,C11,G4,1382.5,A
296,D3,G5,280.0,B
297,C11,G5,1220.0,A
298,D3,G6,547.5,B
299,C11,G6,952.5,A
300,D3,G7,945.0,B
301,C11,G7,555.0,A
302,D3,G8,1500.0,B
305,C11,G9,1500.0,A
306,D7,G10,5.0,B
307,C11,G10,1495.0,A
308,D7,G11,35.0,B
309,C11,G11,1465.0,A
310,D7,G12,117.5,B
311,C11,G12,1382.5,A
312,D7,G13,280.0,B
313,C11,G13,1220.0,A
314,D7,G14,547.5,B
315,C11,G14,952.5,A
316,D7,G15,945.0,B
317,C11,G15,555.0,A
318,D7,G16,1500.0,B
321,C11,G17,1500.0,A
322,D11,G18,5.0,B
323,C11,G18,1495.0,A
324,D11,G19,35.0,B
325,C11,G19,1465.0,A
326,D11,G20,117.5,B
327,C11,G20,1382.5,A
328,D11,G21,280.0,B
329,C11,G21,1220.0,A
330,D11,G22,547.5,B
331,C11,G22,952.5,A
332,D11,G23,945.0,B
333,C11,G23,555.0,A
334,D11,G24,1500.0,B
337,C11,H1,1500.0,A
338,D15,H2,5.0,B
339,C11,H2,1495.0,A
340,D15,H3,35.0,B
341,C11,H3,1465.0,A
342,D15,H4,117.5,B
343,C11,H4,1382.5,A
344,D15,H5,280.0,B
345,C11,H5,1027.5,A
346,D15,H6,547.5,B
347,C12,H6,952.5,A
348,D15,H7,945.0,B
349,C12,H7,555.0,A
350,D15,H8,1500.0,B
353,C12,H9,1500.0,A
354,D19,H10,5.0,B
355,C12,H10,1495.0,A
356,D19,H11,35.0,B
357,C12,H11,1465.0,A
358,D19,H12,117.5,B
359,C12,H12,1382.5,A
360,D19,H13,280.0,B
361,C12,H13,1220.0,A
362,D19,H14,547.5,B
363,C12,H14,952.5,A
364,D19,H15,945.0,B
365,C12,H15,555.0,A
366,D19,H16,1500.0,B
369,C12,H17,1500.0,A
370,D23,H18,5.0,B
371,C12,H18,1495.0,A
372,D23,H19,35.0,B
373,C12,H19,1465.0,A
374,D23,H20,117.5,B
375,C12,H20,1382.5,A
376,D23,H21,280.0,B
377,C12,H21,1220.0,A
378,D23,H22,547.5,B
379,C12,H22,952.5,A
380,D23,H23,945.0,B
381,C12,H23,555.0,A
382,D23,H24,1500.0,B
385,C12,I1,1500.0,A
386,E3,I2,5.0,B
387,C12,I2,1495.0,A
388,E3,I3,35.0,B
389,C12,I3,1465.0,A
390,E3,I4,117.5,B
391,C12,I4,1382.5,A
392,E3,I5,280.0,B
393,C12,I5,1220.0,A
394,E3,I6,547.5,B
395,C12,I6,952.5,A
396,E3,I7,945.0,B
397,C12,I7,555.0,A
398,E3,I8,1500.0,B
401,C12,I9,1500.0,A
402,E7,I10,5.0,B
403,C12,I10,1495.0,A
404,E7,I11,35.0,B
405,C12,I11,1465.0,A
406,E7,I12,117.5,B
407,C12,I12,1382.5,A
408,E7,I13,280.0,B
409,C12,I13,1220.0,A
410,E7,I14,547.5,B
411,C12,I14,952.5,A
412,E7,I15,945.0,B
413,C12,I15,555.0,A
414,E7,I16,1500.0,B
417,C12,I17,1500.0,A
418,E11,I18,5.0,B
419,C12,I18,1495.0,A
420,E11,I19,35.0,B
421,C12,I19,1465.0,A
422,E11,I20,117.5,B
423,C12,I20,1382.5,A
424,E11,I21,280.0,B
425,C12,I21,1220.0,A
426,E11,I22,547.5,B
427,C12,I22,952.5,A
428,E11,I23,945.0,B
429,C12,I23,555.0,A
430,E11,I24,1500.0,B
433,C12,J1,450.0,A
434,E15,J2,5.0,B
