SrcWell,Destination Well,Volume
D21,A1,1500.0
G1,A2,5.0
D21,A2,560.0
G1,A3,35.0
D22,A3,1465.0
G1,A4,117.5
D22,A4,1382.5
G1,A5,280.0
D22,A5,1220.0
G1,A6,547.5
D22,A6,952.5
G1,A7,655.0
D22,A7,555.0
G2,A8,1500.0
D22,A9,1500.0
G3,A10,5.0
D22,A10,490.0
G3,A11,35.0
D23,A11,1465.0
G3,A12,117.5
D23,A12,1382.5
G3,A13,280.0
D23,A13,1220.0
G3,A14,547.5
D23,A14,952.5
G3,A15,655.0
D23,A15,555.0
G4,A16,1500.0
D23,A17,1500.0
G5,A18,5.0
D23,A18,420.0
G5,A19,35.0
D24,A19,1465.0
G5,A20,117.5
D24,A20,1382.5
G5,A21,280.0
D24,A21,1220.0
G5,A22,547.5
D24,A22,952.5
G5,A23,655.0
D24,A23,555.0
G6,A24,1500.0
D24,B1,1500.0
G7,B2,5.0
D24,B2,350.0
G7,B3,35.0
E1,B3,1465.0
G7,B4,117.5
E1,B4,1382.5
G7,B5,280.0
E1,B5,1220.0
G7,B6,547.5
E1,B6,952.5
G7,B7,655.0
E1,B7,555.0
G8,B8,1500.0
E1,B9,1500.0
G9,B10,5.0
E1,B10,280.0
G9,B11,35.0
E2,B11,1465.0
G9,B12,117.5
E2,B12,1382.5
G9,B13,280.0
E2,B13,1220.0
G9,B14,547.5
E2,B14,952.5
G9,B15,655.0
E2,B15,555.0
G10,B16,1500.0
E2,B17,1500.0
G11,B18,5.0
E2,B18,210.0
G11,B19,35.0
E3,B19,1465.0
G11,B20,117.5
E3,B20,1382.5
G11,B21,280.0
E3,B21,1220.0
G11,B22,547.5
E3,B22,952.5
G11,B23,655.0
E3,B23,555.0
G12,B24,1500.0
E3,C1,1500.0
G13,C2,5.0
E3,C2,140.0
G13,C3,35.0
E4,C3,1465.0
G13,C4,117.5
E4,C4,1382.5
G13,C5,280.0
E4,C5,1220.0
G13,C6,547.5
E4,C6,952.5
G13,C7,655.0
E4,C7,555.0
G14,C8,1500.0
E4,C9,1500.0
G15,C10,5.0
E4,C10,70.0
G15,C11,35.0
E5,C11,1465.0
G15,C12,117.5
E5,C12,1382.5
G15,C13,280.0
E5,C13,1220.0
G15,C14,547.5
E5,C14,952.5
G15,C15,655.0
E5,C15,555.0
G16,C16,1500.0
E5,C17,1500.0
G17,C18,5.0
E6,C18,1495.0
G17,C19,35.0
E6,C19,1465.0
G17,C20,117.5
E6,C20,1382.5
G17,C21,280.0
E6,C21,1220.0
G17,C22,547.5
E6,C22,952.5
G17,C23,655.0
E6,C23,555.0
G18,C24,1500.0
E6,D1,1430.0
G19,D2,5.0
E7,D2,1495.0
G19,D3,35.0
E7,D3,1465.0
G19,D4,117.5
E7,D4,1382.5
G19,D5,280.0
E7,D5,1220.0
G19,D6,547.5
E7,D6,952.5
G19,D7,655.0
E7,D7,555.0
G20,D8,1500.0
E7,D9,1360.0
G21,D10,5.0
E8,D10,1495.0
G21,D11,35.0
E8,D11,1465.0
G21,D12,117.5
E8,D12,1382.5
G21,D13,280.0
E8,D13,1220.0
G21,D14,547.5
E8,D14,952.5
G21,D15,655.0
E8,D15,555.0
G22,D16,1500.0
E8,D17,1290.0
G23,D18,5.0
E9,D18,1495.0
G23,D19,35.0
E9,D19,1465.0
G23,D20,117.5
E9,D20,1382.5
G23,D21,280.0
E9,D21,1220.0
G23,D22,547.5
E9,D22,952.5
G23,D23,655.0
E9,D23,555.0
G24,D24,1500.0
E9,E1,1220.0
H1,E2,5.0
E10,E2,1495.0
H1,E3,35.0
E10,E3,1465.0
H1,E4,117.5
E10,E4,1382.5
