cpd,protein,km,vmax,rsq
S1005,BM3 Heme 1YQO,372.60034730766296,0.9523429482863138,-0.6907088862801876
S1021,BM3 Heme 1YQO,510.8633186805962,1.1713692657455013,0.34847636509909774
S1028,BM3 Heme 1YQO,262.58107937188936,0.6667695866757084,-0.7612003392945741
S1039,BM3 Heme 1YQO,55.131883006301685,0.3515262111831799,-7.618961581838796
S1046,BM3 Heme 1YQO,1333.9285166737338,1.9930427173344825,0.22802542450727314
S1082,BM3 Heme 1YQO,125.02089329218563,0.42505309748311626,-2.156211720780337
S1144,BM3 Heme 1YQO,184.38843311830806,0.585449154124662,-1.989118266082584
S1166,BM3 Heme 1YQO,67.43065135530601,0.24450311766610194,-4.679828254367518
S1188,BM3 Heme 1YQO,285.6090064995792,0.7246083462390196,-0.6263020113835365
S1193,BM3 Heme 1YQO,340.3826099216478,0.8833681961284146,-0.39652919625204985
S1199,BM3 Heme 1YQO,369.82261012537543,1.0183584206746643,-0.18826394006417302
S1206,BM3 Heme 1YQO,73.89591853645828,0.2531574306192205,-3.5062393519491977
S1212,BM3 Heme 1YQO,260.1215440866314,0.7803238190491765,-0.9745193893516066
S1221,BM3 Heme 1YQO,155.82883656161502,0.4075132410132215,-1.3887677224768025
S1225,BM3 Heme 1YQO,229.1242050018793,1.0925311963560058,-14.746477778867755
S1231,BM3 Heme 1YQO,107.43799104573193,0.4707610864085221,-4.501741765296475
S1011,BM3 Heme 1YQO,919.4204938285346,1.7490390916785752,-0.8632053559840926
S1023,BM3 Heme 1YQO,244.28376881460352,0.8828831467383044,-2.186204236667863
S1029,BM3 Heme 1YQO,188.21399654664103,0.6454165840318021,-2.6234484391989685
S1040,BM3 Heme 1YQO,94.63604990129193,0.5779054623821334,-5.9677655268375815
S1047,BM3 Heme 1YQO,199.81819598230047,0.7002284058822528,-2.3348878884685664
S1119,BM3 Heme 1YQO,2000.0,3.3847089418916054,0.7274083721574822
S1148,BM3 Heme 1YQO,280.342840748794,0.7329028547389634,-0.917970860698557
S1168,BM3 Heme 1YQO,281.8573790019061,0.7654519513110788,-1.3231636048155977
S1189,BM3 Heme 1YQO,110.36634330715455,0.4428482809712156,-3.878728579038482
S1196,BM3 Heme 1YQO,352.3299830077681,0.8875787496465323,-0.7291459483451963
S1200,BM3 Heme 1YQO,155.24452397754575,0.4656443407299052,-0.8838168512093421
S1208,BM3 Heme 1YQO,184.74380861469726,0.6934244208996382,-3.6312444255699763
S1213,BM3 Heme 1YQO,249.21625184048946,0.7853722817295752,-2.7373813564995397
S1222,BM3 Heme 1YQO,83.95505926190133,0.6449464657197492,-5.922398914351607
S1227,BM3 Heme 1YQO,93.53604851789119,0.3771681095100829,-4.0223474232469245
S1233,BM3 Heme 1YQO,193.00830552511505,0.6947099562084016,-1.996121150600933
S1013,BM3 Heme 1YQO,70.25131531314246,0.2625474097319447,-2.568294426662763
S1025,BM3 Heme 1YQO,588.6808557735947,2.0433918644610025,-3.1038867862971102
S1033,BM3 Heme 1YQO,51.07016290343998,0.23097223954280932,-5.706815657213893
S1042,BM3 Heme 1YQO,170.8168369731968,0.5786772675516235,-1.9812247903612428
S1064,BM3 Heme 1YQO,1827.394476287429,2.0122799351703384,-1.4423353287744098
S1120,BM3 Heme 1YQO,637.3458702908492,1.0730232160415047,0.17506997448209616
S1150,BM3 Heme 1YQO,171.68719109005352,0.4309163930599408,-0.8056846961958115
S1178,BM3 Heme 1YQO,414.3616121807823,0.8434119194473066,0.6038453421883198
S1190,BM3 Heme 1YQO,280.7371468718596,1.0983849462285393,-5.338575469195085
S1197,BM3 Heme 1YQO,108.75433542347021,0.5450416910068964,-4.597396156174256
S1202,BM3 Heme 1YQO,101.48599029775421,0.3415370207282997,-3.7211258474803506
S1209,BM3 Heme 1YQO,157.7301587842918,0.6508839544385386,-3.615926662895789
S1214,BM3 Heme 1YQO,103.09457304475414,0.3348105967411613,-2.0235689763161595
S1223,BM3 Heme 1YQO,92.08758864352522,0.3133424338633062,-2.869941151333283
S1228,BM3 Heme 1YQO,67.59849006058903,0.49905155588353123,-40.27782169575265
S1235,BM3 Heme 1YQO,61.55375941698511,0.3538825579851218,-6.451647521004166
S1014,BM3 Heme 1YQO,722.0594063176583,1.15911093497751,-0.47714509857708465
S1026,BM3 Heme 1YQO,644.6984982684712,1.2397472978869324,0.725011724031777
S1035,BM3 Heme 1YQO,665.8649593735573,2.191267291474594,-1.8601756018765934
S1044,BM3 Heme 1YQO,160.25290711483126,0.5022664838229565,-2.8337824640025984
