Run ID,1646729444
Run Date/Time,2022-03-08 08:49:55
Application Name,Labcyte Echo Plate Reformat
Application Version,1.6.4
Protocol Name,2022-03-08-00.2-echo-protocol-test.epr
User Name,Lab

[EXCEPTIONS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Well X Offset,Destination Well Y Offset,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
Source[1],,384LDV_DMSO,M10,Destination[1],,384PP_Dest,I2,0,0,,,1500,1500,5.857,92.522,Percent,DMSO,
Source[1],,384LDV_DMSO,O10,Destination[1],,384PP_Dest,I5,0,0,,,167.5,167.5,7.375,83.177,Percent,DMSO,
Source[1],,384LDV_DMSO,O10,Destination[1],,384PP_Dest,I6,0,0,,,667.5,667.5,6.707,83.177,Percent,DMSO,
Source[1],,384LDV_DMSO,O10,Destination[1],,384PP_Dest,I7,0,0,,,1500,1500,5.207,83.177,Percent,DMSO,
Source[1],,384LDV_DMSO,M8,Destination[1],,384PP_Dest,G8,0,0,,,167.5,167.5,8.596,92.576,Percent,DMSO,
Source[1],,384LDV_DMSO,M8,Destination[1],,384PP_Dest,G9,0,0,,,667.5,667.5,7.928,92.576,Percent,DMSO,
Source[1],,384LDV_DMSO,M8,Destination[1],,384PP_Dest,G10,0,0,,,1500,1500,6.428,92.576,Percent,DMSO,
Source[1],,384LDV_DMSO,O8,Destination[1],,384PP_Dest,G13,0,0,,,167.5,167.5,7.836,81.023,Percent,DMSO,
Source[1],,384LDV_DMSO,O8,Destination[1],,384PP_Dest,G14,0,0,,,667.5,667.5,7.169,81.023,Percent,DMSO,
Source[1],,384LDV_DMSO,O8,Destination[1],,384PP_Dest,G15,0,0,,,1500,1500,5.669,81.023,Percent,DMSO,
Source[1],,384LDV_DMSO,G8,Destination[1],,384PP_Dest,F17,0,0,,,167.5,167.5,8.581,92.735,Percent,DMSO,
Source[1],,384LDV_DMSO,G8,Destination[1],,384PP_Dest,F18,0,0,,,667.5,667.5,7.914,92.735,Percent,DMSO,
Source[1],,384LDV_DMSO,G8,Destination[1],,384PP_Dest,F19,0,0,,,1500,1500,6.414,92.735,Percent,DMSO,
Source[1],,384LDV_DMSO,E8,Destination[1],,384PP_Dest,F14,0,0,,,1500,1500,7.027,92.062,Percent,DMSO,
Source[1],,384LDV_DMSO,E8,Destination[1],,384PP_Dest,F13,0,0,,,667.5,667.5,6.36,92.062,Percent,DMSO,
Source[1],,384LDV_DMSO,E8,Destination[1],,384PP_Dest,F12,0,0,,,167.5,167.5,6.192,92.062,Percent,DMSO,
Source[1],,384LDV_DMSO,C8,Destination[1],,384PP_Dest,F9,0,0,,,1500,1500,5.988,77.095,Percent,DMSO,
Source[1],,384LDV_DMSO,C8,Destination[1],,384PP_Dest,F8,0,0,,,667.5,667.5,5.32,77.095,Percent,DMSO,
Source[1],,384LDV_DMSO,C8,Destination[1],,384PP_Dest,F7,0,0,,,167.5,167.5,5.153,77.095,Percent,DMSO,
Source[1],,384LDV_DMSO,A8,Destination[1],,384PP_Dest,F4,0,0,,,1500,1500,6.186,84.64,Percent,DMSO,
Source[1],,384LDV_DMSO,A8,Destination[1],,384PP_Dest,F3,0,0,,,667.5,667.5,5.519,84.64,Percent,DMSO,
Source[1],,384LDV_DMSO,A8,Destination[1],,384PP_Dest,F2,0,0,,,167.5,167.5,5.351,84.64,Percent,DMSO,
Source[1],,384LDV_DMSO,I6,Destination[1],,384PP_Dest,E6,0,0,,,167.5,167.5,8.515,92.575,Percent,DMSO,
Source[1],,384LDV_DMSO,I6,Destination[1],,384PP_Dest,E7,0,0,,,667.5,667.5,7.848,92.575,Percent,DMSO,
Source[1],,384LDV_DMSO,I6,Destination[1],,384PP_Dest,E8,0,0,,,1500,1500,6.348,92.575,Percent,DMSO,
Source[1],,384LDV_DMSO,K6,Destination[1],,384PP_Dest,E11,0,0,,,167.5,167.5,8.216,92.719,Percent,DMSO,
Source[1],,384LDV_DMSO,K6,Destination[1],,384PP_Dest,E12,0,0,,,667.5,667.5,7.548,92.719,Percent,DMSO,
Source[1],,384LDV_DMSO,K6,Destination[1],,384PP_Dest,E13,0,0,,,1500,1500,6.048,92.719,Percent,DMSO,
Source[1],,384LDV_DMSO,M6,Destination[1],,384PP_Dest,E16,0,0,,,167.5,167.5,7.715,85.006,Percent,DMSO,
Source[1],,384LDV_DMSO,M6,Destination[1],,384PP_Dest,E17,0,0,,,667.5,667.5,7.048,85.006,Percent,DMSO,
Source[1],,384LDV_DMSO,M6,Destination[1],,384PP_Dest,E18,0,0,,,1500,1500,5.548,85.006,Percent,DMSO,
Source[1],,384LDV_DMSO,O6,Destination[1],,384PP_Dest,E21,0,0,,,167.5,167.5,4.462,70.931,Percent,DMSO,
Source[1],,384LDV_DMSO,O6,Destination[1],,384PP_Dest,E22,0,0,,,667.5,667.5,3.795,70.931,Percent,DMSO,
Source[1],,384LDV_DMSO,O6,Destination[1],,384PP_Dest,E23,0,0,,,1500,1500,2.295,70.931,Percent,DMSO,
Source[1],,384LDV_DMSO,E6,Destination[1],,384PP_Dest,D22,0,0,,,1500,1500,6.693,91.31,Percent,DMSO,
Source[1],,384LDV_DMSO,E6,Destination[1],,384PP_Dest,D21,0,0,,,667.5,667.5,6.025,91.31,Percent,DMSO,
Source[1],,384LDV_DMSO,E6,Destination[1],,384PP_Dest,D20,0,0,,,167.5,167.5,5.858,91.31,Percent,DMSO,
Source[1],,384LDV_DMSO,C6,Destination[1],,384PP_Dest,D17,0,0,,,1500,1500,5.855,76.145,Percent,DMSO,
Source[1],,384LDV_DMSO,C6,Destination[1],,384PP_Dest,D16,0,0,,,667.5,667.5,5.188,76.145,Percent,DMSO,
Source[1],,384LDV_DMSO,C6,Destination[1],,384PP_Dest,D15,0,0,,,167.5,167.5,5.02,76.145,Percent,DMSO,
Source[1],,384LDV_DMSO,A6,Destination[1],,384PP_Dest,D12,0,0,,,1500,1500,5.909,74.197,Percent,DMSO,
Source[1],,384LDV_DMSO,A6,Destination[1],,384PP_Dest,D11,0,0,,,667.5,667.5,5.241,74.197,Percent,DMSO,
Source[1],,384LDV_DMSO,A6,Destination[1],,384PP_Dest,D10,0,0,,,167.5,167.5,5.074,74.197,Percent,DMSO,
Source[1],,384LDV_DMSO,G6,Destination[1],,384PP_Dest,E3,0,0,,,1500,1500,7.151,93.922,Percent,DMSO,
Source[1],,384LDV_DMSO,G6,Destination[1],,384PP_Dest,E2,0,0,,,667.5,667.5,6.483,93.922,Percent,DMSO,
Source[1],,384LDV_DMSO,G6,Destination[1],,384PP_Dest,E1,0,0,,,167.5,167.5,6.316,93.922,Percent,DMSO,
Source[1],,384LDV_DMSO,E4,Destination[1],,384PP_Dest,C4,0,0,,,167.5,167.5,8.03,90.663,Percent,DMSO,
Source[1],,384LDV_DMSO,E4,Destination[1],,384PP_Dest,C5,0,0,,,667.5,667.5,7.363,90.663,Percent,DMSO,
Source[1],,384LDV_DMSO,E4,Destination[1],,384PP_Dest,C6,0,0,,,1500,1500,5.863,90.663,Percent,DMSO,
Source[1],,384LDV_DMSO,G4,Destination[1],,384PP_Dest,C9,0,0,,,167.5,167.5,6.328,93.033,Percent,DMSO,
Source[1],,384LDV_DMSO,G4,Destination[1],,384PP_Dest,C10,0,0,,,667.5,667.5,5.661,93.033,Percent,DMSO,
Source[1],,384LDV_DMSO,G4,Destination[1],,384PP_Dest,C11,0,0,,,1500,1500,4.161,93.033,Percent,DMSO,
Source[1],,384LDV_DMSO,I4,Destination[1],,384PP_Dest,C14,0,0,,,167.5,167.5,8.112,90.765,Percent,DMSO,
Source[1],,384LDV_DMSO,I4,Destination[1],,384PP_Dest,C15,0,0,,,667.5,667.5,7.445,90.765,Percent,DMSO,
Source[1],,384LDV_DMSO,I4,Destination[1],,384PP_Dest,C16,0,0,,,1500,1500,5.945,90.765,Percent,DMSO,
Source[1],,384LDV_DMSO,K4,Destination[1],,384PP_Dest,C19,0,0,,,167.5,167.5,8.113,90.858,Percent,DMSO,
Source[1],,384LDV_DMSO,K4,Destination[1],,384PP_Dest,C20,0,0,,,667.5,667.5,7.445,90.858,Percent,DMSO,
Source[1],,384LDV_DMSO,K4,Destination[1],,384PP_Dest,C21,0,0,,,1500,1500,5.945,90.858,Percent,DMSO,
Source[1],,384LDV_DMSO,M4,Destination[1],,384PP_Dest,C24,0,0,,,167.5,167.5,7.918,81.69,Percent,DMSO,
Source[1],,384LDV_DMSO,A4,Destination[1],,384PP_Dest,B20,0,0,,,1500,1500,5.465,74.434,Percent,DMSO,
Source[1],,384LDV_DMSO,A4,Destination[1],,384PP_Dest,B19,0,0,,,667.5,667.5,4.797,74.434,Percent,DMSO,
Source[1],,384LDV_DMSO,A4,Destination[1],,384PP_Dest,B18,0,0,,,167.5,167.5,4.63,74.434,Percent,DMSO,
Source[1],,384LDV_DMSO,O4,Destination[1],,384PP_Dest,D7,0,0,,,1500,1500,5.892,85.449,Percent,DMSO,
Source[1],,384LDV_DMSO,O4,Destination[1],,384PP_Dest,D6,0,0,,,667.5,667.5,5.224,85.449,Percent,DMSO,
Source[1],,384LDV_DMSO,O4,Destination[1],,384PP_Dest,D5,0,0,,,167.5,167.5,5.057,85.449,Percent,DMSO,
Source[1],,384LDV_DMSO,M4,Destination[1],,384PP_Dest,D2,0,0,,,1500,1500,6.418,81.69,Percent,DMSO,
Source[1],,384LDV_DMSO,M4,Destination[1],,384PP_Dest,D1,0,0,,,667.5,667.5,5.751,81.69,Percent,DMSO,
Source[1],,384LDV_DMSO,K2,Destination[1],,384PP_Dest,B3,0,0,,,167.5,167.5,7.965,88.836,Percent,DMSO,
Source[1],,384LDV_DMSO,K2,Destination[1],,384PP_Dest,B4,0,0,,,667.5,667.5,7.298,88.836,Percent,DMSO,
Source[1],,384LDV_DMSO,K2,Destination[1],,384PP_Dest,B5,0,0,,,1500,1500,5.798,88.836,Percent,DMSO,
Source[1],,384LDV_DMSO,M2,Destination[1],,384PP_Dest,B8,0,0,,,167.5,167.5,7.754,80.182,Percent,DMSO,
Source[1],,384LDV_DMSO,M2,Destination[1],,384PP_Dest,B9,0,0,,,667.5,667.5,7.087,80.182,Percent,DMSO,
Source[1],,384LDV_DMSO,M2,Destination[1],,384PP_Dest,B10,0,0,,,1500,1500,5.587,80.182,Percent,DMSO,
Source[1],,384LDV_DMSO,O2,Destination[1],,384PP_Dest,B13,0,0,,,167.5,167.5,7.149,75.716,Percent,DMSO,
Source[1],,384LDV_DMSO,O2,Destination[1],,384PP_Dest,B14,0,0,,,667.5,667.5,6.481,75.716,Percent,DMSO,
Source[1],,384LDV_DMSO,O2,Destination[1],,384PP_Dest,B15,0,0,,,1500,1500,4.981,75.716,Percent,DMSO,
Source[1],,384LDV_DMSO,G2,Destination[1],,384PP_Dest,A17,0,0,,,167.5,167.5,4.929,92.276,Percent,DMSO,
Source[1],,384LDV_DMSO,G2,Destination[1],,384PP_Dest,A18,0,0,,,667.5,667.5,4.262,92.276,Percent,DMSO,
Source[1],,384LDV_DMSO,G2,Destination[1],,384PP_Dest,A19,0,0,,,1500,1500,2.762,92.276,Percent,DMSO,
Source[1],,384LDV_DMSO,I2,Destination[1],,384PP_Dest,A22,0,0,,,167.5,167.5,8.167,93.237,Percent,DMSO,
Source[1],,384LDV_DMSO,I2,Destination[1],,384PP_Dest,A23,0,0,,,667.5,667.5,7.5,93.237,Percent,DMSO,
Source[1],,384LDV_DMSO,I2,Destination[1],,384PP_Dest,A24,0,0,,,1500,1500,6,93.237,Percent,DMSO,
Source[1],,384LDV_DMSO,E2,Destination[1],,384PP_Dest,A14,0,0,,,1500,1500,6.704,92.079,Percent,DMSO,
Source[1],,384LDV_DMSO,E2,Destination[1],,384PP_Dest,A13,0,0,,,667.5,667.5,6.036,92.079,Percent,DMSO,
Source[1],,384LDV_DMSO,E2,Destination[1],,384PP_Dest,A12,0,0,,,167.5,167.5,5.869,92.079,Percent,DMSO,
Source[1],,384LDV_DMSO,C2,Destination[1],,384PP_Dest,A9,0,0,,,1500,1500,6.207,90.592,Percent,DMSO,
Source[1],,384LDV_DMSO,C2,Destination[1],,384PP_Dest,A8,0,0,,,667.5,667.5,5.54,90.592,Percent,DMSO,
Source[1],,384LDV_DMSO,C2,Destination[1],,384PP_Dest,A7,0,0,,,167.5,167.5,5.372,90.592,Percent,DMSO,
Source[1],,384LDV_DMSO,A2,Destination[1],,384PP_Dest,A4,0,0,,,1500,1500,6.126,84.161,Percent,DMSO,
Source[1],,384LDV_DMSO,A2,Destination[1],,384PP_Dest,A3,0,0,,,667.5,667.5,5.458,84.161,Percent,DMSO,
Source[1],,384LDV_DMSO,A2,Destination[1],,384PP_Dest,A2,0,0,,,167.5,167.5,5.291,84.161,Percent,DMSO,
Source[1],,384LDV_DMSO,G12,Destination[1],,384PP_Dest,J2,0,0,,,667.5,667.5,7.915,93.151,Percent,DMSO,
Source[1],,384LDV_DMSO,G12,Destination[1],,384PP_Dest,J1,0,0,,,167.5,167.5,7.747,93.151,Percent,DMSO,
Source[1],,384LDV_DMSO,G12,Destination[1],,384PP_Dest,J3,0,0,,,1500,1500,6.247,93.151,Percent,DMSO,
Source[1],,384LDV_DMSO,I12,Destination[1],,384PP_Dest,J6,0,0,,,167.5,167.5,8.45,92.926,Percent,DMSO,
Source[1],,384LDV_DMSO,I12,Destination[1],,384PP_Dest,J7,0,0,,,667.5,667.5,7.783,92.926,Percent,DMSO,
Source[1],,384LDV_DMSO,I12,Destination[1],,384PP_Dest,J8,0,0,,,1500,1500,6.283,92.926,Percent,DMSO,
Source[1],,384LDV_DMSO,K12,Destination[1],,384PP_Dest,J11,0,0,,,167.5,167.5,8.076,89.533,Percent,DMSO,
Source[1],,384LDV_DMSO,K12,Destination[1],,384PP_Dest,J12,0,0,,,667.5,667.5,7.408,89.533,Percent,DMSO,
Source[1],,384LDV_DMSO,K12,Destination[1],,384PP_Dest,J13,0,0,,,1500,1500,5.908,89.533,Percent,DMSO,
Source[1],,384LDV_DMSO,M12,Destination[1],,384PP_Dest,J16,0,0,,,167.5,167.5,8.448,94.127,Percent,DMSO,
Source[1],,384LDV_DMSO,M12,Destination[1],,384PP_Dest,J17,0,0,,,667.5,667.5,7.781,94.127,Percent,DMSO,
Source[1],,384LDV_DMSO,M12,Destination[1],,384PP_Dest,J18,0,0,,,1500,1500,6.281,94.127,Percent,DMSO,
Source[1],,384LDV_DMSO,O12,Destination[1],,384PP_Dest,J21,0,0,,,167.5,167.5,7.473,84.035,Percent,DMSO,
Source[1],,384LDV_DMSO,O12,Destination[1],,384PP_Dest,J22,0,0,,,667.5,667.5,6.806,84.035,Percent,DMSO,
Source[1],,384LDV_DMSO,O12,Destination[1],,384PP_Dest,J23,0,0,,,1500,1500,5.306,84.035,Percent,DMSO,
Source[1],,384LDV_DMSO,E12,Destination[1],,384PP_Dest,I22,0,0,,,1500,1500,6.711,88.335,Percent,DMSO,
Source[1],,384LDV_DMSO,E12,Destination[1],,384PP_Dest,I21,0,0,,,667.5,667.5,6.044,88.335,Percent,DMSO,
Source[1],,384LDV_DMSO,E12,Destination[1],,384PP_Dest,I20,0,0,,,167.5,167.5,5.876,88.335,Percent,DMSO,
Source[1],,384LDV_DMSO,C12,Destination[1],,384PP_Dest,I17,0,0,,,1500,1500,6.563,84.616,Percent,DMSO,
Source[1],,384LDV_DMSO,C12,Destination[1],,384PP_Dest,I16,0,0,,,667.5,667.5,5.896,84.616,Percent,DMSO,
Source[1],,384LDV_DMSO,C12,Destination[1],,384PP_Dest,I15,0,0,,,167.5,167.5,5.728,84.616,Percent,DMSO,
Source[1],,384LDV_DMSO,A12,Destination[1],,384PP_Dest,I12,0,0,,,1500,1500,6.159,77.576,Percent,DMSO,
Source[1],,384LDV_DMSO,A12,Destination[1],,384PP_Dest,I11,0,0,,,667.5,667.5,5.491,77.576,Percent,DMSO,
Source[1],,384LDV_DMSO,A12,Destination[1],,384PP_Dest,I10,0,0,,,167.5,167.5,5.324,77.576,Percent,DMSO,
Source[1],,384LDV_DMSO,C14,Destination[1],,384PP_Dest,K9,0,0,,,1500,1500,6.434,84.764,Percent,DMSO,
Source[1],,384LDV_DMSO,C14,Destination[1],,384PP_Dest,K8,0,0,,,667.5,667.5,5.766,84.764,Percent,DMSO,
Source[1],,384LDV_DMSO,C14,Destination[1],,384PP_Dest,K7,0,0,,,167.5,167.5,5.599,84.764,Percent,DMSO,
Source[1],,384LDV_DMSO,A14,Destination[1],,384PP_Dest,K4,0,0,,,1500,1500,6.537,88.142,Percent,DMSO,
Source[1],,384LDV_DMSO,A14,Destination[1],,384PP_Dest,K3,0,0,,,667.5,667.5,5.869,88.142,Percent,DMSO,
Source[1],,384LDV_DMSO,A14,Destination[1],,384PP_Dest,K2,0,0,,,167.5,167.5,5.702,88.142,Percent,DMSO,
Source[1],,384LDV_DMSO,K14,Destination[1],,384PP_Dest,L3,0,0,,,167.5,167.5,8.49,93.693,Percent,DMSO,
Source[1],,384LDV_DMSO,K14,Destination[1],,384PP_Dest,L4,0,0,,,667.5,667.5,7.822,93.693,Percent,DMSO,
Source[1],,384LDV_DMSO,K14,Destination[1],,384PP_Dest,L5,0,0,,,1500,1500,6.322,93.693,Percent,DMSO,
Source[1],,384LDV_DMSO,M14,Destination[1],,384PP_Dest,L8,0,0,,,167.5,167.5,8.445,93.557,Percent,DMSO,
Source[1],,384LDV_DMSO,M14,Destination[1],,384PP_Dest,L9,0,0,,,667.5,667.5,7.778,93.557,Percent,DMSO,
Source[1],,384LDV_DMSO,M14,Destination[1],,384PP_Dest,L10,0,0,,,1500,1500,6.278,93.557,Percent,DMSO,
Source[1],,384LDV_DMSO,O14,Destination[1],,384PP_Dest,L13,0,0,,,167.5,167.5,8.405,92.582,Percent,DMSO,
Source[1],,384LDV_DMSO,O14,Destination[1],,384PP_Dest,L14,0,0,,,667.5,667.5,7.738,92.582,Percent,DMSO,
Source[1],,384LDV_DMSO,O14,Destination[1],,384PP_Dest,L15,0,0,,,1500,1500,6.238,92.582,Percent,DMSO,
Source[1],,384LDV_DMSO,G14,Destination[1],,384PP_Dest,K17,0,0,,,167.5,167.5,8.368,94.082,Percent,DMSO,
Source[1],,384LDV_DMSO,G14,Destination[1],,384PP_Dest,K18,0,0,,,667.5,667.5,7.701,94.082,Percent,DMSO,
Source[1],,384LDV_DMSO,G14,Destination[1],,384PP_Dest,K19,0,0,,,1500,1500,6.201,94.082,Percent,DMSO,
Source[1],,384LDV_DMSO,I14,Destination[1],,384PP_Dest,K22,0,0,,,167.5,167.5,8.274,85.909,Percent,DMSO,
Source[1],,384LDV_DMSO,I14,Destination[1],,384PP_Dest,K23,0,0,,,667.5,667.5,7.606,85.909,Percent,DMSO,
Source[1],,384LDV_DMSO,I14,Destination[1],,384PP_Dest,K24,0,0,,,1500,1500,6.106,85.909,Percent,DMSO,
Source[1],,384LDV_DMSO,E14,Destination[1],,384PP_Dest,K14,0,0,,,1500,1500,6.983,92.091,Percent,DMSO,
Source[1],,384LDV_DMSO,E14,Destination[1],,384PP_Dest,K13,0,0,,,667.5,667.5,6.316,92.091,Percent,DMSO,
Source[1],,384LDV_DMSO,E14,Destination[1],,384PP_Dest,K12,0,0,,,167.5,167.5,6.148,92.091,Percent,DMSO,
