buffer,,bm3-wt-5_1000-sample8,,bm3-wt-5_100-sample49,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0048218,0.002126136795,800.0048218,0.008074132726,800.0048218,0.01226303261,
799.0001831,-0.0009570878465,799.0001831,0.005664153025,799.0001831,0.01117926929,
797.9950562,-0.001569319633,797.9950562,0.00394311687,797.9950562,0.01096938271,
796.989563,-0.001373561216,796.989563,0.005333152134,796.989563,0.0111198565,
795.9837036,-0.0007001167396,795.9837036,0.006336052436,795.9837036,0.01214386523,
795.0120239,-0.002466696547,795.0120239,0.004480859265,795.0120239,0.01008681115,
794.0053101,-0.001242197934,794.0053101,0.004927544855,794.0053101,0.009664063342,
792.99823,-0.001096645254,792.99823,0.005000413861,792.99823,0.01070178021,
791.9907227,-0.000517204171,791.9907227,0.005888703745,791.9907227,0.01238652132,
790.9827881,-0.001094631269,790.9827881,0.00591252977,790.9827881,0.01167954039,
790.0092163,1.338325183E-005,790.0092163,0.005902059842,790.0092163,0.01227168646,
789.0005493,-0.0004068403505,789.0005493,0.004601997323,789.0005493,0.01073237229,
787.9914551,0.001071991515,787.9914551,0.00726795895,787.9914551,0.01498109009,
787.0167847,-0.0006501827738,787.0167847,0.00463967165,787.0167847,0.01133600716,
786.0068359,-0.0005742369103,786.0068359,0.005546756089,786.0068359,0.01164143719,
784.9966431,-0.0008115946548,784.9966431,0.006134163588,784.9966431,0.01118580345,
783.9859009,0.0002648424124,783.9859009,0.004463884979,783.9859009,0.01227381639,
783.0095825,0.000405952218,783.0095825,0.005899121054,783.0095825,0.01433389541,
781.9981689,-0.001808505855,781.9981689,0.004081194289,781.9981689,0.01087517291,
780.9863892,0.0004371491959,780.9863892,0.006635540165,780.9863892,0.01296298951,
780.0089722,0.0004558321671,780.0089722,0.008131811395,780.0089722,0.01449627336,
778.9963379,-0.0006235075998,778.9963379,0.005520537961,778.9963379,0.01213292405,
777.9832764,-0.0003721325193,777.9832764,0.004724660423,777.9832764,0.01237725187,
777.0048218,-0.0002821171656,777.0048218,0.006248830818,777.0048218,0.01248644013,
775.9910278,-0.0003685632837,775.9910278,0.004365507048,775.9910278,0.009899908677,
775.0117798,0.0006942726905,775.0117798,0.004986064043,775.0117798,0.01266910229,
773.9971924,0.0004927081754,773.9971924,0.005985931493,773.9971924,0.01279326621,
773.0172119,-0.001134909806,773.0172119,0.006073887926,773.0172119,0.01307552587,
772.0018921,-0.001073251129,772.0018921,0.005620620213,772.0018921,0.01125609037,
770.986145,-0.0006689474685,770.986145,0.005990524311,770.986145,0.01286277454,
770.0050049,-0.0003045710328,770.0050049,0.00489426963,770.0050049,0.01217368059,
768.9885254,-0.0002753394074,768.9885254,0.00608026702,768.9885254,0.01149553992,
768.0067139,0.001205991721,768.0067139,0.006669396069,768.0067139,0.01214466337,
766.9894409,-0.001026097452,766.9894409,0.005312791094,766.9894409,0.0120110251,
766.0068359,0.00129620498,766.0068359,0.006255947519,766.0068359,0.01329083741,
764.9888306,-0.001164806541,764.9888306,0.005222525448,764.9888306,0.01220847666,
764.0054321,0.0001676698885,764.0054321,0.005807867739,764.0054321,0.01318899915,
762.9866943,0.001045211917,762.9866943,0.007567062974,762.9866943,0.01369789708,
762.0026245,-0.0007415172877,762.0026245,0.00652313605,762.0026245,0.01281086262,
760.9830933,0.00114930328,760.9830933,0.006107411347,760.9830933,0.01418671664,
759.9983521,-0.0005058277748,759.9983521,0.005237328354,759.9983521,0.01287938654,
759.0131836,-0.001381354057,759.0131836,0.005285250954,759.0131836,0.01215810701,
757.9924927,-0.0009649914573,757.9924927,0.004710974172,757.9924927,0.01210119482,
757.0066528,-0.0001153325575,757.0066528,0.004361166619,757.0066528,0.01312392112,
755.9851685,-0.001054193941,755.9851685,0.006603132468,755.9851685,0.0127542913,
754.9985352,-0.0005753744044,754.9985352,0.005953939632,754.9985352,0.01389838941,
754.0115967,-0.001080842689,754.0115967,0.003534994787,754.0115967,0.01172796637,
752.9890137,-0.0003259890655,752.9890137,0.007108472288,752.9890137,0.01318392903,
752.0013428,-0.00150772254,752.0013428,0.004923146218,752.0013428,0.0129049588,
751.0133057,-0.0003842883452,751.0133057,0.006199594121,751.0133057,0.01348940562,
749.989624,-0.0001481460058,749.989624,0.006421374157,749.989624,0.01276636776,
749.0008545,-0.0008207410574,749.0008545,0.00483149616,749.0008545,0.01214879006,
748.0117798,-0.000936785771,748.0117798,0.005298195407,748.0117798,0.01256914157,
746.9869385,-0.0003659768845,746.9869385,0.005260018166,746.9869385,0.0134332804,
745.9970703,0.0005094757071,745.9970703,0.004507903475,745.9970703,0.01241296995,
745.006958,0.0003135922598,745.006958,0.005695441272,745.006958,0.01317453664,
744.0164185,0.0002380867227,744.0164185,0.005766052287,744.0164185,0.01250242442,
742.9901733,-0.0007344366168,742.9901733,0.005213093944,742.9901733,0.01297059096,
741.9989014,0.0002097528777,741.9989014,0.006193817127,741.9989014,0.01399066299,
741.0072632,0.0005066767335,741.0072632,0.005406036973,741.0072632,0.01441810094,
740.0153198,-0.0003813399235,740.0153198,0.00629016757,740.0153198,0.01425864175,
738.9876099,-0.0003292482288,738.9876099,0.006087906193,738.9876099,0.01317098737,
737.9949951,-0.001371858176,737.9949951,0.005597020034,737.9949951,0.01176131796,
737.0019531,-0.0006556106382,737.0019531,0.004567491356,737.0019531,0.01311498322,
736.0085449,0.0002758767223,736.0085449,0.006742373575,736.0085449,0.01483845897,
