Run ID,1615475357
Run Date/Time,2021-03-11 15:05:45
Application Name,Labcyte Echo Plate Reformat
Application Version,1.6.4
Protocol Name,a3cpd.epr
User Name,Lab

[DETAILS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Survey Fluid Height,Survey Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Survey Status
Source[1],UnknownBarCode,384LDV_DMSO,A2,2.273,11.107,96.669,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A3,2.619,12.84,98.329,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A4,2.508,12.29,97.937,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A5,1.475,7.239,94.508,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A6,2.227,10.827,95.274,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A7,2.547,12.357,95.734,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A8,2.525,12.238,95.396,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A9,1.403,6.998,96.697,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A10,2.274,11.107,96.552,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A11,2.511,12.15,94.732,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A12,2.539,12.336,96.116,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A13,1.444,7.298,99.132,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A14,2.177,10.817,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A15,2.542,12.501,98.844,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A16,2.361,11.665,99.236,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A17,1.517,7.614,98.427,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A18,2.204,10.91,99.07,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A19,2.434,11.997,99.001,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A20,2.548,12.53,98.819,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A21,1.478,7.387,97.494,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A22,2.179,10.664,96.708,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B2,2.187,10.683,96.244,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B3,2.485,12.1,96.465,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B4,2.48,12.123,97.31,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B5,1.497,7.451,96.906,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B6,2.212,10.813,96.518,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B7,2.573,12.566,97.367,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B8,2.614,12.766,97.519,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B9,1.408,7.139,99.356,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B10,2.219,10.955,98.598,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B11,2.54,12.409,97.376,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B12,2.024,10.021,98.461,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B13,1.43,7.247,99.467,Percent,DMSO,
