Run ID,1615472604
Run Date/Time,2021-03-11 14:19:52
Application Name,Labcyte Echo Plate Reformat
Application Version,1.6.4
Protocol Name,a1cpd.epr
User Name,Lab

[DETAILS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Survey Fluid Height,Survey Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Survey Status
Source[1],UnknownBarCode,384LDV_DMSO,A1,2.581,12.55,96.352,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A2,2.587,12.537,95.528,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A3,2.603,12.701,97.238,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A4,2.482,12.123,97.196,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A5,2.539,12.223,92.677,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A6,2.569,12.367,92.76,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A7,2.537,12.265,94.411,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A8,2.522,12.164,93.366,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A9,2.479,11.994,94.601,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A10,2.61,12.579,93.366,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A11,2.489,12.04,94.476,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A12,2.551,12.293,93.128,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A13,2.515,12.422,99.644,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A14,2.482,12.266,99.647,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A15,2.529,12.337,97.007,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A16,2.351,11.502,97.123,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A17,2.59,12.637,97.194,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A18,2.502,12.231,97.387,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A19,2.397,11.754,97.755,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A20,2.519,12.294,97.09,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A21,2.543,12.297,94.592,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B1,2.548,12.329,94.788,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B2,2.507,12.171,95.797,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B3,2.467,11.966,95.391,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B4,2.476,11.989,94.893,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B5,2.56,12.414,95.713,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B6,2.523,12.257,95.98,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B7,2.553,12.414,96.287,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B8,2.592,12.608,96.483,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B9,2.492,12.251,98.621,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B10,2.521,12.354,98.029,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B11,2.508,12.237,97.007,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B12,2.003,9.887,97.812,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B13,2.512,12.359,98.866,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B14,2.534,12.411,97.937,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B15,2.549,12.437,97.091,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B16,2.517,12.31,97.523,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B17,2.552,12.407,96.244,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B18,2.568,12.418,94.708,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B19,2.548,12.445,97.351,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B20,2.576,12.493,95.697,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B21,2.494,12.071,94.752,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,C1,2.596,12.711,98.001,Percent,DMSO,
