Run ID,1615478845
Run Date/Time,2021-03-11 16:03:54
Application Name,Labcyte Echo Plate Reformat
Application Version,1.6.4
Protocol Name,b2cpd.epr
User Name,Lab

[DETAILS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Survey Fluid Height,Survey Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Survey Status
Source[1],UnknownBarCode,384LDV_DMSO,A2,1.575,7.766,95.629,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A3,1.884,9.297,97.282,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A4,2.525,12.3,96.694,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A5,0.68,3.505,94.945,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A6,1.511,7.444,95.176,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A7,1.787,8.814,96.762,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A8,2.513,12.229,96.387,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A9,0.589,3.163,97.141,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A10,1.572,7.781,96.37,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A11,1.779,8.734,95.726,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A12,2.544,12.33,95.452,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A13,0.612,3.289,97.676,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A14,1.439,7.28,99.289,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A15,1.796,8.948,98.636,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A16,2.374,11.672,98.308,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A17,0.714,3.743,96.873,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A18,1.48,7.395,97.549,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A19,1.699,8.456,97.95,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A20,2.55,12.505,98.252,Percent,DMSO,
