blank,,wt,,a82f,,dm,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0085449,0.0003240578808,800.0085449,0.007053560112,800.0085449,0.01821287163,800.0085449,0.01380258054,
797.9984131,-0.0001297728595,797.9984131,0.008000245318,797.9984131,0.0191166997,797.9984131,0.01524321921,
795.9866333,3.251399175E-005,795.9866333,0.006270759273,795.9866333,0.01988337561,795.9866333,0.01478007063,
794.0080566,0.0006419025594,794.0080566,0.008000798523,794.0080566,0.01948842965,794.0080566,0.01612049155,
791.993103,-0.0003481819876,791.993103,0.008505999111,791.993103,0.01808094233,791.993103,0.01671862043,
790.0113525,0.0007811899995,790.0113525,0.007227608003,790.0113525,0.01867834665,790.0113525,0.01533540338,
787.9932251,0.002217113739,787.9932251,0.007558423094,787.9932251,0.01958108693,787.9932251,0.01724619046,
786.0083618,-0.0002143864403,786.0083618,0.008961867541,786.0083618,0.01954469271,786.0083618,0.01561285369,
783.9870605,0.001155428588,783.9870605,0.008853456005,783.9870605,0.02019116282,783.9870605,0.01596822031,
781.9990845,-0.0008757189498,781.9990845,0.007102314848,781.9990845,0.01952189393,781.9990845,0.01517343614,
780.0095825,-0.0007426543743,780.0095825,0.007888093591,780.0095825,0.01944070123,780.0095825,0.01584027335,
777.9835815,0.0007567622233,777.9835815,0.008103774861,777.9835815,0.01944259554,777.9835815,0.01587321609,
775.9909668,0.000583602814,775.9909668,0.008603233844,775.9909668,0.01997321658,775.9909668,0.01624139957,
773.9967651,0.0007580068777,773.9967651,0.007450914942,773.9967651,0.02081429027,773.9967651,0.01633199677,
772.0011597,-0.0001499574137,772.0011597,0.007644011639,772.0011597,0.01986687258,772.0011597,0.0163591709,
770.0040283,0.0009141666233,770.0040283,0.009416997433,770.0040283,0.02122539468,770.0040283,0.01754623838,
768.0054321,0.0008246551733,768.0054321,0.007887697779,768.0054321,0.02033453248,768.0054321,0.01587990299,
766.0053101,0.0006767461309,766.0053101,0.007301732432,766.0053101,0.01977515779,766.0053101,0.01646629907,
764.0036011,6.598834443E-005,764.0036011,0.00866832491,764.0036011,0.02026907913,764.0036011,0.01753553748,
762.0004272,0.001230418799,762.0004272,0.008952037431,762.0004272,0.02131371945,762.0004272,0.01797198318,
759.9957886,-0.0001800254831,759.9957886,0.008731628768,759.9957886,0.02138860151,759.9957886,0.01853584684,
757.989624,-0.0005596045521,757.989624,0.007693386171,757.989624,0.01943109185,757.989624,0.01764371246,
756.0172729,1.858652286E-005,756.0172729,0.008254789747,756.0172729,0.02074146271,756.0172729,0.01787047088,
754.0081177,0.0008788889972,754.0081177,0.008976956829,754.0081177,0.02114366367,754.0081177,0.01706670783,
751.9976196,-0.0001103119866,751.9976196,0.008427657187,751.9976196,0.02032777667,751.9976196,0.01690471359,
749.9855347,0.0005254404969,749.9855347,0.008709655143,749.9855347,0.02085318044,749.9855347,0.0181973502,
748.0074463,0.001319416799,748.0074463,0.00845257286,748.0074463,0.02122207917,748.0074463,0.0187174771,
745.9924927,-0.0003107275115,745.9924927,0.008454289287,745.9924927,0.02082721703,745.9924927,0.01772745512,
744.0114746,0.0004214986111,744.0114746,0.008509351872,744.0114746,0.02157423273,744.0114746,0.01778470539,
741.9935913,0.001288987231,741.9935913,0.008619367145,741.9935913,0.02106412314,741.9935913,0.01849621907,
740.0097656,0.0006828907644,740.0097656,0.008778459392,740.0097656,0.02209313959,740.0097656,0.01894087903,
737.9890747,0.0009379547555,737.9890747,0.008603550494,737.9890747,0.02199245617,737.9890747,0.01900280453,
736.0024414,0.0008535219822,736.0024414,0.00885308627,736.0024414,0.02170363627,736.0024414,0.01909689978,
734.0143433,-0.0002838762884,734.0143433,0.008419501595,734.0143433,0.02123988234,734.0143433,0.0188087821,
731.9893799,-4.798993541E-005,731.9893799,0.008495731279,731.9893799,0.02129615657,731.9893799,0.01917667687,
729.9984741,8.874616469E-005,729.9984741,0.008445473388,729.9984741,0.02180553041,729.9984741,0.01963151246,
728.0062866,0.0006925096386,728.0062866,0.008610997349,728.0062866,0.02212315425,728.0062866,0.01923741773,
726.0126343,0.0004571019381,726.0126343,0.008967548609,726.0126343,0.02199542336,726.0126343,0.01903541945,
724.0177002,0.0007079366478,724.0177002,0.008572554216,724.0177002,0.02215140313,724.0177002,0.01973230019,
721.9855957,0.000981461606,721.9855957,0.01005650312,721.9855957,0.02257465385,721.9855957,0.02030458488,
719.987854,-8.743399667E-005,719.987854,0.008582428098,719.987854,0.02218283899,719.987854,0.01956727728,
717.9887695,0.0005300019402,717.9887695,0.009740166366,717.9887695,0.02241225541,717.9887695,0.02021239698,
715.9882813,0.0005260625039,715.9882813,0.009042367339,715.9882813,0.02251726016,715.9882813,0.02002935298,
713.9865112,0.0002358075144,713.9865112,0.008776425384,713.9865112,0.02323032357,713.9865112,0.02098223381,
711.9833374,0.0002704113431,711.9833374,0.009077997878,711.9833374,0.02262785658,711.9833374,0.02014173009,
710.0146484,2.870848766E-005,710.0146484,0.009209071286,710.0146484,0.0231742356,710.0146484,0.02070426568,
708.0087891,0.0003634875175,708.0087891,0.01077559777,708.0087891,0.02331326716,708.0087891,0.02079709992,
706.0015869,-0.0001878397306,706.0015869,0.009940085001,706.0015869,0.02263688296,706.0015869,0.02135757543,
703.993103,-0.0003499925369,703.993103,0.009565161541,703.993103,0.02287188545,703.993103,0.02090698667,
701.9832764,0.000631740375,701.9832764,0.009319739416,701.9832764,0.02380412258,701.9832764,0.02059041336,
700.0079956,0.0001527540735,700.0079956,0.009833971038,700.0079956,0.02262322046,700.0079956,0.02062681317,
697.9956055,3.228100104E-005,697.9956055,0.01065500733,697.9956055,0.02354144864,697.9956055,0.02208450437,
696.0177612,0.001427443465,696.0177612,0.01024927758,696.0177612,0.02440567687,696.0177612,0.02129691839,
694.0026855,0.0003151465498,694.0026855,0.009763622656,694.0026855,0.02325124107,694.0026855,0.0219256375,
691.9862671,1.351268565E-005,691.9862671,0.0105159115,691.9862671,0.02380677499,691.9862671,0.02184157073,
690.0046387,-1.289102056E-005,690.0046387,0.01017560251,690.0046387,0.02369232476,690.0046387,0.02172164991,
687.9856567,0.0005070655025,687.9856567,0.009188738652,687.9856567,0.0243181996,687.9856567,0.02178223245,
686.0014038,0.0007960496005,686.0014038,0.01021087542,686.0014038,0.02360381559,686.0014038,0.02256958187,
684.0159302,-3.893074972E-005,684.0159302,0.0107278619,684.0159302,0.02396876551,684.0159302,0.02208545804,
681.993103,0.0006724683335,681.993103,0.0103260139,681.993103,0.02342368104,681.993103,0.02217066288,
680.005127,0.000157078568,680.005127,0.009734792635,680.005127,0.02344406396,680.005127,0.02141092718,
678.0159302,5.674575004E-005,678.0159302,0.01118277572,678.0159302,0.02413103729,678.0159302,0.02232226171,
675.9893188,-0.0004232880892,675.9893188,0.0107490886,675.9893188,0.02441096306,675.9893188,0.02183424681,
673.9976196,0.001129214885,673.9976196,0.01068066154,673.9976196,0.02492781542,673.9976196,0.02297921479,
672.0046997,0.0007602628903,672.0046997,0.01116867177,672.0046997,0.02470356226,672.0046997,0.0232801903,
670.0105591,-1.713617348E-005,670.0105591,0.01068827603,670.0105591,0.02441255003,670.0105591,0.02222329564,
668.0151367,-1.413350856E-005,668.0151367,0.01085571852,668.0151367,0.02453811839,668.0151367,0.02285215817,
665.9822998,0.001341097872,665.9822998,0.01108488161,665.9822998,0.02567522228,665.9822998,0.02397016063,
