baseline,,wt,,a82f,,dm,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0085449,-0.0004163573612,800.0085449,0.004075157922,800.0085449,0.004652361386,800.0085449,-0.001850471133,
799.0036011,0.0002319484338,799.0036011,0.005465564318,799.0036011,0.004432450049,799.0036011,-0.002206599573,
797.9984131,-9.711329767E-005,797.9984131,0.005580185913,797.9984131,0.003262648126,797.9984131,-0.001291444409,
796.9927979,-0.001565347542,796.9927979,0.003786961315,796.9927979,0.002793075982,796.9927979,-0.002583846217,
795.9866333,0.0003451711964,795.9866333,0.006020104047,795.9866333,0.004453476053,795.9866333,-0.002295599086,
795.0148926,-0.0006568512763,795.0148926,0.006347268354,795.0148926,0.003726122901,795.0148926,-0.003358780872,
794.0080566,0.001064647688,794.0080566,0.007482727524,794.0080566,0.005402944051,794.0080566,-0.001076298067,
793.0007935,0.0005854431656,793.0007935,0.005707820877,793.0007935,0.004003097303,793.0007935,-0.002118818462,
791.993103,0.0003130482801,791.993103,0.006631440017,791.993103,0.003478810424,791.993103,-0.001414020429,
790.9850464,0.0008246551733,790.9850464,0.006198280957,790.9850464,0.004260772839,790.9850464,-0.001873926492,
790.0113525,9.765285358E-005,790.0113525,0.005426009651,790.0113525,0.00553579675,790.0113525,-0.001164961373,
789.0025024,0.0006778350798,789.0025024,0.004695012234,789.0025024,0.003972609993,789.0025024,-0.002641894622,
787.9932251,-0.0008671419928,787.9932251,0.005420557689,787.9932251,0.00453654537,787.9932251,-0.002145865699,
786.9835815,3.031352753E-005,786.9835815,0.005415918306,786.9835815,0.004715606105,786.9835815,-0.001853564172,
786.0083618,0.00100943062,786.0083618,0.007604784798,786.0083618,0.006018187851,786.0083618,-0.0002316176397,
784.9979248,0.0005162140005,784.9979248,0.006105573848,784.9979248,0.004985252395,784.9979248,-0.001409221208,
783.9870605,0.002179960953,783.9870605,0.00695030624,783.9870605,0.006204215344,783.9870605,-0.001249167137,
783.0106812,0.0003200425708,783.0106812,0.006519352086,783.0106812,0.006183078047,783.0106812,-0.001466756104,
781.9990845,-0.001489767921,781.9990845,0.006235122681,781.9990845,0.005109124351,781.9990845,-0.0001813192357,
780.9869995,0.0002320261265,780.9869995,0.006321212277,780.9869995,0.005507980473,780.9869995,-0.0008886356372,
780.0095825,7.388483937E-005,780.0095825,0.005834863987,780.0095825,0.004227104597,780.0095825,-0.0008650235832,
778.9967651,0.0001802296174,778.9967651,0.006968140602,778.9967651,0.005842525046,778.9967651,-0.001365458709,
777.9835815,0.0008254072745,777.9835815,0.007773941383,777.9835815,0.006472054869,777.9835815,-0.000744101475,
777.0048828,-0.001510611735,777.0048828,0.005133221857,777.0048828,0.003611284541,777.0048828,-0.002889285563,
775.9909668,-4.566044663E-005,775.9909668,0.007668619044,775.9909668,0.006278900895,775.9909668,-0.0005462127156,
775.0115967,0.000746026868,775.0115967,0.007218132727,775.0115967,0.0063234712,775.0115967,-0.0008989687776,
773.9967651,0.0002589886717,773.9967651,0.005708240904,773.9967651,0.005382579286,773.9967651,-0.002077394398,
773.0167236,0.0006030438235,773.0167236,0.007535850164,773.0167236,0.006597009022,773.0167236,6.497426511E-006,
772.0011597,0.001714546001,772.0011597,0.007978862152,772.0011597,0.00679106731,772.0011597,-8.474239439E-005,
770.9852905,-0.0002510213235,770.9852905,0.005658829119,770.9852905,0.005135945976,770.9852905,-0.0001585485006,
770.0040283,9.318958405E-007,770.0040283,0.007198920008,770.0040283,0.005865876097,770.0040283,-0.00146004837,
768.9873657,-0.0005006048596,768.9873657,0.007712831721,768.9873657,0.006409157999,768.9873657,-0.0005432654289,
768.0054321,0.0005596785923,768.0054321,0.007781505119,768.0054321,0.006911957171,768.0054321,0.0007160003879,
766.9879761,-0.0008404801483,766.9879761,0.006982055958,766.9879761,0.005824028514,766.9879761,0.0002001187531,
766.0053101,0.000209183112,766.0053101,0.007430190686,766.0053101,0.006835322361,766.0053101,-0.0002792198211,
764.9869995,0.001045160112,764.9869995,0.007226529066,764.9869995,0.007245058659,764.9869995,0.001374647254,
764.0036011,8.231815627E-006,764.0036011,0.007946327329,764.0036011,0.007315316238,764.0036011,5.257758312E-005,
762.9846191,-0.0006600046181,762.9846191,0.007073845249,762.9846191,0.005585508887,762.9846191,-0.0005939872353,
762.0004272,-0.0001898579649,762.0004272,0.007380477153,762.0004272,0.006625105627,762.0004272,-0.0005139464047,
761.0158691,-0.0001297210983,761.0158691,0.007392694708,761.0158691,0.007489917334,761.0158691,0.0003911577514,
759.9957886,9.363963909E-005,759.9957886,0.007494473364,759.9957886,0.006188539322,759.9957886,0.0003362853604,
759.010498,0.0006095243734,759.010498,0.008717710152,759.010498,0.007062952965,759.010498,0.001535211341,
757.989624,0.0001199721446,757.989624,0.008690296672,757.989624,0.007924077101,757.989624,0.0008473749622,
757.0036621,-8.665757923E-005,757.0036621,0.008589002304,757.0036621,0.007730355021,757.0036621,0.0007881918573,
756.0172729,-0.0004924859386,756.0172729,0.007951416075,756.0172729,0.006717818789,756.0172729,6.425372703E-005,
754.9952393,0.0003964692005,754.9952393,0.007377844304,754.9952393,0.007306628861,754.9952393,0.0008105466841,
754.0081177,0.0001404799841,754.0081177,0.008318113163,754.0081177,0.006907301955,754.0081177,0.001569243381,
752.9854126,-0.0005777527695,752.9854126,0.008341201581,752.9854126,0.007727192715,752.9854126,0.0005656401045,
751.9976196,-0.0002825828269,751.9976196,0.008623670787,751.9976196,0.006748236716,751.9976196,0.000755335961,
751.0093994,-0.000217077235,751.0093994,0.008305764757,751.0093994,0.007061531767,751.0093994,0.001436091959,
749.9855347,0.0001932040614,749.9855347,0.007925078273,749.9855347,0.006435061805,749.9855347,-0.0005285803345,
748.9967041,7.476511382E-005,748.9967041,0.009320850484,748.9967041,0.007545674685,748.9967041,0.002433224814,
748.0074463,-0.00052940764,748.0074463,0.008389758877,748.0074463,0.006928343326,748.0074463,0.001628922764,
746.9824219,0.0006814906956,746.9824219,0.009519834071,746.9824219,0.008066141978,746.9824219,0.00228625047,
745.9924927,0.0005125079188,745.9924927,0.009224459529,745.9924927,0.008208965883,745.9924927,0.00294728484,
745.0021362,0.0003889813961,745.0021362,0.0091032153,745.0021362,0.007432639599,745.0021362,0.0005613114918,
744.0114746,0.0004543551186,744.0114746,0.0106031457,744.0114746,0.008899745531,744.0114746,0.002104598563,
742.9850464,-0.0002439326199,742.9850464,0.008736488409,742.9850464,0.007989170961,742.9850464,0.001453363569,
741.9935913,-0.0004240121925,741.9935913,0.01008336712,741.9935913,0.007383610588,741.9935913,0.001599666663,
741.0018921,-0.0005820440711,741.0018921,0.009259416722,741.0018921,0.00839746464,741.0018921,0.00150645501,
740.0097656,-0.0001166265138,740.0097656,0.009462208487,740.0097656,0.008303415962,740.0097656,0.001768033369,
739.017334,0.0003455079859,739.017334,0.01024660096,739.017334,0.008129253052,739.017334,0.001636328059,
737.9890747,0.0001917538029,737.9890747,0.01077782642,737.9890747,0.009211899713,737.9890747,0.002581082284,
736.9959106,6.531520921E-005,736.9959106,0.01142627653,736.9959106,0.00916957017,736.9959106,0.002860037144,
736.0024414,0.000976454292,736.0024414,0.01088961214,736.0024414,0.009301702492,736.0024414,0.003383290255,
735.0085449,2.068338108E-005,735.0085449,0.01051943935,735.0085449,0.008665023372,735.0085449,0.002613399643,
734.0143433,-0.0001126928837,734.0143433,0.01103472244,734.0143433,0.009385889396,734.0143433,0.003211505944,
732.9842529,-0.0007077149348,732.9842529,0.01091175061,732.9842529,0.008991201408,732.9842529,0.002398135839,
731.9893799,0.0004034648591,731.9893799,0.01144052204,731.9893799,0.008997253142,731.9893799,0.003223267384,
730.9941406,0.0008960086852,730.9941406,0.0123852687,730.9941406,0.009559313767,730.9941406,0.003430695506,
729.9984741,-0.0001941531227,729.9984741,0.01236095186,729.9984741,0.009591571987,729.9984741,0.003402309259,
729.0025024,-0.0002542810689,729.0025024,0.01197235938,729.0025024,0.009427393787,729.0025024,0.003888577456,
728.0062866,0.0008144886815,728.0062866,0.01227096748,728.0062866,0.009862965904,728.0062866,0.003824356245,
727.0096436,7.437675231E-005,727.0096436,0.01201517601,727.0096436,0.009950652719,727.0096436,0.003816077951,
726.0126343,-0.0008226530044,726.0126343,0.01121717319,726.0126343,0.00979255978,726.0126343,0.00311129936,
725.0152588,0.0002882323461,725.0152588,0.01261521503,725.0152588,0.01016526762,725.0152588,0.003728838405,
724.0177002,-0.0003924092744,724.0177002,0.01255608536,724.0177002,0.01013089996,724.0177002,0.003552454524,
722.9840088,4.160074241E-005,722.9840088,0.01266750321,722.9840088,0.01034250297,722.9840088,0.004363284446,
721.9855957,-0.0004598019295,721.9855957,0.0131133562,721.9855957,0.01021352503,721.9855957,0.003712233156,
720.9869385,-0.0004340460291,720.9869385,0.01250634156,720.9869385,0.00999915041,720.9869385,0.003931336105,
719.987854,-0.0002788059064,719.987854,0.01285581477,719.987854,0.01018188335,719.987854,0.004542535637,
718.9885254,0.0001191953561,718.9885254,0.01361898612,718.9885254,0.01119252387,718.9885254,0.004365193658,
717.9887695,-0.0008740655612,717.9887695,0.01315265615,717.9887695,0.01030920818,717.9887695,0.004556791857,
716.9887085,-6.124188076E-005,716.9887085,0.01352433488,716.9887085,0.01091119274,716.9887085,0.004310836084,
715.9882813,0.0002546372416,715.9882813,0.0137264831,715.9882813,0.01076922938,715.9882813,0.004329608288,
714.9875488,-0.0002081250859,714.9875488,0.01283456478,714.9875488,0.01087297034,714.9875488,0.004536074586,
713.9865112,0.0003042925964,713.9865112,0.01341766212,713.9865112,0.01051288843,713.9865112,0.00442750752,
712.9850464,0.0006043917965,712.9850464,0.01390520483,712.9850464,0.01117042452,712.9850464,0.004925005138,
711.9833374,0.0002183253528,711.9833374,0.01399069,711.9833374,0.01126751397,711.9833374,0.004747977946,
711.0170288,0.0005135964602,711.0170288,0.01379456371,711.0170288,0.01158235967,711.0170288,0.00510881003,
710.0146484,0.0004274582025,710.0146484,0.01428360026,710.0146484,0.01056245714,710.0146484,0.005149750505,
709.0119019,-7.7081575E-005,709.0119019,0.0144675551,709.0119019,0.01213555969,709.0119019,0.005293662194,
708.0087891,0.00057375303,708.0087891,0.01457421854,708.0087891,0.01263453625,708.0087891,0.005204815418,
707.0053711,0.0004510901053,707.0053711,0.01394321397,707.0053711,0.01182451565,707.0053711,0.005386327393,
706.0015869,0.0004311376542,706.0015869,0.0142979119,706.0015869,0.01174014714,706.0015869,0.005416730884,
704.9974976,0.0006282147369,704.9974976,0.0146834515,704.9974976,0.01171581354,704.9974976,0.005260620732,
703.993103,-0.0007374859997,703.993103,0.01476239506,703.993103,0.01138428878,703.993103,0.004406194668,
702.9883423,0.0003307414881,702.9883423,0.01495464426,702.9883423,0.01138444804,702.9883423,0.005208482966,
701.9832764,-0.0006954130949,701.9832764,0.01378804445,701.9832764,0.01069209632,701.9832764,0.004511644132,
701.0137329,-0.0009445347823,701.0137329,0.01419310924,701.0137329,0.0110543184,701.0137329,0.005471698474,
700.0079956,0.0005086463643,700.0079956,0.01537871454,700.0079956,0.01146173105,700.0079956,0.006283181719,
699.0019531,0.0001608075108,699.0019531,0.01481839735,699.0019531,0.01144371089,699.0019531,0.005539231468,
697.9956055,9.410569328E-005,697.9956055,0.01434716582,697.9956055,0.01120123547,697.9956055,0.005361953285,
696.9887695,9.723858238E-005,696.9887695,0.01487657707,696.9887695,0.01195083279,696.9887695,0.005319053773,
696.0177612,-0.000364787149,696.0177612,0.01471938659,696.0177612,0.01168735884,696.0177612,0.005223521031,
695.0103149,0.001311004278,695.0103149,0.01583396457,695.0103149,0.01258201152,695.0103149,0.005918853916,
694.0026855,0.0004047603579,694.0026855,0.01557330322,694.0026855,0.01200346742,694.0026855,0.005864931736,
692.9946289,4.434492803E-005,692.9946289,0.01593819819,692.9946289,0.01199449878,692.9946289,0.005999028217,
691.9862671,5.314714508E-005,691.9862671,0.01419252064,691.9862671,0.01126860268,691.9862671,0.004611337092,
691.0135498,-0.0001426600211,691.0135498,0.01493669394,691.0135498,0.01205544267,691.0135498,0.005422156304,
690.0046387,-0.0008462673868,690.0046387,0.0142185986,690.0046387,0.01072104275,690.0046387,0.005101109389,
688.9952393,-0.0004297015257,688.9952393,0.01525649056,688.9952393,0.01263240352,688.9952393,0.006290535443,
687.9856567,-0.0006044307374,687.9856567,0.01583023369,687.9856567,0.01164103765,687.9856567,0.005590071436,
687.0116577,-0.0008397051133,687.0116577,0.01462146919,687.0116577,0.00993166212,687.0116577,0.004457791336,
686.0014038,-0.0006988762179,686.0014038,0.01633339375,686.0014038,0.01264660899,686.0014038,0.005877578631,
684.9907837,-0.0002335321769,684.9907837,0.01489294507,684.9907837,0.01177756861,684.9907837,0.005681882147,
684.0159302,0.0009878439596,684.0159302,0.01622568071,684.0159302,0.0121724559,684.0159302,0.006667109206,
683.0046997,0.001276291558,683.0046997,0.01679120772,683.0046997,0.01382866222,683.0046997,0.007686561905,
681.993103,0.0001912099688,681.993103,0.01689055748,681.993103,0.01246819086,681.993103,0.007139627822,
681.017395,-0.001075833337,681.017395,0.01550572086,681.017395,0.01069957763,681.017395,0.00602700701,
680.005127,-0.0005258397432,680.005127,0.01621396467,680.005127,0.01236587949,680.005127,0.006349475123,
678.9926758,0.000253186794,678.9926758,0.01564231887,678.9926758,0.01278758794,678.9926758,0.006618955173,
678.0159302,1.837907689E-006,678.0159302,0.01617035642,678.0159302,0.01317357551,678.0159302,0.006675888784,
677.0028076,-0.0008731872076,677.0028076,0.01650168374,677.0028076,0.01296965685,677.0028076,0.006781259552,
675.9893188,-0.0002932925127,675.9893188,0.01689618267,675.9893188,0.01240745652,675.9893188,0.0060209441,
675.0117188,-0.0006877113483,675.0117188,0.01560936589,675.0117188,0.01236129832,675.0117188,0.006602002308,
673.9976196,-0.0001874774898,673.9976196,0.01707047783,673.9976196,0.01260748692,673.9976196,0.005978477653,
672.9832153,0.0008750760462,672.9832153,0.01735655591,672.9832153,0.01340116281,672.9832153,0.006862987299,
672.0046997,-0.0008048251038,672.0046997,0.01596233994,672.0046997,0.01295664161,672.0046997,0.006957960781,
670.989624,-0.0001971027959,670.989624,0.01585117355,670.989624,0.0136989383,670.989624,0.007180339191,
670.0105591,-0.0001642930438,670.0105591,0.01708525978,670.0105591,0.01332889963,670.0105591,0.006878161337,
668.994873,0.0002498973627,668.994873,0.01740095764,668.994873,0.01423526276,668.994873,0.008213133551,
668.0151367,0.0006305219722,668.0151367,0.01835955866,668.0151367,0.01441970654,668.0151367,0.008128118701,
666.9988403,0.0008697328158,666.9988403,0.01982278749,666.9988403,0.01508361753,666.9988403,0.00801849179,
665.9822998,-0.001215765602,665.9822998,0.01831600256,665.9822998,0.01307099033,665.9822998,0.00742726773,
665.0016479,0.001239738311,665.0016479,0.01831324957,665.0016479,0.01463244576,665.0016479,0.008159585297,
663.984436,-0.0001336028217,663.984436,0.01764549129,663.984436,0.01425580587,663.984436,0.008313600905,
663.0032349,5.332836736E-005,663.0032349,0.01773996651,663.0032349,0.01551822294,663.0032349,0.008488524705,
661.9853516,0.000528135919,661.9853516,0.01880642958,661.9853516,0.0157246571,661.9853516,0.008899929933,
661.0036011,-0.000583853689,661.0036011,0.01834000833,661.0036011,0.01488005929,661.0036011,0.008445604704,
659.9850464,-2.448743544E-005,659.9850464,0.01907848008,659.9850464,0.01520488132,659.9850464,0.008639276959,
659.0027466,-0.000127650841,659.0027466,0.01877410151,659.0027466,0.0152433794,659.0027466,0.007917670533,
657.9836426,-0.0007959367358,657.9836426,0.0183545351,657.9836426,0.01632022485,657.9836426,0.008298587054,
657.0007324,0.0001173828423,657.0007324,0.01990348287,657.0007324,0.01650039293,657.0007324,0.009571460076,
656.0174561,6.024082541E-005,656.0174561,0.01982181147,656.0174561,0.01733061112,656.0174561,0.009810114279,
654.9974365,0.001206900226,654.9974365,0.02014750615,654.9974365,0.01740825921,654.9974365,0.01046947669,
