baseline,,wt,,dm,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0085449,-0.0002215791319,800.0085449,0.01739276573,800.0085449,-0.01335351914,
799.0036011,0.000153634508,799.0036011,0.0177417472,799.0036011,-0.01278030965,
797.9984131,-0.0004244776792,797.9984131,0.01665747538,797.9984131,-0.01443237346,
796.9927979,-0.0005809583236,796.9927979,0.0173776783,796.9927979,-0.01464966498,
795.9866333,-0.001067002071,795.9866333,0.0162106324,795.9866333,-0.01502461359,
795.0148926,0.0009350233013,795.0148926,0.01757365093,795.0148926,-0.01365654729,
794.0080566,-0.0005557266413,794.0080566,0.01830320433,794.0080566,-0.01349226199,
793.0007935,-0.0001828199893,793.0007935,0.01791624725,793.0007935,-0.01432083175,
791.993103,0.0008040631074,791.993103,0.01824442856,791.993103,-0.01376083679,
790.9850464,-0.0004317186249,790.9850464,0.01769677177,790.9850464,-0.01355378795,
790.0113525,-0.001566688763,790.0113525,0.01814746857,790.0113525,-0.01476042252,
789.0025024,-0.0002052789787,789.0025024,0.01643753238,789.0025024,-0.01464876439,
787.9932251,0.0005406282726,787.9932251,0.01862413995,787.9932251,-0.01258541737,
786.9835815,-0.001245605061,786.9835815,0.01701905578,786.9835815,-0.01384674758,
786.0083618,-0.001318904455,786.0083618,0.01744646952,786.0083618,-0.01518032141,
784.9979248,0.001099940506,784.9979248,0.01943260618,784.9979248,-0.01335964445,
783.9870605,0.0002358852216,783.9870605,0.02002783492,783.9870605,-0.01171532925,
783.0106812,0.0005885277642,783.0106812,0.01993072033,783.0106812,-0.01231062971,
781.9990845,0.0006002183654,781.9990845,0.02074819617,781.9990845,-0.01305716299,
780.9869995,-0.00151639001,780.9869995,0.01693531498,780.9869995,-0.01484038215,
780.0095825,-0.0006513200351,780.0095825,0.01883576065,780.0095825,-0.01305887103,
778.9967651,-0.0007736116531,778.9967651,0.01941950433,778.9967651,-0.01331395656,
777.9835815,0.0004226386955,777.9835815,0.02060498856,777.9835815,-0.01191988122,
777.0048828,0.001261856756,777.0048828,0.02193086408,777.0048828,-0.01152701676,
775.9909668,-0.002478948329,775.9909668,0.01879867166,775.9909668,-0.01380502246,
775.0115967,-0.002250895603,775.0115967,0.01954025216,775.0115967,-0.01361003798,
773.9967651,-0.002643747255,773.9967651,0.01971203834,773.9967651,-0.01255629677,
773.0167236,0.0003410261706,773.0167236,0.02215671539,773.0167236,-0.01190481987,
772.0011597,0.0008079013787,772.0011597,0.02365588583,772.0011597,-0.01073996723,
770.9852905,0.0001965448464,770.9852905,0.02149942704,770.9852905,-0.01040269993,
770.0040283,0.001203707419,770.0040283,0.02365055494,770.0040283,-0.01005824003,
768.9873657,-0.001156854909,768.9873657,0.02097231708,768.9873657,-0.01349602547,
768.0054321,-0.0005554681411,768.0054321,0.02318952605,768.0054321,-0.01073557325,
766.9879761,-0.001107231597,766.9879761,0.02193032019,766.9879761,-0.01374503691,
766.0053101,0.0005691133556,766.0053101,0.02336882614,766.0053101,-0.01104371343,
764.9869995,0.0004138807999,764.9869995,0.02579360269,764.9869995,-0.009728795849,
764.0036011,-0.0003358699614,764.0036011,0.02249010652,764.0036011,-0.01221646089,
762.9846191,7.916650793E-005,762.9846191,0.02219112031,762.9846191,-0.01154204085,
762.0004272,-0.0002286164672,762.0004272,0.02339114435,762.0004272,-0.01154627558,
761.0158691,-0.0003933920234,761.0158691,0.02467183396,761.0158691,-0.009995457716,
759.9957886,0.0005273324787,759.9957886,0.02534077689,759.9957886,-0.009507913142,
759.010498,-0.0006152358837,759.010498,0.02448093146,759.010498,-0.01012647618,
757.989624,0.001110243378,757.989624,0.02486194298,757.989624,-0.01015818771,
757.0036621,7.68820064E-006,757.0036621,0.02446096577,757.0036621,-0.01141558308,
756.0172729,-0.0004707141197,756.0172729,0.02487386577,756.0172729,-0.01026412938,
