buffer,,bm3-wt-5_1000-sample8,,bm3-wt-5_100-sample49,,bm3-wt-sample50-dil-tgt-10uM,,bm3-wt-sample50-dil-tgt-10uM1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0048218,0.002126136795,800.0048218,0.008074132726,800.0048218,0.01226303261,800.0048218,0.02099494822,800.0048218,0.02168096788,
799.0001831,-0.0009570878465,799.0001831,0.005664153025,799.0001831,0.01117926929,799.0001831,0.01954583079,799.0001831,0.02050492167,
797.9950562,-0.001569319633,797.9950562,0.00394311687,797.9950562,0.01096938271,797.9950562,0.01994353905,797.9950562,0.01866042987,
796.989563,-0.001373561216,796.989563,0.005333152134,796.989563,0.0111198565,796.989563,0.01856494322,796.989563,0.01928793825,
795.9837036,-0.0007001167396,795.9837036,0.006336052436,795.9837036,0.01214386523,795.9837036,0.02014745213,795.9837036,0.02056291886,
795.0120239,-0.002466696547,795.0120239,0.004480859265,795.0120239,0.01008681115,795.0120239,0.01766393147,795.0120239,0.01939314045,
794.0053101,-0.001242197934,794.0053101,0.004927544855,794.0053101,0.009664063342,794.0053101,0.01978602074,794.0053101,0.02156832814,
792.99823,-0.001096645254,792.99823,0.005000413861,792.99823,0.01070178021,792.99823,0.01868496649,792.99823,0.01989996061,
791.9907227,-0.000517204171,791.9907227,0.005888703745,791.9907227,0.01238652132,791.9907227,0.02125817724,791.9907227,0.02195899002,
790.9827881,-0.001094631269,790.9827881,0.00591252977,790.9827881,0.01167954039,790.9827881,0.02040012926,790.9827881,0.02137125283,
790.0092163,1.338325183E-005,790.0092163,0.005902059842,790.0092163,0.01227168646,790.0092163,0.02248784527,790.0092163,0.0216706004,
789.0005493,-0.0004068403505,789.0005493,0.004601997323,789.0005493,0.01073237229,789.0005493,0.02122664452,789.0005493,0.01987207681,
787.9914551,0.001071991515,787.9914551,0.00726795895,787.9914551,0.01498109009,787.9914551,0.02205694281,787.9914551,0.02124686912,
787.0167847,-0.0006501827738,787.0167847,0.00463967165,787.0167847,0.01133600716,787.0167847,0.02062529325,787.0167847,0.02067252807,
786.0068359,-0.0005742369103,786.0068359,0.005546756089,786.0068359,0.01164143719,786.0068359,0.02146809362,786.0068359,0.02007489651,
784.9966431,-0.0008115946548,784.9966431,0.006134163588,784.9966431,0.01118580345,784.9966431,0.02045773156,784.9966431,0.02105830796,
783.9859009,0.0002648424124,783.9859009,0.004463884979,783.9859009,0.01227381639,783.9859009,0.02096617781,783.9859009,0.02017912269,
783.0095825,0.000405952218,783.0095825,0.005899121054,783.0095825,0.01433389541,783.0095825,0.02315452136,783.0095825,0.02274909057,
781.9981689,-0.001808505855,781.9981689,0.004081194289,781.9981689,0.01087517291,781.9981689,0.0205860436,781.9981689,0.02068832889,
780.9863892,0.0004371491959,780.9863892,0.006635540165,780.9863892,0.01296298951,780.9863892,0.02112722211,780.9863892,0.02203997597,
780.0089722,0.0004558321671,780.0089722,0.008131811395,780.0089722,0.01449627336,780.0089722,0.02360794321,780.0089722,0.0231288299,
778.9963379,-0.0006235075998,778.9963379,0.005520537961,778.9963379,0.01213292405,778.9963379,0.02112860791,778.9963379,0.02087938972,
777.9832764,-0.0003721325193,777.9832764,0.004724660423,777.9832764,0.01237725187,777.9832764,0.02078670077,777.9832764,0.01997254044,
777.0048218,-0.0002821171656,777.0048218,0.006248830818,777.0048218,0.01248644013,777.0048218,0.02195294574,777.0048218,0.02105083689,
775.9910278,-0.0003685632837,775.9910278,0.004365507048,775.9910278,0.009899908677,775.9910278,0.02034644037,775.9910278,0.0199527815,
775.0117798,0.0006942726905,775.0117798,0.004986064043,775.0117798,0.01266910229,775.0117798,0.02211915143,775.0117798,0.02271886729,
773.9971924,0.0004927081754,773.9971924,0.005985931493,773.9971924,0.01279326621,773.9971924,0.02139330655,773.9971924,0.02185580693,
773.0172119,-0.001134909806,773.0172119,0.006073887926,773.0172119,0.01307552587,773.0172119,0.02150032483,773.0172119,0.02253991738,
772.0018921,-0.001073251129,772.0018921,0.005620620213,772.0018921,0.01125609037,772.0018921,0.02213737369,772.0018921,0.02125168033,
770.986145,-0.0006689474685,770.986145,0.005990524311,770.986145,0.01286277454,770.986145,0.02181522176,770.986145,0.02240353264,
770.0050049,-0.0003045710328,770.0050049,0.00489426963,770.0050049,0.01217368059,770.0050049,0.02168907784,770.0050049,0.02215053141,
768.9885254,-0.0002753394074,768.9885254,0.00608026702,768.9885254,0.01149553992,768.9885254,0.02218297496,768.9885254,0.02360810712,
768.0067139,0.001205991721,768.0067139,0.006669396069,768.0067139,0.01214466337,768.0067139,0.02235123143,768.0067139,0.02414015122,
766.9894409,-0.001026097452,766.9894409,0.005312791094,766.9894409,0.0120110251,766.9894409,0.02195153013,766.9894409,0.02226593718,
766.0068359,0.00129620498,766.0068359,0.006255947519,766.0068359,0.01329083741,766.0068359,0.02370274067,766.0068359,0.02257525362,
764.9888306,-0.001164806541,764.9888306,0.005222525448,764.9888306,0.01220847666,764.9888306,0.02300517075,764.9888306,0.02256246656,
764.0054321,0.0001676698885,764.0054321,0.005807867739,764.0054321,0.01318899915,764.0054321,0.02331094444,764.0054321,0.0238553416,
762.9866943,0.001045211917,762.9866943,0.007567062974,762.9866943,0.01369789708,762.9866943,0.02335806377,762.9866943,0.02431157418,
762.0026245,-0.0007415172877,762.0026245,0.00652313605,762.0026245,0.01281086262,762.0026245,0.02416669577,762.0026245,0.02376977913,
760.9830933,0.00114930328,760.9830933,0.006107411347,760.9830933,0.01418671664,760.9830933,0.02414764836,760.9830933,0.024615312,
759.9983521,-0.0005058277748,759.9983521,0.005237328354,759.9983521,0.01287938654,759.9983521,0.02389122173,759.9983521,0.02455000579,
759.0131836,-0.001381354057,759.0131836,0.005285250954,759.0131836,0.01215810701,759.0131836,0.02204624005,759.0131836,0.02358386293,
757.9924927,-0.0009649914573,757.9924927,0.004710974172,757.9924927,0.01210119482,757.9924927,0.02271747589,757.9924927,0.02267746441,
757.0066528,-0.0001153325575,757.0066528,0.004361166619,757.0066528,0.01312392112,757.0066528,0.02440482937,757.0066528,0.02346040122,
755.9851685,-0.001054193941,755.9851685,0.006603132468,755.9851685,0.0127542913,755.9851685,0.02361849323,755.9851685,0.02333495393,
754.9985352,-0.0005753744044,754.9985352,0.005953939632,754.9985352,0.01389838941,754.9985352,0.02408572473,754.9985352,0.02411962673,
754.0115967,-0.001080842689,754.0115967,0.003534994787,754.0115967,0.01172796637,754.0115967,0.02310212888,754.0115967,0.02397475764,
752.9890137,-0.0003259890655,752.9890137,0.007108472288,752.9890137,0.01318392903,752.9890137,0.02474551648,752.9890137,0.02422118746,
