Run ID	1646208709
Run Date/Time	2022-03-02 08:11:22
Application Name	Labcyte Echo Plate Reformat
Application Version	1.6.4
Protocol Name	2022-02-28-00-echo-protocol.epr
User Name	Lab

[DETAILS]
Source Plate Name	Source Plate Barcode	Source Plate Type	Source Well	Survey Fluid Height	Survey Fluid Volume	Fluid Composition	Fluid Units	Fluid Type	Survey Status
Source[1]	UnknownBarCode	384LDV_DMSO	C8	0.71	3.353	83.348	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C9	0.932	4.451	84.757	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C10	1.089	5.159	83.538	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C11	0.681	3.217	83.39	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C12	0.758	3.598	83.842	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C13	0.963	4.601	84.746	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C14	0.797	3.811	84.799	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C15	0.715	3.392	83.763	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C16	0.728	3.486	84.872	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C17	0.709	3.363	83.821	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C18	1.047	4.939	82.972	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C19	0.563	2.663	83.621	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C20	0.65	3.035	82.417	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C21	0.582	2.705	82.293	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C22	0.785	3.673	82.312	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	C23	0	0	0	Percent	DMSO	Data missing for well (3th row, 23th column), defaulting to 0.0 percent DMSO
Source[1]	UnknownBarCode	384LDV_DMSO	C24	0	0	0	Percent	DMSO	Data missing for well (3th row, 24th column), defaulting to 0.0 percent DMSO
Source[1]	UnknownBarCode	384LDV_DMSO	D1	1.099	5.097	80.208	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D2	1.092	5.104	81.539	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D3	0.823	3.877	83.001	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D4	0.536	2.53	83.474	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D5	0.792	3.735	83.131	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D6	0.813	3.867	84.078	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D7	0.937	4.456	84.063	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D8	0.9	4.272	83.944	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D9	1.039	4.962	85.269	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D10	0.839	4.02	86.653	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D11	0.451	2.174	86.076	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D12	0.927	4.431	85.104	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D13	0.998	4.728	83.617	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D14	1.021	4.846	83.889	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D15	1.03	4.916	84.853	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D16	1.009	4.82	85.209	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D17	0.678	3.181	82.815	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D18	1.107	5.283	84.973	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	D19	0.906	4.288	83.548	Percent	DMSO	
