Run ID,1614698095
Run Date/Time,2021-03-02 15:10:46
Application Name,Labcyte Echo Plate Reformat
Application Version,1.6.4
Protocol Name,Protocol 2.epr
User Name,Lab

[DETAILS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Survey Fluid Height,Survey Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Survey Status
Source[1],UnknownBarCode,384LDV_DMSO,F14,0.421,2.443,99.486,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,F15,0.454,2.585,98.954,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,F16,0.454,2.612,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,F17,0.469,2.682,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,F18,0.477,2.718,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,F19,1.548,7.82,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,F20,2.407,11.911,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,F21,2.391,11.833,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,F22,2.355,11.62,98.97,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,F23,2.423,11.931,98.745,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,F24,2.397,11.819,98.915,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,G1,0.415,2.208,94.21,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,G2,2.007,9.935,98.326,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,G3,0.39,2.171,95.57,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,G4,1.954,9.527,95.021,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,G5,0.372,2.166,98.133,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,G6,1.968,9.723,97.793,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,G7,0.343,2.042,98.649,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,G8,2.012,9.991,98.93,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,G9,0.381,2.216,98.407,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,G10,2.024,10.086,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,G11,0.375,2.186,98.362,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,G12,1.98,9.862,99.45,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,G13,0.382,2.248,99.09,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,G14,1.971,9.837,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,G15,0.367,2.054,95.373,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,G16,1.961,9.787,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,G17,0.308,1.894,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,G18,1.954,9.752,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,G19,0.343,2.063,99.133,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,G20,1.891,9.454,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,G21,0.355,2.071,97.736,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,G22,2.002,9.888,97.89,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,G23,0.424,2.374,96.968,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,G24,2.039,10.084,98.316,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,H1,0.359,1.861,92.856,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,H2,1.94,9.463,95.044,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,H3,0.432,2.398,96.458,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,H4,2.002,9.896,98.033,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,H5,0.513,2.884,99.54,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,H6,2.009,10.015,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,H7,0.371,2.215,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,H8,1.97,9.83,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,H9,0.441,2.415,95.598,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,H10,1.937,9.52,96.633,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,H11,0.342,2.02,98.131,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,H12,1.923,9.555,98.759,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,H13,0.302,1.853,99.555,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,H14,1.949,9.731,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,H15,0.348,2.042,97.794,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,H16,1.974,9.734,97.515,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,H17,0.386,2.17,96.183,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,H18,1.965,9.809,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,H19,0.415,2.402,99.007,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,H20,1.903,9.51,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,H21,0.373,2.116,96.325,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,H22,1.933,9.499,96.613,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,H23,0.334,1.914,96.279,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,H24,1.92,9.522,98.403,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,I1,0.419,2.352,96.978,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,I2,2.024,10.013,98.325,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,I3,0.307,1.828,98.115,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,I4,1.975,9.742,97.539,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,I5,0.389,2.267,98.752,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,I6,1.94,9.688,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,I7,0.416,2.395,98.761,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,I8,1.919,9.589,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,I9,0.391,2.302,99.531,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,I10,1.995,9.951,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,I11,0.409,2.358,98.675,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,I12,1.955,9.712,98.772,Percent,DMSO,
