SrcPlate,Cpd,SrcWell,Destination Plate Name,DestWell,Transfer Volume /nl
src-L1300-01,['S1005'],A1,dest-L1300-01,A1,1500.0
src-L1300-01,['S1011'],A3,dest-L1300-01,A3,1500.0
src-L1300-01,['S1013'],A5,dest-L1300-01,A5,1500.0
src-L1300-01,['S1014'],A7,dest-L1300-01,A7,1500.0
src-L1300-01,['S1021'],A9,dest-L1300-01,A9,1500.0
src-L1300-01,['S1023'],A11,dest-L1300-01,A11,1500.0
src-L1300-01,['S1025'],A13,dest-L1300-01,A13,1500.0
src-L1300-01,['S1026'],A15,dest-L1300-01,A15,1500.0
src-L1300-01,['S1028'],A17,dest-L1300-01,A17,1500.0
src-L1300-01,['S1029'],A19,dest-L1300-01,A19,1500.0
src-L1300-01,['S1033'],A21,dest-L1300-01,A21,1500.0
src-L1300-01,['S1035'],A23,dest-L1300-01,A23,1500.0
src-L1300-01,['S1039'],E1,dest-L1300-01,E1,1500.0
src-L1300-01,['S1040'],E3,dest-L1300-01,E3,1500.0
src-L1300-01,['S1042'],E5,dest-L1300-01,E5,1500.0
src-L1300-01,['S1044'],E7,dest-L1300-01,E7,1500.0
src-L1300-01,['S1046'],E9,dest-L1300-01,E9,1500.0
src-L1300-01,['S1047'],E11,dest-L1300-01,E11,1500.0
src-L1300-01,['S1064'],E13,dest-L1300-01,E13,1500.0
src-L1300-01,['S1068'],E15,dest-L1300-01,E15,1500.0
src-L1300-01,['S1082'],E17,dest-L1300-01,E17,1500.0
src-L1300-01,['S1119'],E19,dest-L1300-01,E19,1500.0
src-L1300-01,['S1120'],E21,dest-L1300-01,E21,1500.0
src-L1300-01,['S1137'],E23,dest-L1300-01,E23,1500.0
src-L1300-01,['S1144'],I1,dest-L1300-01,I1,1500.0
src-L1300-01,['S1148'],I3,dest-L1300-01,I3,1500.0
src-L1300-01,['S1150'],I5,dest-L1300-01,I5,1500.0
src-L1300-01,['S1156'],I7,dest-L1300-01,I7,1500.0
src-L1300-01,['S1166'],I9,dest-L1300-01,I9,1500.0
src-L1300-01,['S1168'],I11,dest-L1300-01,I11,1500.0
src-L1300-01,['S1178'],I13,dest-L1300-01,I13,1500.0
src-L1300-01,['S1185'],I15,dest-L1300-01,I15,1500.0
src-L1300-01,['S1188'],I17,dest-L1300-01,I17,1500.0
src-L1300-01,['S1189'],I19,dest-L1300-01,I19,1500.0
src-L1300-01,['S1190'],I21,dest-L1300-01,I21,1500.0
src-L1300-01,['S1191'],I23,dest-L1300-01,I23,1500.0
src-L1300-01,['S1193'],M1,dest-L1300-01,M1,1500.0
src-L1300-01,['S1196'],M3,dest-L1300-01,M3,1500.0
src-L1300-01,['S1197'],M5,dest-L1300-01,M5,1500.0
src-L1300-01,['S1198'],M7,dest-L1300-01,M7,1500.0
src-L1300-01,['S1199'],M9,dest-L1300-01,M9,1500.0
src-L1300-01,['S1200'],M11,dest-L1300-01,M11,1500.0
src-L1300-01,['S1202'],M13,dest-L1300-01,M13,1500.0
src-L1300-01,['S1204'],M15,dest-L1300-01,M15,1500.0
src-L1300-01,['S1206'],M17,dest-L1300-01,M17,1500.0
src-L1300-01,['S1208'],M19,dest-L1300-01,M19,1500.0
src-L1300-01,['S1209'],M21,dest-L1300-01,M21,1500.0
src-L1300-01,['S1210'],M23,dest-L1300-01,M23,1500.0
src-L1300-02,['S1288'],C2,dest-L1300-02,C2,1500.0
src-L1300-02,['S1289'],C4,dest-L1300-02,C4,1500.0
src-L1300-02,['S1291'],C6,dest-L1300-02,C6,1500.0
src-L1300-02,['S1293'],C8,dest-L1300-02,C8,1500.0
src-L1300-02,['S1294'],C10,dest-L1300-02,C10,1500.0
src-L1300-02,['S1299'],C12,dest-L1300-02,C12,1500.0
src-L1300-02,['S1300'],C14,dest-L1300-02,C14,1500.0
src-L1300-02,['S1302'],C16,dest-L1300-02,C16,1500.0
src-L1300-02,['S1304'],C18,dest-L1300-02,C18,1500.0
src-L1300-02,['S1305'],C20,dest-L1300-02,C20,1500.0
src-L1300-02,['S1312'],C22,dest-L1300-02,C22,1500.0
src-L1300-02,['S1322'],C24,dest-L1300-02,C24,1500.0
src-L1300-02,['S1324'],G2,dest-L1300-02,G2,1500.0
src-L1300-02,['S1326'],G4,dest-L1300-02,G4,1500.0
src-L1300-02,['S1328'],G6,dest-L1300-02,G6,1500.0
src-L1300-02,['S1329'],G8,dest-L1300-02,G8,1500.0
src-L1300-02,['S1330'],G10,dest-L1300-02,G10,1500.0
src-L1300-02,['S1331'],G12,dest-L1300-02,G12,1500.0
src-L1300-02,['S1332'],G14,dest-L1300-02,G14,1500.0
src-L1300-02,['S1333'],G16,dest-L1300-02,G16,1500.0
src-L1300-02,['S1336'],G18,dest-L1300-02,G18,1500.0
src-L1300-02,['S1340'],G20,dest-L1300-02,G20,1500.0
src-L1300-02,['S1342'],G22,dest-L1300-02,G22,1500.0
src-L1300-02,['S1344'],G24,dest-L1300-02,G24,1500.0
src-L1300-02,['S1351'],K2,dest-L1300-02,K2,1500.0
src-L1300-02,['S1353'],K4,dest-L1300-02,K4,1500.0
src-L1300-02,['S1354'],K6,dest-L1300-02,K6,1500.0
src-L1300-02,['S1356'],K8,dest-L1300-02,K8,1500.0
src-L1300-02,['S1357'],K10,dest-L1300-02,K10,1500.0
src-L1300-02,['S1358'],K12,dest-L1300-02,K12,1500.0
src-L1300-02,['S1359'],K14,dest-L1300-02,K14,1500.0
src-L1300-02,['S1368'],K16,dest-L1300-02,K16,1500.0
src-L1300-02,['S1374'],K18,dest-L1300-02,K18,1500.0
src-L1300-02,['S1376'],K20,dest-L1300-02,K20,1500.0
src-L1300-02,['S1377'],K22,dest-L1300-02,K22,1500.0
src-L1300-02,['S1378'],K24,dest-L1300-02,K24,1500.0
src-L1300-02,['S1379'],O2,dest-L1300-02,O2,1500.0
src-L1300-02,['S1380'],O4,dest-L1300-02,O4,1500.0
src-L1300-02,['S1381'],O6,dest-L1300-02,O6,1500.0
src-L1300-02,['S1382'],O8,dest-L1300-02,O8,1500.0
src-L1300-02,['S1385'],O10,dest-L1300-02,O10,1500.0
src-L1300-02,['S1386'],O12,dest-L1300-02,O12,1500.0
src-L1300-02,['S1389'],O14,dest-L1300-02,O14,1500.0
src-L1300-02,['S1390'],O16,dest-L1300-02,O16,1500.0
src-L1300-02,['S1391'],O18,dest-L1300-02,O18,1500.0
src-L1300-02,['S1394'],O20,dest-L1300-02,O20,1500.0
src-L1300-02,['S1396'],O22,dest-L1300-02,O22,1500.0
src-L1300-02,['S1397'],O24,dest-L1300-02,O24,1500.0
src-L1300-03,['S1508'],B1,dest-L1300-03,B1,1500.0
src-L1300-03,['S1512'],B3,dest-L1300-03,B3,1500.0
src-L1300-03,['S1514'],B5,dest-L1300-03,B5,1500.0
src-L1300-03,['S1517'],B7,dest-L1300-03,B7,1500.0
src-L1300-03,['S1538'],B9,dest-L1300-03,B9,1500.0
src-L1300-03,['S1540'],B11,dest-L1300-03,B11,1500.0
src-L1300-03,['S1547'],B13,dest-L1300-03,B13,1500.0
src-L1300-03,['S1549'],B15,dest-L1300-03,B15,1500.0
src-L1300-03,['S1550'],B17,dest-L1300-03,B17,1500.0
src-L1300-03,['S1567'],B19,dest-L1300-03,B19,1500.0
src-L1300-03,['S1569'],B21,dest-L1300-03,B21,1500.0
src-L1300-03,['S1576'],B23,dest-L1300-03,B23,1500.0
src-L1300-03,['S1578'],F1,dest-L1300-03,F1,1500.0
src-L1300-03,['S1593'],F3,dest-L1300-03,F3,1500.0
src-L1300-03,['S1601'],F5,dest-L1300-03,F5,1500.0
src-L1300-03,['S1603'],F7,dest-L1300-03,F7,1500.0
src-L1300-03,['S1604'],F9,dest-L1300-03,F9,1500.0
src-L1300-03,['S1605'],F11,dest-L1300-03,F11,1500.0
src-L1300-03,['S1606'],F13,dest-L1300-03,F13,1500.0
src-L1300-03,['S1607'],F15,dest-L1300-03,F15,1500.0
src-L1300-03,['S1608'],F17,dest-L1300-03,F17,1500.0
src-L1300-03,['S1609'],F19,dest-L1300-03,F19,1500.0
src-L1300-03,['S1610'],F21,dest-L1300-03,F21,1500.0
src-L1300-03,['S1611'],F23,dest-L1300-03,F23,1500.0
src-L1300-03,['S1613'],J1,dest-L1300-03,J1,1500.0
src-L1300-03,['S1614'],J3,dest-L1300-03,J3,1500.0
src-L1300-03,['S1615'],J5,dest-L1300-03,J5,1500.0
src-L1300-03,['S1618'],J7,dest-L1300-03,J7,1500.0
src-L1300-03,['S1619'],J9,dest-L1300-03,J9,1500.0
src-L1300-03,['S1620'],J11,dest-L1300-03,J11,1500.0
