blank,,bm3-wt-49-5in1000,,bm3-wt-44-5in1000,,blank,,bm3-wt-44-49-lipidiex-10in1000,,bm3-wt-44-49-lipidiex-20in1000,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9969482,0.0003714671475,799.9969482,0.006525448523,799.9969482,0.01444197074,799.9969482,0.002751445165,799.9969482,0.004321136978,799.9969482,0.004697628785,
798.9923096,0.0005892017507,798.9923096,0.003106815042,798.9923096,0.01990846917,798.9923096,0.002862434369,798.9923096,0.004149216693,798.9923096,0.004741880111,
797.9871826,-0.001003216021,797.9871826,0.004272222985,797.9871826,0.01879821159,797.9871826,0.001639939845,797.9871826,0.004422878381,797.9871826,0.004618584178,
797.0163574,0.0007764702896,797.0163574,0.002669940935,797.0163574,0.01777132973,797.0163574,0.002005453221,797.0163574,0.005308466963,797.0163574,0.00507515436,
796.010437,0.0003771410557,796.010437,0.001709790202,796.010437,0.01777124777,796.010437,0.001221047598,796.010437,0.004062798806,796.010437,0.005153103266,
795.0041504,-0.0002737354953,795.0041504,0.005964489654,795.0041504,0.01801215857,795.0041504,0.001929496997,795.0041504,0.003648977727,795.0041504,0.003968351521,
793.9974365,0.001193661825,793.9974365,0.001047858736,793.9974365,0.0160276033,793.9974365,0.00317366817,793.9974365,0.004537827335,793.9974365,0.00555603765,
792.9903564,-6.564185605E-005,792.9903564,0.0009408083861,792.9903564,0.01422245055,792.9903564,0.001625986653,792.9903564,0.003434217768,792.9903564,0.004299228545,
791.9828491,0.001103028771,791.9828491,0.004574946593,791.9828491,0.01765080169,791.9828491,0.002301213564,791.9828491,0.004541960079,791.9828491,0.005495920777,
791.0097046,-0.0003685632837,791.0097046,0.002488961676,791.0097046,0.0161275845,791.0097046,0.002002748661,791.0097046,0.002472195541,791.0097046,0.004613534547,
790.0013428,-0.001122258604,790.0013428,0.00353016681,790.0013428,0.01355194766,790.0013428,0.001147720031,790.0013428,0.004141951445,790.0013428,0.003753747093,
788.9926758,-0.0001532179012,788.9926758,0.003431921825,788.9926758,0.01795671321,788.9926758,0.002015959704,788.9926758,0.004035337828,788.9926758,0.00475237472,
787.9835815,-0.00106338691,787.9835815,0.00226850342,787.9835815,0.01411132794,787.9835815,0.002193333581,787.9835815,0.003796414239,787.9835815,0.004479551222,
787.0089111,-0.00140829233,787.0089111,0.00108234561,787.0089111,0.01401360054,787.0089111,0.001440247521,787.0089111,0.003387151286,787.0089111,0.004384542815,
785.9989624,0.0001079837966,785.9989624,0.006471844856,785.9989624,0.01540081389,785.9989624,0.002277168678,785.9989624,0.003827489913,785.9989624,0.005420583766,
784.9887695,-0.000148042498,784.9887695,0.005850658286,784.9887695,0.01418762654,784.9887695,0.002207539044,784.9887695,0.004504790995,784.9887695,0.004718641751,
784.0128784,-0.000312952121,784.0128784,0.005817732308,784.0128784,0.01346668322,784.0128784,0.0001926602126,784.0128784,0.003330803476,784.0128784,0.004016317427,
783.001709,-0.0002554711245,783.001709,0.005364574026,783.001709,0.01399093028,783.001709,0.002186881378,783.001709,0.003822397674,783.001709,0.004293607548,
781.9902954,-0.00027301113,781.9902954,0.00386170228,781.9902954,0.01452523284,781.9902954,0.0005652253749,781.9902954,0.005157189909,781.9902954,0.00637921039,
781.0134277,0.0008609918295,781.0134277,0.006315959152,781.0134277,0.0155330319,781.0134277,0.003281087847,781.0134277,0.004291150253,781.0134277,0.005590202753,
780.0010986,-0.001166923437,780.0010986,0.001748982002,780.0010986,0.01705483533,780.0010986,0.0006536204601,780.0010986,0.002340979408,780.0010986,0.004471731372,
778.9884644,-0.001138885855,778.9884644,0.001792180235,778.9884644,0.01813200302,778.9884644,0.001017162693,778.9884644,0.003489900613,778.9884644,0.004050178453,
778.010376,0.0001875325543,778.010376,0.001793765812,778.010376,0.0186008215,778.010376,0.001574179507,778.010376,0.004402742721,778.010376,0.005262978841,
776.9969482,9.964652418E-005,776.9969482,0.004225353245,776.9969482,0.01663840562,776.9969482,0.002478964394,776.9969482,0.00444769673,776.9969482,0.005566263106,
775.9831543,3.339302793E-006,775.9831543,0.001925622812,775.9831543,0.01665136963,775.9831543,0.0008669315721,775.9831543,0.003746044589,775.9831543,0.004155776463,
775.0039063,-0.0001528556313,775.0039063,0.00389471557,775.0039063,0.01774784178,775.0039063,0.001718184445,775.0039063,0.003998421133,775.0039063,0.003986246884,
773.9893188,-0.0006788722822,773.9893188,0.001294387504,773.9893188,0.01627577096,773.9893188,0.001947126235,773.9893188,0.003619141411,773.9893188,0.003605516162,
773.0093384,0.0007340211887,773.0093384,0.004865001887,773.0093384,0.01780088618,773.0093384,0.003665162716,773.0093384,0.004745596554,773.0093384,0.005476443097,
771.9940186,-0.0003657182388,771.9940186,0.004192523658,771.9940186,0.01645804569,771.9940186,0.001937375404,771.9940186,0.004286888987,771.9940186,0.00491927145,
771.0132446,0.0005540282,771.0132446,0.007723846473,771.0132446,0.01984652318,771.0132446,0.001704306691,771.0132446,0.004478557501,771.0132446,0.005677029956,
