baseline,,264e-5in1000,,330p-5in1000,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9837036,-0.0005504526198,799.9837036,0.003759674262,799.9837036,0.005227372516,
799.0128784,-0.001289276523,799.0128784,0.001672498882,799.0128784,0.005915442482,
798.041626,0.0002405213454,798.041626,0.002916480415,798.041626,0.005104488228,
796.9312134,-0.001756430371,796.9312134,0.002765590791,796.9312134,0.003946774174,
795.9591675,-3.975902655E-5,795.9591675,0.003917439841,795.9591675,0.005702863913,
794.9867554,-0.001555442926,794.9867554,0.003115679603,794.9867554,0.002934983699,
794.0139771,-0.0009580693441,794.0139771,0.001268944237,794.0139771,0.003559501143,
793.0408325,0.0006529982784,793.0408325,0.004129328765,793.0408325,0.00691866409,
792.0673218,8.201449236E-5,792.0673218,0.005024531391,792.0673218,0.007018227596,
790.9542847,-0.0007842059131,790.9542847,0.00336531573,790.9542847,0.006927396636,
789.9799194,-0.00193469855,789.9799194,0.001623726217,789.9799194,0.001720653381,
789.005249,-0.0002755463647,789.005249,0.003657592228,789.005249,0.006257864647,
788.0301514,-0.0002354466997,788.0301514,0.003300284967,788.0301514,0.005606459919,
787.0547485,0.002798911883,787.0547485,0.004716809839,787.0547485,0.006237065885,
785.9394531,-0.0001159019012,785.9394531,0.003315804759,785.9394531,0.003987108823,
784.9632568,0.001913506538,784.9632568,0.005631424487,784.9632568,0.005529949907,
783.9866333,0.0004066777183,783.9866333,0.003728864482,783.9866333,0.004414614756,
783.0096436,-0.0008598049753,783.0096436,0.00192063069,783.0096436,0.002760120202,
782.0322876,0.00148767489,782.0322876,0.00446663145,782.0322876,0.00558566628,
781.0545654,-0.0006406708853,781.0545654,0.001203915104,781.0545654,0.00447097281,
779.9367676,-0.000289463962,779.9367676,0.003860396333,779.9367676,0.007243505679,
778.958252,-0.001277610543,778.958252,0.003981047776,778.958252,0.00525200041,
777.9793701,-0.0002312036813,777.9793701,0.004225928336,777.9793701,0.006340491585,
777.0001221,0.0004155909119,777.0001221,0.002849536249,777.0001221,0.006463253405,
776.0205078,-0.0002007251751,776.0205078,0.004345138557,776.0205078,0.006614591926,
