blank,,bm3-a82f-heme-20in1000-tube-53,,bm3-a82f-heme-20in1000-tube-54,,bm3-a82f-heme-20in1000-tube-55,,bm3-a82f-heme-20in1000-tube-57,,bm3-a82f-heme-20in1000-post-lipidex,,bm3-a82f-heme-20in1000-post-lipidex-new-buffer,,bm3-a82f-heme-post-lipidex-post-dilution,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9969482,4.506980986E-005,799.9969482,0.04333304241,799.9969482,0.02744394355,799.9969482,0.002308031777,799.9969482,0.007762398571,799.9969482,0.002109124558,799.9969482,0.0006254150649,799.9969482,0.002971705748,
798.9923096,-0.0006447031046,798.9923096,0.04547894374,798.9923096,0.02826937102,798.9923096,0.009007824585,798.9923096,0.003604315454,798.9923096,0.002194556408,798.9923096,0.001327777514,798.9923096,0.002337439917,
797.9871826,-0.0001948776189,797.9871826,0.04148861393,797.9871826,0.02016564645,797.9871826,0.003996958025,797.9871826,0.002599519212,797.9871826,0.002694111783,797.9871826,0.001352808671,797.9871826,0.002932768315,
797.0163574,-0.0003460092994,797.0163574,0.04115702212,797.0163574,0.02136943117,797.0163574,0.007837984711,797.0163574,0.003798059188,797.0163574,0.002492918866,797.0163574,0.0005829029251,797.0163574,0.00253837835,
796.010437,0.000810053898,796.010437,0.04154287279,796.010437,0.02814454213,796.010437,0.009616502561,796.010437,0.003644331126,796.010437,0.003493684344,796.010437,0.003969683778,796.010437,0.003831955837,
795.0041504,-0.0007653427892,795.0041504,0.04198925197,795.0041504,0.01926453225,795.0041504,0.008414645679,795.0041504,0.002402404789,795.0041504,0.001996403327,795.0041504,0.00173089304,795.0041504,0.002916688798,
793.9974365,0.001077129622,793.9974365,0.0429424569,793.9974365,0.02423914336,793.9974365,0.007417182438,793.9974365,0.004063504282,793.9974365,0.002462667413,793.9974365,0.002337986371,793.9974365,0.003577509895,
792.9903564,-0.0001065853357,792.9903564,0.04198628664,792.9903564,0.02456077188,792.9903564,0.009182974696,792.9903564,0.00389852887,792.9903564,0.002023085486,792.9903564,0.0005258551682,792.9903564,0.00244517345,
791.9828491,0.0005744269583,791.9828491,0.04167081416,791.9828491,0.02359463274,791.9828491,0.005588524509,791.9828491,0.007743266877,791.9828491,0.003459501313,791.9828491,0.002462250879,791.9828491,0.004172686022,
