blank,,bm3-a82f-heme-20in1000-tube-53,,bm3-a82f-heme-20in1000-tube-54,,bm3-a82f-heme-20in1000-tube-55,,bm3-a82f-heme-20in1000-tube-57,,bm3-a82f-heme-20in1000-post-lipidex,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
767.9988403,-0.0005394390319,767.9988403,0.04677909985,767.9988403,0.02195888199,767.9988403,0.009142577648,767.9988403,0.007657685317,767.9988403,0.002177801682,
767.0166626,-0.0006192166475,767.0166626,0.04475721344,767.0166626,0.02485635132,767.0166626,0.01050214749,767.0166626,0.003651666455,767.0166626,0.003237715224,
765.9989624,0.0001389004319,765.9989624,0.04736442491,765.9989624,0.0281689316,765.9989624,0.01073871367,765.9989624,0.00771559868,765.9989624,0.003382977331,
765.0160522,-0.000371822156,765.0160522,0.04334963113,765.0160522,0.02548110671,765.0160522,0.006554118358,765.0160522,0.005199864041,765.0160522,0.003255475778,
763.9975586,0.000815448293,763.9975586,0.0460931994,763.9975586,0.02884478122,763.9975586,0.007448466029,763.9975586,0.008146449924,763.9975586,0.003863373771,
763.0139771,-0.000282324123,763.0139771,0.04648023471,763.0139771,0.02610879764,763.0139771,0.008010555059,763.0139771,0.004644852132,763.0139771,0.002656970406,
761.994751,-0.000465283927,761.994751,0.04733910784,761.994751,0.02479662746,761.994751,0.007711250801,761.994751,0.007988933474,761.994751,0.002449338557,
761.010376,-0.0003827882756,761.010376,0.0486472249,761.010376,0.02436572872,761.010376,0.008975820616,761.010376,0.008724233136,761.010376,0.001738481922,
759.9904785,-0.0001553915499,759.9904785,0.04631760344,759.9904785,0.02768677659,759.9904785,0.008128593676,759.9904785,0.00691206241,759.9904785,0.003583382349,
759.0053101,0.0005992333172,759.0053101,0.04555497691,759.0053101,0.02609810419,759.0053101,0.01003840938,759.0053101,0.006349264644,759.0053101,0.003720405046,
757.9846191,0.0001671519713,757.9846191,0.04507993534,757.9846191,0.02647032961,757.9846191,0.01180828921,757.9846191,0.006466511171,757.9846191,0.003272298258,
756.9987793,-0.0003266615677,756.9987793,0.04474909231,756.9987793,0.02741686627,756.9987793,0.007872092538,756.9987793,0.005267459434,756.9987793,0.002311857417,
756.0124512,-0.000295568927,756.0124512,0.04372758791,756.0124512,0.02671884187,756.0124512,0.008107651956,756.0124512,0.006531071849,756.0124512,0.003095526015,
754.9906616,0.0003434613755,754.9906616,0.04806858301,754.9906616,0.02457550913,754.9906616,0.01256293338,754.9906616,0.009882959537,754.9906616,0.002745688194,
754.0037231,-0.0008074089419,754.0037231,0.0493606329,754.0037231,0.0249213744,754.0037231,0.008206511848,754.0037231,0.00992035307,754.0037231,0.002247035969,
753.0164185,0.0006173270522,753.0164185,0.04714043066,753.0164185,0.0262858402,753.0164185,0.01341272332,753.0164185,0.009637278505,753.0164185,0.003452012548,
751.9934692,-0.000218991845,751.9934692,0.0475866273,751.9934692,0.02605610155,751.9934692,0.01041949447,751.9934692,0.007268248592,751.9934692,0.003545486135,
751.0054321,-0.0004984846455,751.0054321,0.04713953659,751.0054321,0.02663001604,751.0054321,0.00903742481,751.0054321,0.009187892079,751.0054321,0.002730344888,
750.0170288,-5.580656216E-005,750.0170288,0.04751843587,750.0170288,0.02925602905,750.0170288,0.01028945949,750.0170288,0.009629814886,750.0170288,0.00432945136,
748.992981,0.001077077701,748.992981,0.0498923324,748.992981,0.02655257285,748.992981,0.008970456198,748.992981,0.009859312326,748.992981,0.003700954607,
748.0039063,-0.0007346433122,748.0039063,0.04666451365,748.0039063,0.02723911218,748.0039063,0.0102838669,748.0039063,0.007420552894,748.0039063,0.001870348235,
747.0144043,0.0003074010892,747.0144043,0.04827737808,747.0144043,0.02691687271,747.0144043,0.01109465398,747.0144043,0.008145131171,747.0144043,0.00447133882,
