Baseline 100%T,,blank,,bm3-wt-5-in-1000,,bm3-wt-post-dil,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0059814,0.2088785321,800.0059814,0.0007962051895,800.0059814,0.03517562896,800.0059814,0.01468706597,
799.59021,0.2105149925,799.59021,-0.0006768046296,799.59021,0.03206874058,799.59021,0.01261097752,
799.1744385,0.2115060985,799.1744385,-0.0008471974288,799.1744385,0.03223052621,799.1744385,0.01065389253,
798.7584839,0.2104945183,798.7584839,-0.001245863154,798.7584839,0.03284954652,798.7584839,0.01658012345,
798.3425293,0.2101561874,798.3425293,-0.0001570994064,798.3425293,0.03353624791,798.3425293,0.01925884932,
797.9265747,0.2117210478,797.9265747,-0.001407260308,797.9265747,0.03057882003,797.9265747,0.008929497562,
797.510376,0.2101832777,797.510376,-0.0009218556806,797.510376,0.03293431923,797.510376,0.01757063158,
797.0942383,0.2103750408,797.0942383,0.0003867532068,797.0942383,0.03342138603,797.0942383,0.01754249074,
796.6780396,0.2106883228,796.6780396,0.0003245241824,796.6780396,0.03229613602,796.6780396,0.01522439811,
796.2616577,0.2081789672,796.2616577,0.001499545528,796.2616577,0.03592529148,796.2616577,0.01487103198,
795.8452759,0.209453553,795.8452759,0.0004029207339,795.8452759,0.03481698781,795.8452759,0.0157961119,
795.428894,0.2102051526,795.428894,0.00014879214,795.428894,0.03260425478,795.428894,0.01442789473,
795.0123291,0.2124541253,795.0123291,-0.003450985765,795.0123291,0.03124193661,795.0123291,0.01183252223,
794.5957642,0.2104144096,794.5957642,-0.0009472727543,794.5957642,0.03364453837,794.5957642,0.01604771987,
794.1790771,0.2101023048,794.1790771,-0.0005891789915,794.1790771,0.03320734575,794.1790771,0.01871234365,
793.7624512,0.2110141516,793.7624512,-0.0003929782251,793.7624512,0.03336270899,793.7624512,0.01807389781,
793.3455811,0.2109444737,793.3455811,-0.0003126416996,793.3455811,0.03236880898,793.3455811,0.01676513627,
792.9287109,0.2111817896,792.9287109,-0.001226555556,792.9287109,0.03267946094,792.9287109,0.01010631118,
792.5118408,0.2107638866,792.5118408,0.0004012366117,792.5118408,0.03314288706,792.5118408,0.01237970218,
792.0948486,0.2102563083,792.0948486,-0.0003627697297,792.0948486,0.03351180628,792.0948486,0.01658703573,
791.6776733,0.2100905031,791.6776733,0.001327465987,791.6776733,0.03353501856,791.6776733,0.01511256304,
791.2606201,0.2102692127,791.2606201,-0.000341870822,791.2606201,0.03423045203,791.2606201,0.01278822776,
790.8433838,0.2096388787,790.8433838,0.0008503057761,790.8433838,0.03441829234,790.8433838,0.0108702099,
790.4260864,0.2098137885,790.4260864,0.001231119735,790.4260864,0.03416883573,790.4260864,0.01191148162,
790.0087891,0.2107340693,790.0087891,-0.0003971162369,790.0087891,0.03349754587,790.0087891,0.01795161515,
789.5914307,0.211569339,789.5914307,-0.001693415921,789.5914307,0.03397346288,789.5914307,0.01253109239,
789.1738281,0.2103258371,789.1738281,0.0008802896482,789.1738281,0.03545234352,789.1738281,0.0178899467,
788.7563477,0.2092938274,788.7563477,0.0008149036439,788.7563477,0.03547725827,788.7563477,0.01271715946,
788.3387451,0.2114525586,788.3387451,7.849335088E-005,788.3387451,0.03345574811,788.3387451,0.01824991032,
787.9210205,0.2110125124,787.9210205,-0.001142861787,787.9210205,0.03420549631,787.9210205,0.01371951029,
787.5032959,0.2112529427,787.5032959,-0.001705689472,787.5032959,0.03419264033,787.5032959,0.01610474847,
787.0854492,0.2101886123,787.0854492,-0.0003355595691,787.0854492,0.03274167702,787.0854492,0.01535763498,
786.6676025,0.2085286975,786.6676025,0.001135314,786.6676025,0.0357773006,786.6676025,0.01995161548,
786.2496948,0.2104861885,786.2496948,0.0002663706255,786.2496948,0.0329394564,786.2496948,0.01206361316,
785.831543,0.2103233635,785.831543,-3.986420779E-006,785.831543,0.03504705802,785.831543,0.0181220714,
785.4135132,0.2092951685,785.4135132,0.0008220875752,785.4135132,0.03468740359,785.4135132,0.01736811362,
784.9953613,0.2101818919,784.9953613,0.0002987232292,784.9953613,0.03587400541,784.9953613,0.01599228382,
784.5770874,0.2100901306,784.5770874,0.001136715407,784.5770874,0.03457983211,784.5770874,0.01388179138,
784.1588135,0.2105636597,784.1588135,-0.001241423539,784.1588135,0.03448055685,784.1588135,0.01642446592,
783.7404175,0.2111160457,783.7404175,0.0007655788795,783.7404175,0.0359027423,783.7404175,0.01525013614,
783.3219604,0.2104184926,783.3219604,-0.001050423714,783.3219604,0.03469954431,783.3219604,0.01905462332,
782.9035034,0.2117698491,782.9035034,-0.0008219812298,782.9035034,0.03239145502,782.9035034,0.01290183887,
782.4848633,0.2093262672,782.4848633,0.001222059946,782.4848633,0.03615614772,782.4848633,0.02142784372,
782.0662842,0.2121621817,782.0662842,-0.001109090634,782.0662842,0.03264047578,782.0662842,0.01089112554,
781.6824951,0.211396277,781.6824951,0.00066502759,781.6824951,0.03371427581,781.6824951,0.01910864003,
781.2637329,0.2109537274,781.2637329,-0.0008127315086,781.2637329,0.03623543307,781.2637329,0.01705976203,
780.8448486,0.2117941827,780.8448486,0.0006792869535,780.8448486,0.03347626701,780.8448486,0.01706005819,
780.4259644,0.2096123248,780.4259644,0.001375400345,780.4259644,0.03587794304,780.4259644,0.01647909731,
780.007019,0.2099986821,780.007019,-0.0005588289932,780.007019,0.03645316884,780.007019,0.01297504455,
779.5878906,0.209454298,779.5878906,0.0003810014459,779.5878906,0.03649131581,779.5878906,0.01496182475,
779.1688232,0.2113300413,779.1688232,-0.0007083351375,779.1688232,0.03422734141,779.1688232,0.01982698776,
778.7495728,0.2105664015,778.7495728,0.0003068571095,778.7495728,0.03494678065,778.7495728,0.01339080464,
778.3303833,0.2129162997,778.3303833,-0.001982526854,778.3303833,0.03305784985,778.3303833,0.01608116366,
777.9111328,0.2090257406,777.9111328,0.001658700639,777.9111328,0.03590260074,777.9111328,0.01577785797,
777.4917603,0.210345,777.4917603,-0.0008416169439,777.4917603,0.03598791361,777.4917603,0.01912205666,
777.0722656,0.2105036378,777.0722656,-0.0006483217585,777.0722656,0.03533691913,777.0722656,0.01360028982,
776.652771,0.2099730223,776.652771,0.001488454174,776.652771,0.03716195002,776.652771,0.02071493492,
776.2332153,0.212077722,776.2332153,-0.0004535958287,776.2332153,0.03385680541,776.2332153,0.01304684859,
775.8485107,0.2098101825,775.8485107,0.000384006853,775.8485107,0.03631684557,775.8485107,0.01539209764,
