blank,,wt,,a82f,,dm,,1yqp,,1yqo,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.010376,0.004388282076,800.010376,0.02402246743,800.010376,0.01344011631,800.010376,0.002442049561,800.010376,0.01084459759,800.010376,0.01353295986,
799.0053711,0.003054987406,799.0053711,0.02034720033,799.0053711,0.01182696316,799.0053711,0.001155428588,799.0053711,0.01018183026,799.0053711,0.01301547978,
797.999939,0.002605638932,797.999939,0.02098549344,797.999939,0.01235772949,797.999939,0.001412873971,797.999939,0.009757401422,797.999939,0.01093330514,
796.9940186,0.003163107671,796.9940186,0.0214183256,796.9940186,0.01265060622,796.9940186,0.0004539664369,796.9940186,0.009835877456,796.9940186,0.01145460736,
795.987854,0.003531393362,795.987854,0.0216113124,795.987854,0.01187090948,795.987854,0.0008289344842,795.987854,0.0109426761,795.987854,0.01224303618,
795.0158691,0.003181803972,795.0158691,0.02227283083,795.0158691,0.01150170621,795.0158691,0.003026026068,795.0158691,0.01017038245,795.0158691,0.01290623844,
794.0089111,0.002978743054,794.0089111,0.02225808986,794.0089111,0.01164005417,794.0089111,0.001073574414,794.0089111,0.01226084866,794.0089111,0.01196788903,
793.0014648,0.002714272821,793.0014648,0.02046763711,793.0014648,0.01295677572,793.0014648,0.001271566376,793.0014648,0.01110761426,793.0014648,0.01290813182,
791.9936523,0.003518814687,791.9936523,0.0222980082,791.9936523,0.01353611145,791.9936523,0.00293464493,791.9936523,0.0115492614,791.9936523,0.01405573729,
790.9854126,0.002646344248,790.9854126,0.0225633122,790.9854126,0.0123041207,790.9854126,0.001070226892,790.9854126,0.01106539089,790.9854126,0.01326289307,
790.0115967,0.00287298765,790.0115967,0.02125165425,790.0115967,0.01310255099,790.0115967,0.001456090715,790.0115967,0.009718829766,790.0115967,0.01325982437,
789.0025024,0.003978983965,789.0025024,0.02260565758,789.0025024,0.01383988559,789.0025024,0.001687259064,789.0025024,0.01212887838,789.0025024,0.0115345614,
787.9931641,0.00336429826,787.9931641,0.02285873331,787.9931641,0.0132840313,787.9931641,0.001754725934,787.9931641,0.01225568354,787.9931641,0.01278753486,
786.9832764,0.002909000963,786.9832764,0.02360097319,786.9832764,0.01119324099,786.9832764,-0.0007827588706,786.9832764,0.01115610916,786.9832764,0.0130476756,
786.0079956,0.002147910185,786.0079956,0.02230806462,786.0079956,0.01086928044,786.0079956,-3.898251816E-005,786.0079956,0.00985473115,786.0079956,0.01379777025,
784.9973755,0.003518031677,784.9973755,0.02257220075,784.9973755,0.01254465431,784.9973755,0.001472609816,784.9973755,0.01091411244,784.9973755,0.0119885914,
783.9863892,0.001621465664,783.9863892,0.02124360763,783.9863892,0.01222735364,783.9863892,0.001610682928,783.9863892,0.01017250214,783.9863892,0.01279219985,
783.0098267,0.003111873055,783.0098267,0.02218256705,783.0098267,0.01244789176,783.0098267,0.00208563637,783.0098267,0.01086877659,783.0098267,0.01382574905,
781.9981079,0.00296438206,781.9981079,0.02338341251,781.9981079,0.01246819086,781.9981079,0.002673951909,781.9981079,0.01110309921,781.9981079,0.01320017967,
780.9858398,0.00188501121,780.9858398,0.02175722085,780.9858398,0.01135394257,780.9858398,0.0006943245535,780.9858398,0.009760684334,780.9858398,0.01214019116,
780.0082397,0.002441268647,780.0082397,0.02168118581,780.0082397,0.01334267296,780.0082397,0.001600368181,780.0082397,0.01085383352,780.0082397,0.01299598161,
778.9953003,0.002732011955,778.9953003,0.02337882295,778.9953003,0.01308456995,778.9953003,0.00107149838,778.9953003,0.01030888967,778.9953003,0.01164053287,
778.0169067,0.003723590402,778.0169067,0.02511633746,778.0169067,0.01217301469,778.0169067,0.002126084873,778.0169067,0.01023146696,778.0169067,0.0127768442,
777.0031738,0.001162410481,777.0031738,0.02202330902,777.0031738,0.01214013807,777.0031738,0.001181462081,777.0031738,0.009742072783,777.0031738,0.01347997971,
775.9890137,0.002568062395,775.9890137,0.02290915884,775.9890137,0.0126638785,775.9890137,0.002381998114,775.9890137,0.01078647748,775.9890137,0.01294141356,
775.0095215,0.00291165919,775.0095215,0.02283799835,775.0095215,0.01455898676,775.0095215,0.00264764647,775.0095215,0.01010901388,775.0095215,0.01155851316,
773.9946289,0.003552793758,773.9946289,0.0222952012,773.9946289,0.0122274328,773.9946289,0.00267520221,773.9946289,0.00990131218,773.9946289,0.01326831151,
773.0143433,0.00224178005,773.0143433,0.02196225896,773.0143433,0.01142287534,773.0143433,0.00185849343,773.0143433,0.009528248571,773.0143433,0.01195974648,
771.9986572,0.002951142145,771.9986572,0.02329062484,771.9986572,0.01263091154,771.9986572,0.002317738952,771.9986572,0.009769182652,771.9986572,0.01423930191,
770.9825439,0.002461209428,770.9825439,0.02207390964,770.9825439,0.01306234766,770.9825439,0.001971672988,770.9825439,0.01036851015,770.9825439,0.01281792764,
770.0012207,0.0021377909,770.0012207,0.02324670926,770.0012207,0.01273771096,770.0012207,0.002229264705,770.0012207,0.00943030417,770.0012207,0.01341048069,
768.984436,0.0009552324191,768.984436,0.02197794244,768.984436,0.01216713153,768.984436,0.0004779625742,768.984436,0.009413426742,768.984436,0.01207636204,
768.0021973,0.003369776765,768.0021973,0.02424699813,768.0021973,0.01185920369,768.0021973,0.001760132029,768.0021973,0.01040515024,768.0021973,0.01337761618,
766.9846802,0.002731725341,766.9846802,0.02274248935,766.9846802,0.014337481,766.9846802,0.002501276322,766.9846802,0.01135768928,766.9846802,0.01284226961,
766.00177,0.00215074583,766.00177,0.02232798375,766.00177,0.01273493841,766.00177,0.002028104849,766.00177,0.009024712257,766.00177,0.01209020242,
764.9833984,0.003001080593,764.9833984,0.02358728088,764.9833984,0.01197560597,764.9833984,0.002799615264,764.9833984,0.0101862289,764.9833984,0.01302342862,
763.9998169,0.004223026801,763.9998169,0.02428236604,763.9998169,0.01447582524,763.9998169,0.002182926983,763.9998169,0.01127697155,763.9998169,0.01421450637,
763.0158081,0.00251968368,763.0158081,0.02409598418,763.0158081,0.01389472745,763.0158081,0.002024463844,763.0158081,0.01085346192,763.0158081,0.01365437917,
761.9963379,0.00249393424,761.9963379,0.02311250381,761.9963379,0.0134219341,761.9963379,0.003346533282,761.9963379,0.01053256728,761.9963379,0.01353338733,
761.0116577,0.003179691732,761.0116577,0.02494698018,761.0116577,0.01281544752,761.0116577,0.003083377145,761.0116577,0.01093662344,761.0116577,0.01419591717,
759.991394,0.002621056046,759.991394,0.024391165,759.991394,0.01328333747,759.991394,0.002807952464,759.991394,0.01020719111,759.991394,0.0135041466,
759.0059204,0.002523875562,759.0059204,0.02445532382,759.0059204,0.01377104968,759.0059204,0.003460231936,759.0059204,0.01139401458,759.0059204,0.01361575443,
