Baseline 100%T,,blank,,bm3-wt-5-in-1000,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0059814,0.2088785321,800.0059814,0.0007962051895,800.0059814,0.03517562896,
799.59021,0.2105149925,799.59021,-0.0006768046296,799.59021,0.03206874058,
799.1744385,0.2115060985,799.1744385,-0.0008471974288,799.1744385,0.03223052621,
798.7584839,0.2104945183,798.7584839,-0.001245863154,798.7584839,0.03284954652,
798.3425293,0.2101561874,798.3425293,-0.0001570994064,798.3425293,0.03353624791,
797.9265747,0.2117210478,797.9265747,-0.001407260308,797.9265747,0.03057882003,
797.510376,0.2101832777,797.510376,-0.0009218556806,797.510376,0.03293431923,
797.0942383,0.2103750408,797.0942383,0.0003867532068,797.0942383,0.03342138603,
796.6780396,0.2106883228,796.6780396,0.0003245241824,796.6780396,0.03229613602,
796.2616577,0.2081789672,796.2616577,0.001499545528,796.2616577,0.03592529148,
795.8452759,0.209453553,795.8452759,0.0004029207339,795.8452759,0.03481698781,
795.428894,0.2102051526,795.428894,0.00014879214,795.428894,0.03260425478,
795.0123291,0.2124541253,795.0123291,-0.003450985765,795.0123291,0.03124193661,
794.5957642,0.2104144096,794.5957642,-0.0009472727543,794.5957642,0.03364453837,
794.1790771,0.2101023048,794.1790771,-0.0005891789915,794.1790771,0.03320734575,
793.7624512,0.2110141516,793.7624512,-0.0003929782251,793.7624512,0.03336270899,
793.3455811,0.2109444737,793.3455811,-0.0003126416996,793.3455811,0.03236880898,
792.9287109,0.2111817896,792.9287109,-0.001226555556,792.9287109,0.03267946094,
792.5118408,0.2107638866,792.5118408,0.0004012366117,792.5118408,0.03314288706,
792.0948486,0.2102563083,792.0948486,-0.0003627697297,792.0948486,0.03351180628,
791.6776733,0.2100905031,791.6776733,0.001327465987,791.6776733,0.03353501856,
791.2606201,0.2102692127,791.2606201,-0.000341870822,791.2606201,0.03423045203,
790.8433838,0.2096388787,790.8433838,0.0008503057761,790.8433838,0.03441829234,
790.4260864,0.2098137885,790.4260864,0.001231119735,790.4260864,0.03416883573,
790.0087891,0.2107340693,790.0087891,-0.0003971162369,790.0087891,0.03349754587,
789.5914307,0.211569339,789.5914307,-0.001693415921,789.5914307,0.03397346288,
789.1738281,0.2103258371,789.1738281,0.0008802896482,789.1738281,0.03545234352,
788.7563477,0.2092938274,788.7563477,0.0008149036439,788.7563477,0.03547725827,
788.3387451,0.2114525586,788.3387451,7.849335088E-005,788.3387451,0.03345574811,
787.9210205,0.2110125124,787.9210205,-0.001142861787,787.9210205,0.03420549631,
787.5032959,0.2112529427,787.5032959,-0.001705689472,787.5032959,0.03419264033,
787.0854492,0.2101886123,787.0854492,-0.0003355595691,787.0854492,0.03274167702,
786.6676025,0.2085286975,786.6676025,0.001135314,786.6676025,0.0357773006,
786.2496948,0.2104861885,786.2496948,0.0002663706255,786.2496948,0.0329394564,
785.831543,0.2103233635,785.831543,-3.986420779E-006,785.831543,0.03504705802,
785.4135132,0.2092951685,785.4135132,0.0008220875752,785.4135132,0.03468740359,
784.9953613,0.2101818919,784.9953613,0.0002987232292,784.9953613,0.03587400541,
784.5770874,0.2100901306,784.5770874,0.001136715407,784.5770874,0.03457983211,
