,SrcPlate,Cpd,SrcWell,Destination Plate Name,DestWell,Transfer Volume /nl
73,src racks 0..4,['S1013'],E1,dest racks 0..4 0,A10,605.0
74,src racks 0..4,['S1013'],E1,dest racks 0..4 0,A11,2000.0
75,src racks 0..4,['S1202'],E11,dest racks 0..4 0,H1,20.0
76,src racks 0..4,['S1202'],E11,dest racks 0..4 0,H2,605.0
77,src racks 0..4,['S1202'],E11,dest racks 0..4 0,H3,2000.0
78,src racks 0..4,['S1214'],E13,dest racks 0..4 0,I9,20.0
79,src racks 0..4,['S1214'],E13,dest racks 0..4 0,I10,605.0
80,src racks 0..4,['S1214'],E13,dest racks 0..4 0,I11,2000.0
81,src racks 0..4,['S1228'],E15,dest racks 0..4 0,J17,20.0
82,src racks 0..4,['S1228'],E15,dest racks 0..4 0,J18,605.0
83,src racks 0..4,['S1228'],E15,dest racks 0..4 0,J19,2000.0
84,src racks 0..4,['S1247'],E17,dest racks 0..4 0,L1,20.0
85,src racks 0..4,['S1247'],E17,dest racks 0..4 0,L2,605.0
86,src racks 0..4,['S1247'],E17,dest racks 0..4 0,L3,2000.0
87,src racks 0..4,['S1259'],E19,dest racks 0..4 0,M9,20.0
88,src racks 0..4,['S1259'],E19,dest racks 0..4 0,M10,605.0
89,src racks 0..4,['S1259'],E19,dest racks 0..4 0,M11,2000.0
90,src racks 0..4,['S1291'],E2,dest racks 0..4 0,P1,20.0
91,src racks 0..4,['S1291'],E2,dest racks 0..4 0,P2,605.0
92,src racks 0..4,['S1291'],E2,dest racks 0..4 0,P3,2000.0
93,src racks 0..4,['S1281'],E21,dest racks 0..4 0,N17,20.0
94,src racks 0..4,['S1281'],E21,dest racks 0..4 0,N18,605.0
95,src racks 0..4,['S1281'],E21,dest racks 0..4 0,N19,2000.0
96,src racks 0..4,['S1033'],E3,dest racks 0..4 0,B17,20.0
97,src racks 0..4,['S1033'],E3,dest racks 0..4 0,B18,605.0
98,src racks 0..4,['S1033'],E3,dest racks 0..4 0,B19,2000.0
99,src racks 0..4,['S1064'],E5,dest racks 0..4 0,D1,20.0
100,src racks 0..4,['S1064'],E5,dest racks 0..4 0,D2,605.0
101,src racks 0..4,['S1064'],E5,dest racks 0..4 0,D3,2000.0
102,src racks 0..4,['S1150'],E7,dest racks 0..4 0,E9,20.0
103,src racks 0..4,['S1150'],E7,dest racks 0..4 0,E10,605.0
104,src racks 0..4,['S1150'],E7,dest racks 0..4 0,E11,2000.0
105,src racks 0..4,['S1190'],E9,dest racks 0..4 0,F17,20.0
106,src racks 0..4,['S1190'],E9,dest racks 0..4 0,F18,605.0
107,src racks 0..4,['S1190'],E9,dest racks 0..4 0,F19,2000.0
108,src racks 0..4,['S1014'],G1,dest racks 0..4 0,A13,20.0
109,src racks 0..4,['S1014'],G1,dest racks 0..4 0,A14,605.0
110,src racks 0..4,['S1014'],G1,dest racks 0..4 0,A15,2000.0
111,src racks 0..4,['S1204'],G11,dest racks 0..4 0,H5,20.0
112,src racks 0..4,['S1204'],G11,dest racks 0..4 0,H6,605.0
113,src racks 0..4,['S1204'],G11,dest racks 0..4 0,H7,2000.0
114,src racks 0..4,['S1218'],G13,dest racks 0..4 0,I13,20.0
115,src racks 0..4,['S1218'],G13,dest racks 0..4 0,I14,605.0
116,src racks 0..4,['S1218'],G13,dest racks 0..4 0,I15,2000.0
117,src racks 0..4,['S1229'],G15,dest racks 0..4 0,J21,20.0
118,src racks 0..4,['S1229'],G15,dest racks 0..4 0,J22,605.0
119,src racks 0..4,['S1229'],G15,dest racks 0..4 0,J23,2000.0
120,src racks 0..4,['S1250'],G17,dest racks 0..4 0,L5,20.0
121,src racks 0..4,['S1250'],G17,dest racks 0..4 0,L6,605.0
122,src racks 0..4,['S1250'],G17,dest racks 0..4 0,L7,2000.0
123,src racks 0..4,['S1260'],G19,dest racks 0..4 0,M13,20.0
124,src racks 0..4,['S1260'],G19,dest racks 0..4 0,M14,605.0
125,src racks 0..4,['S1260'],G19,dest racks 0..4 0,M15,2000.0
126,src racks 0..4,['S1293'],G2,dest racks 0..4 0,P5,20.0
127,src racks 0..4,['S1293'],G2,dest racks 0..4 0,P6,605.0
128,src racks 0..4,['S1293'],G2,dest racks 0..4 0,P7,2000.0
129,src racks 0..4,['S1282'],G21,dest racks 0..4 0,N21,20.0
130,src racks 0..4,['S1282'],G21,dest racks 0..4 0,N22,605.0
131,src racks 0..4,['S1282'],G21,dest racks 0..4 0,N23,2000.0
132,src racks 0..4,['S1035'],G3,dest racks 0..4 0,B21,20.0
133,src racks 0..4,['S1035'],G3,dest racks 0..4 0,B22,605.0
134,src racks 0..4,['S1035'],G3,dest racks 0..4 0,B23,2000.0
135,src racks 0..4,['S1068'],G5,dest racks 0..4 0,D5,20.0
136,src racks 0..4,['S1068'],G5,dest racks 0..4 0,D6,605.0
137,src racks 0..4,['S1068'],G5,dest racks 0..4 0,D7,2000.0
138,src racks 0..4,['S1156'],G7,dest racks 0..4 0,E13,20.0
139,src racks 0..4,['S1156'],G7,dest racks 0..4 0,E14,605.0
140,src racks 0..4,['S1156'],G7,dest racks 0..4 0,E15,2000.0
141,src racks 0..4,['S1191'],G9,dest racks 0..4 0,F21,20.0
142,src racks 0..4,['S1191'],G9,dest racks 0..4 0,F22,605.0
143,src racks 0..4,['S1191'],G9,dest racks 0..4 0,F23,2000.0
144,src racks 0..4,['S1021'],I1,dest racks 0..4 0,A17,20.0
145,src racks 0..4,['S1021'],I1,dest racks 0..4 0,A18,605.0
146,src racks 0..4,['S1021'],I1,dest racks 0..4 0,A19,2000.0
147,src racks 0..4,['S1206'],I11,dest racks 0..4 0,H9,20.0
148,src racks 0..4,['S1206'],I11,dest racks 0..4 0,H10,605.0
149,src racks 0..4,['S1206'],I11,dest racks 0..4 0,H11,2000.0
150,src racks 0..4,['S1221'],I13,dest racks 0..4 0,I17,20.0
151,src racks 0..4,['S1221'],I13,dest racks 0..4 0,I18,605.0
152,src racks 0..4,['S1221'],I13,dest racks 0..4 0,I19,2000.0
153,src racks 0..4,['S1231'],I15,dest racks 0..4 0,K1,20.0
154,src racks 0..4,['S1231'],I15,dest racks 0..4 0,K2,605.0
155,src racks 0..4,['S1231'],I15,dest racks 0..4 0,K3,2000.0
156,src racks 0..4,['S1251'],I17,dest racks 0..4 0,L9,20.0
157,src racks 0..4,['S1251'],I17,dest racks 0..4 0,L10,605.0
158,src racks 0..4,['S1251'],I17,dest racks 0..4 0,L11,2000.0
159,src racks 0..4,['S1261'],I19,dest racks 0..4 0,M17,20.0
160,src racks 0..4,['S1261'],I19,dest racks 0..4 0,M18,605.0
161,src racks 0..4,['S1261'],I19,dest racks 0..4 0,M19,2000.0
162,src racks 0..4,['S1294'],I2,dest racks 0..4 0,P9,20.0
163,src racks 0..4,['S1294'],I2,dest racks 0..4 0,P10,605.0
164,src racks 0..4,['S1294'],I2,dest racks 0..4 0,P11,2000.0
165,src racks 0..4,['S1283'],I21,dest racks 0..4 0,O1,20.0
166,src racks 0..4,['S1283'],I21,dest racks 0..4 0,O2,605.0
167,src racks 0..4,['S1283'],I21,dest racks 0..4 0,O3,2000.0
168,src racks 0..4,['S1039'],I3,dest racks 0..4 0,C1,20.0
169,src racks 0..4,['S1039'],I3,dest racks 0..4 0,C2,605.0
170,src racks 0..4,['S1039'],I3,dest racks 0..4 0,C3,2000.0
171,src racks 0..4,['S1082'],I5,dest racks 0..4 0,D9,20.0
172,src racks 0..4,['S1082'],I5,dest racks 0..4 0,D10,605.0
173,src racks 0..4,['S1082'],I5,dest racks 0..4 0,D11,2000.0
174,src racks 0..4,['S1166'],I7,dest racks 0..4 0,E17,20.0
175,src racks 0..4,['S1166'],I7,dest racks 0..4 0,E18,605.0
176,src racks 0..4,['S1166'],I7,dest racks 0..4 0,E19,2000.0
177,src racks 0..4,['S1193'],I9,dest racks 0..4 0,G1,20.0
178,src racks 0..4,['S1193'],I9,dest racks 0..4 0,G2,605.0
179,src racks 0..4,['S1193'],I9,dest racks 0..4 0,G3,2000.0
180,src racks 0..4,['S1023'],K1,dest racks 0..4 0,A21,20.0
181,src racks 0..4,['S1023'],K1,dest racks 0..4 0,A22,605.0
182,src racks 0..4,['S1023'],K1,dest racks 0..4 0,A23,2000.0
183,src racks 0..4,['S1208'],K11,dest racks 0..4 0,H13,20.0
184,src racks 0..4,['S1208'],K11,dest racks 0..4 0,H14,605.0
185,src racks 0..4,['S1208'],K11,dest racks 0..4 0,H15,2000.0
186,src racks 0..4,['S1222'],K13,dest racks 0..4 0,I21,20.0
187,src racks 0..4,['S1222'],K13,dest racks 0..4 0,I22,605.0
188,src racks 0..4,['S1222'],K13,dest racks 0..4 0,I23,2000.0
189,src racks 0..4,['S1233'],K15,dest racks 0..4 0,K5,20.0
190,src racks 0..4,['S1233'],K15,dest racks 0..4 0,K6,605.0
191,src racks 0..4,['S1233'],K15,dest racks 0..4 0,K7,2000.0
192,src racks 0..4,['S1252'],K17,dest racks 0..4 0,L13,20.0
193,src racks 0..4,['S1252'],K17,dest racks 0..4 0,L14,605.0
194,src racks 0..4,['S1252'],K17,dest racks 0..4 0,L15,2000.0
195,src racks 0..4,['S1267'],K19,dest racks 0..4 0,M21,20.0
196,src racks 0..4,['S1267'],K19,dest racks 0..4 0,M22,605.0
197,src racks 0..4,['S1267'],K19,dest racks 0..4 0,M23,2000.0
198,src racks 0..4,['S1299'],K2,dest racks 0..4 0,P13,20.0
199,src racks 0..4,['S1299'],K2,dest racks 0..4 0,P14,605.0
200,src racks 0..4,['S1299'],K2,dest racks 0..4 0,P15,2000.0
201,src racks 0..4,['S1284'],K21,dest racks 0..4 0,O5,20.0
