SrcPlate,Cpd,SrcWell,Destination Plate Name,DestWell,Transfer Volume /nl
2022-03-07-00.2,['S1213'],C13,ctrl,K9,1500.0
2022-03-07-00.2,['S1213'],C14,ctrl,K7,167.5
2022-03-07-00.2,['S1213'],C14,ctrl,K8,667.5
2022-03-07-00.2,['S1213'],C14,ctrl,K9,1500.0
2022-03-07-00.2,['S1227'],C15,ctrl,L23,167.5
2022-03-07-00.2,['S1227'],C15,ctrl,L24,667.5
2022-03-07-00.2,['S1227'],C15,ctrl,M1,1500.0
2022-03-07-00.2,['S1227'],C16,ctrl,L23,167.5
2022-03-07-00.2,['S1227'],C16,ctrl,L24,667.5
2022-03-07-00.2,['S1227'],C16,ctrl,M1,1500.0
2022-03-07-00.2,['S1243'],C17,ctrl,N15,167.5
2022-03-07-00.2,['S1243'],C17,ctrl,N16,667.5
2022-03-07-00.2,['S1243'],C17,ctrl,N17,1500.0
2022-03-07-00.2,['S1243'],C18,ctrl,N15,167.5
2022-03-07-00.2,['S1243'],C18,ctrl,N16,667.5
2022-03-07-00.2,['S1243'],C18,ctrl,N17,1500.0
2022-03-07-00.2,['S1258'],C19,ctrl,P7,167.5
2022-03-07-00.2,['S1258'],C19,ctrl,P8,667.5
2022-03-07-00.2,['S1258'],C19,ctrl,P9,1500.0
2022-03-07-00.2,['S1011'],C2,ctrl,A7,167.5
2022-03-07-00.2,['S1011'],C2,ctrl,A8,667.5
2022-03-07-00.2,['S1011'],C2,ctrl,A9,1500.0
2022-03-07-00.2,['S1258'],C20,ctrl,P7,167.5
2022-03-07-00.2,['S1258'],C20,ctrl,P8,667.5
2022-03-07-00.2,['S1258'],C20,ctrl,P9,1500.0
2022-03-07-00.2,['S1029'],C3,ctrl,B23,167.5
2022-03-07-00.2,['S1029'],C3,ctrl,B24,667.5
2022-03-07-00.2,['S1029'],C3,ctrl,C1,1500.0
2022-03-07-00.2,['S1029'],C4,ctrl,B23,167.5
2022-03-07-00.2,['S1029'],C4,ctrl,B24,667.5
2022-03-07-00.2,['S1029'],C4,ctrl,C1,1500.0
2022-03-07-00.2,['S1047'],C5,ctrl,D15,167.5
2022-03-07-00.2,['S1047'],C5,ctrl,D16,667.5
2022-03-07-00.2,['S1047'],C5,ctrl,D17,1500.0
2022-03-07-00.2,['S1047'],C6,ctrl,D15,167.5
2022-03-07-00.2,['S1047'],C6,ctrl,D16,667.5
2022-03-07-00.2,['S1047'],C6,ctrl,D17,1500.0
2022-03-07-00.2,['S1148'],C7,ctrl,F7,167.5
2022-03-07-00.2,['S1148'],C7,ctrl,F8,667.5
2022-03-07-00.2,['S1148'],C7,ctrl,F9,1500.0
